component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_453024,FLW0_453024,ANLT0_453024,T0_183225,H0_183225
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,043e2143-1125-4872-99ab-e0cef634c98a,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1294.5806884765625,504570.46875,202334.859375,8184.25830078125,7162.3671875,26127.716796875,186811.359375,184784.984375,239823.75,73758.3125,138090.078125,18696.013671875,277224.21875,5715.873046875,20518.046875,37735.9375,258519.265625,54039.6875,199514.109375,22106.38671875,6916.67626953125,13448.2158203125,32600.162109375,46013.98828125,2987073.0,377887.34375,810467.3125,3725175.75,11066793,5674.12451171875,68656.3515625,113489624,44274316,21419.49609375,87152.078125,199888.90625,664881.3125,4456.263671875,2951562.5,1145568.625,64050.8359375,501859.5625,21816.7734375,839538.875,754.705322265625,507863.71875,451842.4375,244701.4375,1015242.4375,70933.453125,78296.5390625,17657.48046875,4791.6611328125,282100.25,15259.546875,150205.671875,39232.0234375,410561.90625,1103705.625,58905.18359375,7297.9013671875,124818.421875,13667.7802734375,623335.125,6497,34.212459564208984,35.90476608276367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207644206,24484,0,36.7413330078125,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:25:49.709,"{'cid': '5f904d26-d8a4-497d-8b1a-5c16d6303001', 'uuid': '995bd984-302f-4c79-b71f-16c93fad9552', 'annotationId': '043e2143-1125-4872-99ab-e0cef634c98a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768793149373, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:25:49.600Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,282951.09,38.11,32.83,1008.56,1190.0,1187.2,22450138.0,210.0,210.83,22040109.0,1600.0,1597.52,21470060.0,3800.0,3803.52,24020116.0,200.0,200.72,22340093.0,30.03,49.82
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,043e2143-1125-4872-99ab-e0cef634c98a,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1293.5474853515625,502508.78125,202298.734375,8184.26611328125,7162.69189453125,26127.802734375,186716.15625,184775.046875,239589.90625,73893.5625,138083.296875,18695.92578125,279639.65625,5717.70263671875,20524.4453125,37734.84765625,258342.546875,54048.9375,198939.734375,22092.552734375,6916.6494140625,13436.4189453125,32600.419921875,46013.79296875,2981878.25,376895.5625,809780.125,3723330.0,11056212,5673.88232421875,69913.3828125,112857904,44083148,21421.12109375,87154.625,199962.265625,664848.0625,4455.2490234375,2953829.25,1146666.875,64050.13671875,501856.21875,21817.181640625,840401.0,754.3858032226562,507603.59375,451977.625,244692.203125,1016421.5625,70944.6171875,78352.78125,17662.759765625,4804.7646484375,281943.5625,15276.6630859375,150067.34375,39238.47265625,410621.65625,1104864.75,58914.1796875,7297.83349609375,124753.3203125,13667.1806640625,624705.4375,6798,34.131874084472656,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207644206,24484,0,36.7413330078125,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:25:50.006,"{'cid': '5f904d26-d8a4-497d-8b1a-5c16d6303001', 'uuid': '995bd984-302f-4c79-b71f-16c93fad9552', 'annotationId': '043e2143-1125-4872-99ab-e0cef634c98a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768793149373, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:25:49.600Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,282822.58,38.11,32.83,1008.56,1190.0,1187.2,22450138.0,210.0,210.83,22040109.0,1600.0,1597.52,21470060.0,3800.0,3803.52,24020116.0,200.0,200.72,22340093.0,30.03,49.82
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,043e2143-1125-4872-99ab-e0cef634c98a,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1293.111328125,503448.40625,202267.59375,8184.1904296875,7162.2978515625,26124.841796875,186795.75,184752.015625,239422.328125,73772.5859375,138068.5,18694.2109375,278969.53125,5747.234375,20524.671875,37730.1640625,258286.875,54042.21875,199448.75,22078.771484375,6916.173828125,13458.0341796875,32599.986328125,46011.4453125,2977758.25,374492.0,809368.875,3721113.75,11039709,5672.74267578125,69360.3125,111915080,43951944,21420.06640625,87188.4765625,199991.125,664957.375,4455.39453125,2951717.5,1144187.75,64053.36328125,502301.40625,21812.09765625,840498.625,754.6046142578125,507712.0625,451705.84375,244687.484375,1016883.375,70987.78125,78392.5703125,17669.060546875,4802.04833984375,282134.28125,15257.794921875,149661.65625,39238.9609375,410987.09375,1105636.5,58918.90625,7298.1298828125,124857.2265625,13664.04296875,624650.125,7099,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207644206,24484,0,36.7413330078125,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:25:50.308,"{'cid': '5f904d26-d8a4-497d-8b1a-5c16d6303001', 'uuid': '995bd984-302f-4c79-b71f-16c93fad9552', 'annotationId': '043e2143-1125-4872-99ab-e0cef634c98a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768793149373, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:25:49.600Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,282578.5,38.1,32.83,1008.57,1190.0,1187.21,22450138.0,210.0,210.82,22040109.0,1600.0,1597.52,21470060.0,3800.0,3803.52,24020116.0,200.0,200.72,22340093.0,30.03,49.82
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,043e2143-1125-4872-99ab-e0cef634c98a,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1292.8284912109375,503477.25,202215.84375,8184.41650390625,7162.2333984375,26120.78125,186752.046875,184709.484375,239555.328125,73722.0546875,138066.46875,18695.6875,280015.5625,5752.93359375,20524.00390625,37728.8828125,258452.265625,54064.7734375,199362.703125,22069.025390625,6916.5224609375,13421.8525390625,32597.994140625,46005.83203125,2975202.75,374189.84375,809913.1875,3719000.25,11022159,5673.19677734375,69506.671875,110919416,43929020,21421.73046875,87175.4765625,200017.5,665347.9375,4456.24267578125,2952592.75,1141483.875,64031.375,502369.34375,21810.61328125,841081.5625,754.9813842773438,507475.75,451802.6875,244634.46875,1017116.4375,70979.8515625,78376.890625,17667.837890625,4798.90625,281765.53125,15269.3662109375,150152.109375,39245.21875,411060.1875,1106681.375,58928.55078125,7297.81201171875,124975.6015625,13661.533203125,624464.0625,7400,34.29304504394531,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207644206,24484,0,36.7413330078125,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:25:50.609,"{'cid': '5f904d26-d8a4-497d-8b1a-5c16d6303001', 'uuid': '995bd984-302f-4c79-b71f-16c93fad9552', 'annotationId': '043e2143-1125-4872-99ab-e0cef634c98a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768793149373, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:25:49.600Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,282335.22,38.1,32.83,1008.58,1190.0,1187.76,22450138.0,210.0,210.47,22040109.0,1600.0,1598.55,21470060.0,3800.0,3801.12,24020116.0,200.0,200.58,22340093.0,30.03,49.82
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,043e2143-1125-4872-99ab-e0cef634c98a,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1292.35595703125,503608.0,202179.796875,8184.13916015625,7162.1806640625,26121.90234375,186682.984375,184656.984375,239497.40625,73760.625,138069.734375,18696.935546875,280952.28125,5724.78173828125,20526.3671875,37736.01171875,258268.125,54062.0859375,199072.140625,22069.181640625,6915.87451171875,13425.4765625,32597.029296875,46007.51171875,2973287.0,370281.53125,807843.625,3716335.5,11004068,5673.419921875,67956.0390625,109951624,44013596,21423.30078125,87168.2890625,200027.203125,665598.125,4455.1982421875,2953516.25,1140966.125,64025.69921875,502004.5625,21813.2734375,840862.5,755.931884765625,507317.53125,451629.59375,244634.65625,1017345.875,70953.9921875,78350.0390625,17662.755859375,4786.07421875,281629.59375,15280.8486328125,149733.921875,39244.57421875,410907.75,1107383.125,58923.04296875,7298.40478515625,124997.6484375,13663.7841796875,624240.625,7701,34.131874084472656,35.90476608276367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207644206,24484,0,36.7413330078125,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:25:50.909,"{'cid': '5f904d26-d8a4-497d-8b1a-5c16d6303001', 'uuid': '995bd984-302f-4c79-b71f-16c93fad9552', 'annotationId': '043e2143-1125-4872-99ab-e0cef634c98a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768793149373, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:25:49.600Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,282092.75,38.09,32.83,1008.59,1190.0,1188.31,22450138.0,210.0,210.12,22040109.0,1600.0,1599.57,21470060.0,3800.0,3798.72,24020116.0,200.0,200.44,22340093.0,30.02,49.83
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,043e2143-1125-4872-99ab-e0cef634c98a,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1291.84619140625,503611.53125,202192.875,8183.97119140625,7161.86083984375,26121.607421875,186774.5625,184648.6875,239322.734375,73738.5546875,138067.5,18696.658203125,282511.4375,5714.73681640625,20521.994140625,37738.578125,258227.328125,54051.62109375,199889.59375,22059.470703125,6915.7509765625,13430.509765625,32601.818359375,46003.078125,2970982.75,372544.5,808633.0,3713285.5,10990299,5673.466796875,68358.671875,109192752,44186324,21423.400390625,87151.3515625,200036.71875,665745.3125,4453.2548828125,2952981.25,1140416.25,64021.12109375,501453.6875,21808.966796875,840732.0,754.5863647460938,507090.0,451319.59375,244579.484375,1016926.0625,70957.6640625,78344.6875,17666.435546875,4790.072265625,281334.84375,15288.1396484375,149880.8125,39240.6328125,410851.71875,1107989.625,58924.7109375,7298.6416015625,124889.6328125,13670.9521484375,624781.1875,8002,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207644206,24484,0,36.7413330078125,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:25:51.211,"{'cid': '5f904d26-d8a4-497d-8b1a-5c16d6303001', 'uuid': '995bd984-302f-4c79-b71f-16c93fad9552', 'annotationId': '043e2143-1125-4872-99ab-e0cef634c98a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768793149373, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:25:49.600Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,282435.96,38.08,32.83,1008.55,1190.0,1188.86,22450138.0,210.0,209.77,22040109.0,1600.0,1600.61,21470060.0,3800.0,3796.3,24020116.0,200.0,200.29,22340093.0,30.02,49.83
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,043e2143-1125-4872-99ab-e0cef634c98a,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1293.5126953125,503277.59375,202190.46875,8183.8427734375,7162.6572265625,26120.755859375,186745.515625,184646.703125,239081.828125,73745.75,138009.03125,18696.06640625,279904.03125,5726.03759765625,20524.4609375,37734.79296875,258459.6875,54070.67578125,199318.34375,22213.634765625,6917.26513671875,13419.375,32601.505859375,46014.99609375,2970319.75,376371.34375,810284.75,3712348.25,10983932,5672.99951171875,68047.03125,108846120,44425572,21422.16015625,87133.4140625,200030.0,665856.5625,4454.71240234375,2959336.75,1142926.0,64014.03515625,501486.21875,21810.505859375,840479.9375,755.037841796875,506460.65625,451095.28125,244515.234375,1016303.6875,70922.515625,78334.0234375,17660.818359375,4793.10595703125,281307.125,15297.98828125,149881.0625,39236.6875,410768.6875,1108096.375,58918.0390625,7298.076171875,125095.65625,13667.361328125,624472.1875,8303,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207644206,24484,0,36.7413330078125,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:25:51.513,"{'cid': '5f904d26-d8a4-497d-8b1a-5c16d6303001', 'uuid': '995bd984-302f-4c79-b71f-16c93fad9552', 'annotationId': '043e2143-1125-4872-99ab-e0cef634c98a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768793149373, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:25:49.600Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,283048.69,38.07,32.83,1008.5,1190.0,1189.41,22450138.0,210.0,209.68,22040109.0,1600.0,1600.91,21470060.0,3800.0,3796.06,24020116.0,200.0,200.24,22340093.0,30.01,49.84
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,043e2143-1125-4872-99ab-e0cef634c98a,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1295.2357177734375,502790.59375,202237.375,8184.3779296875,7162.66748046875,26121.470703125,186779.46875,184638.203125,239344.90625,73693.484375,138078.15625,18696.140625,279985.5625,5733.82666015625,20510.580078125,37737.8515625,258629.828125,54081.35546875,200103.5625,22200.505859375,6917.28173828125,13432.1630859375,32600.84765625,46013.6640625,2971156.5,377191.09375,810990.25,3712545.75,10981071,5672.38916015625,67327.0703125,108698384,44642668,21422.2265625,87157.578125,200031.046875,665857.5,4456.22314453125,2963197.5,1143835.75,64023.296875,501540.8125,21814.193359375,840156.8125,755.9639282226562,506720.71875,450887.0,244529.15625,1014912.25,70927.609375,78356.203125,17657.478515625,4794.22998046875,281230.125,15272.455078125,149886.171875,39236.63671875,410419.59375,1107656.375,58909.796875,7298.865234375,125048.125,13663.912109375,623825.625,8604,34.131874084472656,35.90476608276367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207644206,24484,0,36.7413330078125,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:25:51.812,"{'cid': '5f904d26-d8a4-497d-8b1a-5c16d6303001', 'uuid': '995bd984-302f-4c79-b71f-16c93fad9552', 'annotationId': '043e2143-1125-4872-99ab-e0cef634c98a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768793149373, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:25:49.600Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,283655.34,38.06,32.83,1008.44,1190.0,1189.96,22450138.0,210.0,209.72,22040109.0,1600.0,1600.84,21470060.0,3800.0,3797.01,24020116.0,200.0,200.24,22340093.0,30.01,49.84
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,043e2143-1125-4872-99ab-e0cef634c98a,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1293.262939453125,503456.9375,202213.828125,8183.7724609375,7162.41943359375,26123.28515625,186793.96875,184658.796875,239714.84375,73692.375,138105.21875,18695.8359375,280559.125,5731.93603515625,20515.2734375,37738.1796875,258695.5625,54097.02734375,199128.15625,22210.77734375,6916.89794921875,13440.3740234375,32600.39453125,46011.140625,2974358.25,378145.46875,811552.25,3715236.0,10987748,5673.00537109375,69379.5078125,109062616,44858972,21423.94140625,87181.90625,200022.046875,665807.4375,4455.80322265625,2968286.75,1144055.875,64018.97265625,501749.5625,21810.01171875,840095.875,756.8922729492188,506954.65625,451167.78125,244539.453125,1013391.875,70930.3671875,78327.234375,17659.98046875,4792.2275390625,281451.90625,15262.9912109375,149617.53125,39226.453125,410438.0,1106993.375,58903.44921875,7298.38720703125,125025.59375,13676.24609375,623754.625,8905,34.212459564208984,35.90476608276367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207644206,24484,0,36.7413330078125,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:25:52.114,"{'cid': '5f904d26-d8a4-497d-8b1a-5c16d6303001', 'uuid': '995bd984-302f-4c79-b71f-16c93fad9552', 'annotationId': '043e2143-1125-4872-99ab-e0cef634c98a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768793149373, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:25:49.600Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,284268.08,38.05,32.83,1008.39,1190.0,1190.51,22450138.0,210.0,209.76,22040109.0,1600.0,1600.77,21470060.0,3800.0,3797.96,24020116.0,200.0,200.24,22340093.0,30.01,49.83
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,043e2143-1125-4872-99ab-e0cef634c98a,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1293.46044921875,503943.3125,202276.25,8183.96728515625,7162.24560546875,26123.51171875,186740.875,184717.03125,240168.671875,73677.0,138191.46875,18697.376953125,278344.40625,5729.19189453125,20513.822265625,37744.91015625,258043.578125,54096.53125,198775.796875,22211.103515625,6917.29541015625,13440.595703125,32599.55859375,46012.5546875,2978196.5,377673.96875,811169.875,3718677.75,10994738,5673.86279296875,69808.5234375,109415312,45020724,21434.455078125,87186.6875,200006.96875,665849.25,4454.7646484375,2967524.25,1144716.5,64024.37109375,501507.125,21810.0234375,839818.6875,755.4375610351562,507018.1875,451334.96875,244568.34375,1012447.0,70965.3125,78261.140625,17660.076171875,4799.45751953125,281795.375,15264.728515625,149310.546875,39229.6953125,410668.375,1105700.125,58908.4453125,7298.443359375,124972.09375,13670.0126953125,623163.6875,9206,34.212459564208984,35.90476608276367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207644206,24484,0,36.7413330078125,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:25:52.415,"{'cid': '5f904d26-d8a4-497d-8b1a-5c16d6303001', 'uuid': '995bd984-302f-4c79-b71f-16c93fad9552', 'annotationId': '043e2143-1125-4872-99ab-e0cef634c98a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768793149373, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:25:49.600Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,284203.58,38.05,32.83,1008.38,1190.0,1190.87,22450138.0,210.0,209.79,22040109.0,1600.0,1600.62,21470060.0,3800.0,3798.47,24020116.0,200.0,200.18,22340093.0,30.01,49.83
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,043e2143-1125-4872-99ab-e0cef634c98a,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1294.578857421875,503353.34375,202299.71875,8184.43115234375,7162.2646484375,26122.826171875,186812.078125,184733.71875,240090.65625,73665.03125,138128.296875,18696.8984375,281182.4375,5737.61865234375,20513.513671875,37741.140625,257884.484375,54083.23828125,199789.53125,22199.4921875,6917.2255859375,13451.42578125,32604.89453125,46014.2109375,2980508.0,377404.84375,813091.4375,3721173.5,11003877,5672.8583984375,68702.078125,109987824,45120596,21435.14453125,87184.3359375,199938.375,665661.125,4454.841796875,2970669.75,1142255.875,64026.88671875,501479.8125,21815.119140625,840036.375,755.9541625976562,507208.625,451626.96875,244558.78125,1011944.4375,70954.0,78278.8125,17659.1796875,4799.28955078125,281755.15625,15287.4765625,149366.046875,39229.25390625,410578.625,1104654.625,58907.2890625,7298.6923828125,124934.328125,13670.1181640625,622777.5625,9507,34.212459564208984,35.90476608276367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207644206,24484,0,36.7413330078125,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:25:52.716,"{'cid': '5f904d26-d8a4-497d-8b1a-5c16d6303001', 'uuid': '995bd984-302f-4c79-b71f-16c93fad9552', 'annotationId': '043e2143-1125-4872-99ab-e0cef634c98a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768793149373, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:25:49.600Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,284010.98,38.04,32.83,1008.38,1190.0,1190.85,22450138.0,210.0,209.81,22040109.0,1600.0,1600.28,21470060.0,3800.0,3797.87,24020116.0,200.0,199.99,22340093.0,30.01,49.83
