component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_453024,FLW0_453024,ANLT0_453024,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_094324,FLW0_094324,ANLT0_094324
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,61d71622-5164-4949-af57-085fe58850d9,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1292.812255859375,477569.875,197466.890625,8089.4072265625,7110.65966796875,25866.5859375,181777.515625,173362.359375,231548.734375,68164.78125,121380.328125,18609.1171875,270831.65625,5996.658203125,18741.396484375,36742.1796875,255495.53125,51698.1953125,187131.484375,19184.541015625,6889.9267578125,13165.6279296875,25377.279296875,45352.91015625,2861209.0,358322.15625,1627961.375,3461530.25,11267157,5500.61474609375,70108.171875,149503744,66223360,20790.169921875,85531.8515625,202766.25,671837.25,4273.17822265625,2843382.25,1129161.5,62489.3671875,480499.03125,20884.814453125,820500.25,687.7340087890625,412966.25,439520.0625,232776.625,899042.75,69001.8984375,76919.640625,17067.107421875,4140.7529296875,271185.0,14787.1669921875,141592.140625,30550.59375,399080.78125,1095872.0,58366.4765625,7250.70361328125,121617.015625,13519.486328125,596117.25,5833,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,190842671,24484,0,37.48126602172852,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:45:49.211,"{'cid': '69a961e7-1217-4443-b76a-dd294baa23ba', 'uuid': 'd2d3988b-37e1-439a-b43d-5a9b4fbf8132', 'annotationId': '61d71622-5164-4949-af57-085fe58850d9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776348856, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:45:49.092Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,8.76,1340.0,1338.24,22450138.0,60.0,61.34,22040109.0,300.0,298.88,24020116.0,3700.0,3698.88,22340093.0,0.0,604486.44,7.7,32.48,1009.63,1600.0,1599.04,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,61d71622-5164-4949-af57-085fe58850d9,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1294.12109375,477641.59375,197485.59375,8090.1748046875,7110.654296875,25868.490234375,181870.078125,173367.125,231614.953125,68207.078125,121376.546875,18609.638671875,270990.125,6011.05908203125,18740.095703125,36745.4296875,255097.96875,51703.484375,187262.859375,19180.3046875,6889.82470703125,13166.2763671875,25375.02734375,45357.26171875,2863978.5,358798.1875,1625025.0,3462362.5,11280673,5500.78466796875,70389.0234375,150681072,66079536,20792.439453125,85553.515625,202735.875,671677.0,4273.44091796875,2838842.75,1129658.5,62497.59375,480223.3125,20882.55859375,820231.25,687.9561157226562,413184.59375,439346.46875,232807.59375,898920.875,69004.609375,76916.1484375,17068.814453125,4135.16796875,270821.15625,14807.74609375,140908.734375,30547.404296875,398980.5,1095470.625,58372.42578125,7250.90966796875,121390.7265625,13517.9033203125,595808.9375,6134,33.890113830566406,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,190842671,24484,0,37.48126602172852,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:45:49.511,"{'cid': '69a961e7-1217-4443-b76a-dd294baa23ba', 'uuid': 'd2d3988b-37e1-439a-b43d-5a9b4fbf8132', 'annotationId': '61d71622-5164-4949-af57-085fe58850d9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776348856, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:45:49.092Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,8.76,1340.0,1338.24,22450138.0,60.0,61.34,22040109.0,300.0,298.88,24020116.0,3700.0,3698.88,22340093.0,0.0,604486.44,7.7,32.48,1009.63,1600.0,1599.04,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,61d71622-5164-4949-af57-085fe58850d9,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1293.949462890625,477579.84375,197502.046875,8090.02978515625,7111.384765625,25868.513671875,181877.28125,173373.3125,231386.734375,68136.6171875,121384.671875,18608.4921875,270579.40625,6000.1943359375,18741.283203125,36748.16796875,255023.671875,51684.296875,187386.84375,19182.962890625,6889.24169921875,13161.2041015625,25374.63671875,45349.5078125,2866312.5,359016.5,1625251.25,3463299.5,11289225,5500.9775390625,68960.53125,151525296,65788752,20785.787109375,85533.1328125,202809.40625,671569.75,4272.83447265625,2830945.0,1125865.75,62503.62890625,480401.125,20886.521484375,820046.3125,687.7256469726562,413305.34375,439492.46875,232853.765625,899292.8125,68986.84375,76931.3046875,17066.830078125,4139.0185546875,270821.65625,14792.28515625,141633.09375,30546.0625,399039.71875,1095347.375,58371.1640625,7250.72998046875,121563.6953125,13521.1328125,595425.4375,6435,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,190842671,24484,0,37.48126602172852,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:45:49.815,"{'cid': '69a961e7-1217-4443-b76a-dd294baa23ba', 'uuid': 'd2d3988b-37e1-439a-b43d-5a9b4fbf8132', 'annotationId': '61d71622-5164-4949-af57-085fe58850d9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776348856, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:45:49.092Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,8.76,1340.0,1338.28,22450138.0,60.0,61.32,22040109.0,300.0,298.9,24020116.0,3700.0,3698.92,22340093.0,0.0,604486.44,7.7,32.48,1009.63,1600.0,1599.04,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,61d71622-5164-4949-af57-085fe58850d9,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1292.9127197265625,477531.375,197532.875,8090.42578125,7111.11328125,25869.265625,181818.34375,173373.171875,231713.515625,68157.5859375,121384.640625,18609.44921875,270631.78125,5983.044921875,18740.671875,36748.03515625,255121.515625,51683.9921875,187249.875,19183.20703125,6889.59814453125,13157.771484375,25374.73046875,45345.23046875,2866277.75,358196.6875,1625652.625,3463706.75,11294893,5501.4306640625,69318.1484375,152001808,65409924,20786.41796875,85537.09375,202759.671875,671542.75,4273.08935546875,2828110.75,1126927.375,62509.22265625,480487.53125,20885.69140625,822057.25,688.1082763671875,413328.5,439577.96875,232863.875,899977.0625,68992.8671875,76954.109375,17064.990234375,4138.771484375,270804.4375,14804.6875,141400.171875,30546.326171875,398942.09375,1095442.5,58375.90234375,7251.4482421875,121672.7734375,13517.419921875,595161.1875,6736,33.80952835083008,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,190842671,24484,0,37.48126602172852,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:45:50.111,"{'cid': '69a961e7-1217-4443-b76a-dd294baa23ba', 'uuid': 'd2d3988b-37e1-439a-b43d-5a9b4fbf8132', 'annotationId': '61d71622-5164-4949-af57-085fe58850d9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776348856, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:45:49.092Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,8.75,1340.0,1338.66,22450138.0,60.0,61.12,22040109.0,300.0,299.11,24020116.0,3700.0,3699.39,22340093.0,0.0,604237.28,7.7,32.48,1009.64,1600.0,1599.04,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,61d71622-5164-4949-af57-085fe58850d9,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1293.4705810546875,477625.75,197521.6875,8089.85791015625,7110.7822265625,25868.115234375,181903.609375,173352.265625,231878.59375,68082.5078125,121361.5390625,18612.623046875,270487.9375,5980.63818359375,18741.34375,36749.8046875,255150.0625,51670.52734375,187156.25,19183.7734375,6890.0830078125,13146.7421875,25374.03125,45347.60546875,2862591.75,353824.4375,1624070.0,3462180.0,11293474,5501.333984375,68702.2734375,151865760,64991308,20791.45703125,85551.125,202745.921875,671528.9375,4273.60595703125,2827651.25,1127382.875,62510.80078125,480379.78125,20888.09765625,823341.6875,687.4421997070312,413434.15625,439919.09375,232889.265625,900815.5625,69012.40625,76968.8046875,17069.09375,4136.17578125,272392.9375,14779.1923828125,141881.40625,30549.279296875,398829.03125,1095638.625,58384.203125,7251.4921875,121640.328125,13518.9970703125,595174.0625,7037,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,190842671,24484,0,37.48126602172852,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:45:50.413,"{'cid': '69a961e7-1217-4443-b76a-dd294baa23ba', 'uuid': 'd2d3988b-37e1-439a-b43d-5a9b4fbf8132', 'annotationId': '61d71622-5164-4949-af57-085fe58850d9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776348856, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:45:49.092Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,8.74,1340.0,1339.04,22450138.0,60.0,60.92,22040109.0,300.0,299.33,24020116.0,3700.0,3699.87,22340093.0,0.0,603819.24,7.71,32.48,1009.65,1600.0,1599.04,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,61d71622-5164-4949-af57-085fe58850d9,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1293.26220703125,477379.8125,197514.015625,8090.34033203125,7110.45361328125,25866.921875,181832.09375,173346.5,231159.15625,68185.6015625,121344.328125,18609.318359375,271388.21875,5983.85986328125,18741.244140625,36747.34375,254963.875,51681.26171875,187397.4375,19188.541015625,6889.73974609375,13148.98046875,25374.705078125,45345.640625,2858458.5,357654.59375,1621153.875,3460256.25,11287978,5501.52099609375,68545.515625,151343520,64616968,20788.671875,85530.6171875,202789.140625,671499.9375,4273.060546875,2827050.75,1127266.5,62505.66796875,480516.09375,20886.8046875,823619.625,687.8240356445312,413443.375,439484.21875,232864.625,901607.25,69041.5625,76974.0546875,17069.40234375,4138.837890625,272556.25,14807.216796875,141302.375,30553.80078125,398929.84375,1095867.25,58375.06640625,7251.46044921875,121573.53125,13524.7900390625,595257.3125,7338,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,190842671,24484,0,37.48126602172852,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:45:50.714,"{'cid': '69a961e7-1217-4443-b76a-dd294baa23ba', 'uuid': 'd2d3988b-37e1-439a-b43d-5a9b4fbf8132', 'annotationId': '61d71622-5164-4949-af57-085fe58850d9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776348856, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:45:49.092Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,8.74,1340.0,1339.42,22450138.0,60.0,60.71,22040109.0,300.0,299.54,24020116.0,3700.0,3700.35,22340093.0,0.0,603402.58,7.71,32.48,1009.66,1600.0,1599.04,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,61d71622-5164-4949-af57-085fe58850d9,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1295.606201171875,477353.65625,197487.9375,8089.55908203125,7110.27783203125,25866.806640625,181783.46875,173361.140625,231343.453125,68158.7734375,121345.078125,18608.724609375,270916.375,5961.3955078125,18741.373046875,36744.6953125,254940.0625,51690.94140625,187633.1875,19185.025390625,6889.5810546875,13163.9609375,25375.09765625,45342.7109375,2855372.5,358006.21875,1619441.625,3458839.0,11278536,5500.52099609375,69172.4921875,150467536,64338604,20794.673828125,85548.265625,202833.75,671537.9375,4272.92822265625,2821996.25,1127428.625,62501.7890625,480371.0,20887.806640625,824130.25,688.1973266601562,413617.84375,439774.9375,232906.390625,902329.5,68997.9921875,76956.40625,17068.30078125,4135.29736328125,272677.625,14792.5927734375,140743.875,30557.666015625,398923.125,1096610.375,58383.94921875,7251.03076171875,121545.0390625,13519.1123046875,594803.8125,7639,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,190847703,24484,0,37.89619827270508,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:45:51.014,"{'cid': '69a961e7-1217-4443-b76a-dd294baa23ba', 'uuid': 'd2d3988b-37e1-439a-b43d-5a9b4fbf8132', 'annotationId': '61d71622-5164-4949-af57-085fe58850d9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776348856, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:45:49.092Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,8.73,1340.0,1339.61,22450138.0,60.0,60.51,22040109.0,300.0,299.56,24020116.0,3700.0,3699.76,22340093.0,0.0,602987.31,7.72,32.48,1009.68,1600.0,1599.39,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,61d71622-5164-4949-af57-085fe58850d9,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1293.39306640625,477407.78125,197428.671875,8089.9443359375,7110.53955078125,25864.162109375,181889.84375,173351.21875,231365.640625,67989.6328125,121333.765625,18609.08203125,271408.5625,5973.01318359375,18741.1640625,36746.03515625,255307.765625,51696.0859375,188336.421875,19184.416015625,6889.7958984375,13162.6923828125,25374.89453125,45342.04296875,2853334.0,358190.8125,1621420.5,3457528.25,11266026,5499.53271484375,70113.2734375,149316400,64209280,20785.73046875,85533.4765625,202836.109375,671747.0625,4274.6103515625,2819173.0,1127431.625,62493.6953125,480021.15625,20887.90625,824773.625,688.2361450195312,413395.0625,439823.625,232854.53125,902736.0625,69009.5859375,76965.515625,17069.943359375,4132.37646484375,272704.875,14810.6796875,141229.0625,30555.548828125,399005.5,1097051.875,58375.31640625,7250.75048828125,121709.9765625,13523.4697265625,594460.125,7940,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,190847703,24484,0,37.89619827270508,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:45:51.318,"{'cid': '69a961e7-1217-4443-b76a-dd294baa23ba', 'uuid': 'd2d3988b-37e1-439a-b43d-5a9b4fbf8132', 'annotationId': '61d71622-5164-4949-af57-085fe58850d9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776348856, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:45:49.092Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.72,8.73,1340.0,1339.73,22450138.0,60.0,60.31,22040109.0,300.0,299.51,24020116.0,3700.0,3698.75,22340093.0,0.0,601737.78,7.72,32.48,1009.63,1600.0,1599.87,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,61d71622-5164-4949-af57-085fe58850d9,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1293.7266845703125,477044.0,197417.265625,8090.169921875,7110.73779296875,25864.935546875,181797.8125,173298.046875,231320.421875,67999.25,121347.796875,18608.7421875,271265.90625,5981.845703125,18743.818359375,36743.39453125,255483.75,51683.6328125,188191.40625,19186.94140625,6889.9345703125,13165.0673828125,25375.591796875,45345.796875,2851882.0,356356.3125,1622241.375,3456109.75,11252013,5500.88037109375,69366.7265625,148134016,64248908,20785.017578125,85523.453125,202848.40625,671907.75,4274.408203125,2815318.75,1126336.375,62487.08203125,480043.65625,20888.912109375,824614.0,687.5836791992188,413254.3125,439667.125,232810.28125,902999.1875,69007.6953125,76960.9765625,17068.322265625,4135.9248046875,272746.34375,14795.5849609375,140750.234375,30558.330078125,399021.53125,1097412.0,58390.65234375,7250.87060546875,121692.25,13526.119140625,594894.25,8241,33.80952835083008,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,190847703,24484,0,37.89619827270508,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:45:51.616,"{'cid': '69a961e7-1217-4443-b76a-dd294baa23ba', 'uuid': 'd2d3988b-37e1-439a-b43d-5a9b4fbf8132', 'annotationId': '61d71622-5164-4949-af57-085fe58850d9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776348856, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:45:49.092Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.72,8.72,1340.0,1339.85,22450138.0,60.0,60.1,22040109.0,300.0,299.46,24020116.0,3700.0,3697.75,22340093.0,0.0,600251.54,7.72,32.48,1009.56,1600.0,1600.35,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,61d71622-5164-4949-af57-085fe58850d9,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1293.146728515625,476994.90625,197424.203125,8090.35498046875,7110.96044921875,25863.314453125,181749.71875,173282.59375,231351.46875,68099.3515625,121344.0390625,18609.091796875,270805.90625,5982.83447265625,18743.142578125,36742.17578125,255509.015625,51693.19921875,188526.078125,19179.083984375,6890.056640625,13167.7998046875,25375.857421875,45346.3359375,2850437.75,356051.9375,1617793.125,3454697.5,11236711,5500.83203125,68934.4375,146829744,64385620,20789.91015625,85491.3203125,202813.0,672055.75,4276.22314453125,2813294.0,1125765.0,62479.61328125,479879.28125,20885.505859375,824207.9375,687.4959716796875,413031.71875,439328.65625,232764.71875,902938.3125,69006.09375,76954.046875,17067.26953125,4132.6884765625,272610.3125,14776.7529296875,141316.3125,30556.14453125,399075.375,1097949.75,58390.7890625,7250.412109375,121635.28125,13519.46484375,594877.0,8542,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,190847703,24484,0,37.89619827270508,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:45:51.918,"{'cid': '69a961e7-1217-4443-b76a-dd294baa23ba', 'uuid': 'd2d3988b-37e1-439a-b43d-5a9b4fbf8132', 'annotationId': '61d71622-5164-4949-af57-085fe58850d9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776348856, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:45:49.092Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,8.71,1340.0,1340.04,22450138.0,60.0,59.98,22040109.0,300.0,299.4,24020116.0,3700.0,3696.76,22340093.0,0.0,598745.36,7.73,32.48,1009.49,1600.0,1600.49,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,61d71622-5164-4949-af57-085fe58850d9,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1293.0538330078125,476701.875,197425.875,8089.9970703125,7110.8369140625,25863.083984375,181727.5,173262.140625,231564.953125,68068.8515625,121341.75,18608.814453125,271372.09375,5981.25048828125,18742.03125,36735.70703125,255682.78125,51703.5234375,187937.46875,19183.83203125,6890.00244140625,13164.5107421875,25379.099609375,45346.703125,2850257.25,356361.90625,1617985.25,3453740.5,11228731,5501.49365234375,68342.2109375,146045488,64643712,20785.708984375,85495.953125,202828.171875,672075.125,4274.943359375,2812451.5,1128570.0,62481.765625,479579.5,20885.623046875,823778.3125,687.6553344726562,412868.40625,439044.25,232759.09375,902336.4375,68979.734375,76925.640625,17066.42578125,4132.162109375,272936.40625,14788.4404296875,141975.109375,30558.84765625,398950.3125,1097943.5,58389.66796875,7250.7490234375,121578.2734375,13514.80859375,595457.0,8843,33.80952835083008,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,190847703,24484,0,37.89619827270508,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:45:52.222,"{'cid': '69a961e7-1217-4443-b76a-dd294baa23ba', 'uuid': 'd2d3988b-37e1-439a-b43d-5a9b4fbf8132', 'annotationId': '61d71622-5164-4949-af57-085fe58850d9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776348856, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:45:49.092Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,8.7,1340.0,1340.36,22450138.0,60.0,59.97,22040109.0,300.0,299.35,24020116.0,3700.0,3695.77,22340093.0,0.0,597229.19,7.73,32.48,1009.42,1600.0,1600.11,21470060.0
