component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,T0_183225,H0_183225,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_094324,FLW0_094324,ANLT0_094324
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,256ad396-7614-478f-a8f5-8bf9e5fb6d1a,57ac2775-33b0-42db-b70c-99b78f79ffa2,1266.9176025390625,476815.03125,197392.5,8085.69091796875,7108.3037109375,25863.169921875,181745.546875,173203.546875,231031.75,68292.3046875,121115.9921875,18603.646484375,270221.65625,5795.52490234375,18724.650390625,36722.56640625,254760.390625,51663.60546875,187558.65625,19191.865234375,6888.767578125,13145.5185546875,25346.029296875,45329.15234375,2850954.75,356953.5625,1640536.625,3456361.5,11246479,5501.00732421875,68959.3359375,149429584,64199044,20786.34765625,85633.484375,202877.609375,671717.5625,4271.75390625,2798770.75,1113343.5,62476.7890625,479787.0625,20883.59375,819144.1875,689.219970703125,412758.6875,438896.9375,232735.390625,902632.75,68934.671875,76861.921875,17087.697265625,4122.31787109375,271823.625,14827.072265625,141670.734375,30494.025390625,399352.40625,1097423.125,58365.06640625,7245.50732421875,121629.4375,13493.556640625,596046.3125,6892,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191294195,24484,0,37.4239616394043,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:53:20.179,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': '2d89e0ec-74fe-45b0-b56c-1f8a63e92dd2', 'annotationId': '256ad396-7614-478f-a8f5-8bf9e5fb6d1a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776799737, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:53:19.970Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,607095.82,7.56,32.49,1010.05,29.81,8.68,1370.0,1368.96,22450138.0,300.0,300.08,24020116.0,3700.0,3696.88,22340093.0,30.0,31.02,22040109.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,256ad396-7614-478f-a8f5-8bf9e5fb6d1a,57ac2775-33b0-42db-b70c-99b78f79ffa2,1266.24365234375,477099.5625,197354.5625,8086.1328125,7108.6865234375,25862.166015625,181744.71875,173209.265625,230831.0,68288.484375,121125.5078125,18604.822265625,270939.71875,5774.60107421875,18725.119140625,36730.51171875,254805.234375,51658.11328125,186734.46875,19191.767578125,6889.33984375,13145.62109375,25346.451171875,45328.921875,2848761.5,357831.5625,1640655.875,3454854.75,11231121,5500.8955078125,70025.390625,147992864,64270824,20781.17578125,85630.640625,202926.375,671846.625,4271.4638671875,2800757.5,1114095.875,62472.38671875,479762.875,20882.388671875,819426.4375,688.5104370117188,412485.15625,438575.21875,232738.0,902671.1875,69019.078125,76857.8359375,17084.154296875,4125.275390625,271909.96875,14800.826171875,142431.625,30496.076171875,399088.34375,1097661.875,58365.328125,7245.5390625,121616.53125,13489.828125,596418.6875,7193,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191294195,24484,0,37.4239616394043,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:53:20.478,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': '2d89e0ec-74fe-45b0-b56c-1f8a63e92dd2', 'annotationId': '256ad396-7614-478f-a8f5-8bf9e5fb6d1a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776799737, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:53:19.970Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,606956.38,7.56,32.49,1010.06,29.81,8.68,1370.0,1368.96,22450138.0,300.0,300.08,24020116.0,3700.0,3696.88,22340093.0,30.0,31.02,22040109.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,256ad396-7614-478f-a8f5-8bf9e5fb6d1a,57ac2775-33b0-42db-b70c-99b78f79ffa2,1266.822021484375,476850.03125,197386.140625,8086.283203125,7108.90673828125,25862.2265625,181706.34375,173195.671875,230955.0,68309.6640625,121144.828125,18605.23046875,270946.40625,5802.87255859375,18725.41796875,36728.77734375,254338.6875,51662.41015625,187569.421875,19179.7578125,6888.59521484375,13140.71875,25350.20703125,45331.953125,2848144.75,357578.96875,1638798.375,3453255.0,11220770,5500.60888671875,69798.3828125,146958944,64590712,20780.8046875,85608.84375,202837.15625,671911.75,4270.568359375,2804682.25,1112076.75,62464.66796875,479744.875,20883.27734375,818655.5625,688.804443359375,412487.6875,438614.8125,232674.625,902333.5,68973.3203125,76853.984375,17082.79296875,4127.26318359375,271748.34375,14818.5595703125,142359.109375,30494.67578125,399250.6875,1097788.75,58365.00390625,7245.81396484375,121687.578125,13485.0810546875,596436.0625,7495,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191294195,24484,0,37.4239616394043,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:53:20.780,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': '2d89e0ec-74fe-45b0-b56c-1f8a63e92dd2', 'annotationId': '256ad396-7614-478f-a8f5-8bf9e5fb6d1a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776799737, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:53:19.970Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,606815.54,7.57,32.49,1010.06,29.81,8.68,1370.0,1368.92,22450138.0,300.0,300.16,24020116.0,3700.0,3697.25,22340093.0,30.0,30.99,22040109.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,256ad396-7614-478f-a8f5-8bf9e5fb6d1a,57ac2775-33b0-42db-b70c-99b78f79ffa2,1266.0074462890625,476698.40625,197359.71875,8086.25927734375,7108.40625,25862.77734375,181702.765625,173180.46875,231012.109375,68236.1875,121148.7734375,18603.9921875,270295.84375,5795.75634765625,18726.978515625,36729.44140625,254671.3125,51665.80859375,186848.3125,19181.51953125,6889.2099609375,13146.3388671875,25349.140625,45334.06640625,2849242.0,357512.34375,1640549.875,3453694.0,11216956,5501.50341796875,68462.2578125,146538464,64991900,20781.60546875,85625.890625,202826.828125,672012.125,4270.27587890625,2805320.5,1112928.25,62462.95703125,479626.03125,20880.923828125,818638.5,688.9423828125,412419.59375,438387.5,232670.734375,901623.125,68912.7265625,76846.53125,17084.982421875,4124.90966796875,271498.15625,14801.369140625,142132.0625,30495.453125,399307.71875,1097723.5,58366.15625,7245.828125,121717.5,13483.8525390625,596968.0,7796,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191294195,24484,0,37.4239616394043,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:53:21.081,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': '2d89e0ec-74fe-45b0-b56c-1f8a63e92dd2', 'annotationId': '256ad396-7614-478f-a8f5-8bf9e5fb6d1a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776799737, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:53:19.970Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,606675.17,7.57,32.49,1010.07,29.81,8.69,1370.0,1368.83,22450138.0,300.0,300.38,24020116.0,3700.0,3698.28,22340093.0,30.0,30.92,22040109.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,256ad396-7614-478f-a8f5-8bf9e5fb6d1a,57ac2775-33b0-42db-b70c-99b78f79ffa2,1268.1517333984375,476937.8125,197361.84375,8086.19970703125,7108.20263671875,25862.705078125,181670.953125,173180.9375,230731.796875,68254.8203125,121172.6171875,18604.396484375,271649.9375,5794.0693359375,18730.220703125,36733.94140625,254794.1875,51660.3828125,187383.25,19182.16015625,6889.29296875,13143.228515625,25350.30859375,45331.1484375,2852135.0,357701.75,1642783.0,3455996.75,11215713,5500.9013671875,69890.7578125,146738048,65402204,20781.677734375,85607.125,202828.4375,672091.8125,4269.31396484375,2811845.0,1114184.0,62461.453125,479599.46875,20885.51953125,818667.375,688.5106201171875,412405.25,438169.875,232686.953125,900554.0,68941.21875,76873.296875,17081.640625,4123.28564453125,270399.78125,14779.951171875,141811.875,30492.359375,399029.03125,1097472.375,58368.85546875,7245.3994140625,121629.6796875,13489.6533203125,597098.6875,8097,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191294195,24484,0,37.4239616394043,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:53:21.382,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': '2d89e0ec-74fe-45b0-b56c-1f8a63e92dd2', 'annotationId': '256ad396-7614-478f-a8f5-8bf9e5fb6d1a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776799737, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:53:19.970Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,607037.19,7.57,32.49,1010.07,29.8,8.7,1370.0,1368.73,22450138.0,300.0,300.59,24020116.0,3700.0,3699.31,22340093.0,30.0,30.84,22040109.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,256ad396-7614-478f-a8f5-8bf9e5fb6d1a,57ac2775-33b0-42db-b70c-99b78f79ffa2,1266.159912109375,476952.5,197395.703125,8086.09765625,7108.544921875,25863.525390625,181756.71875,173174.03125,231290.75,68253.8125,121176.1953125,18604.998046875,271907.9375,5788.58740234375,18723.8203125,36734.1015625,254590.21875,51659.5234375,186984.390625,19179.3984375,6889.4912109375,13137.3349609375,25352.001953125,45335.14453125,2853848.0,357727.375,1643059.5,3457796.75,11219984,5501.1982421875,69900.390625,147275296,65725928,20785.98046875,85602.9765625,202848.125,672094.5625,4269.77734375,2814361.5,1113436.25,62462.8203125,479853.8125,20883.986328125,818228.1875,688.375244140625,412466.53125,438285.71875,232677.71875,899759.3125,68943.5859375,76864.2890625,17079.083984375,4128.3310546875,269890.25,14804.2333984375,142182.40625,30485.970703125,398857.3125,1097072.375,58358.58984375,7245.4462890625,121252.296875,13488.802734375,597373.25,8398,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191294195,24484,0,37.4239616394043,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:53:21.689,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': '2d89e0ec-74fe-45b0-b56c-1f8a63e92dd2', 'annotationId': '256ad396-7614-478f-a8f5-8bf9e5fb6d1a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776799737, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:53:19.970Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,607611.38,7.58,32.49,1010.07,29.8,8.71,1370.0,1368.64,22450138.0,300.0,300.79,24020116.0,3700.0,3700.33,22340093.0,30.0,30.76,22040109.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,256ad396-7614-478f-a8f5-8bf9e5fb6d1a,57ac2775-33b0-42db-b70c-99b78f79ffa2,1266.7666015625,476908.03125,197387.109375,8086.43505859375,7108.31396484375,25864.716796875,181720.65625,173217.46875,231273.40625,68245.2265625,121184.0234375,18605.544921875,271544.90625,5755.41552734375,18723.587890625,36740.21484375,255162.984375,51671.21484375,187894.8125,19171.728515625,6889.01953125,13135.931640625,25352.94921875,45334.02734375,2855771.25,357993.0,1641490.25,3459148.0,11227186,5501.224609375,70661.9765625,148360752,65974412,20782.81640625,85601.671875,202875.8125,671979.5,4269.4951171875,2814536.75,1112803.875,62465.16796875,479753.6875,20882.755859375,817695.8125,688.8002319335938,412618.53125,438686.5625,232669.8125,899162.25,68958.2265625,76847.078125,17079.6640625,4120.6728515625,271364.6875,14795.390625,142086.796875,30484.091796875,398789.15625,1096526.75,58349.4296875,7245.09716796875,121619.3203125,13491.0322265625,597173.5625,8699,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191294195,24484,0,37.4239616394043,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:53:21.984,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': '2d89e0ec-74fe-45b0-b56c-1f8a63e92dd2', 'annotationId': '256ad396-7614-478f-a8f5-8bf9e5fb6d1a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776799737, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:53:19.970Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,608163.14,7.58,32.5,1010.08,29.8,8.71,1370.0,1368.66,22450138.0,300.0,300.51,24020116.0,3700.0,3700.71,22340093.0,30.0,30.69,22040109.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,256ad396-7614-478f-a8f5-8bf9e5fb6d1a,57ac2775-33b0-42db-b70c-99b78f79ffa2,1268.60498046875,477173.8125,197407.15625,8086.16259765625,7108.5,25865.37890625,181732.125,173238.625,231221.703125,68184.9453125,121207.4296875,18605.755859375,270892.59375,5778.0693359375,18727.427734375,36739.74609375,255283.875,51670.15234375,187806.453125,19184.55078125,6889.26708984375,13157.072265625,25351.59375,45339.23828125,2857685.75,358546.375,1641288.375,3460362.0,11235574,5501.64208984375,70673.71875,149247952,66076064,20784.244140625,85602.203125,202855.640625,671739.8125,4270.98486328125,2821061.25,1111094.375,62470.26171875,480201.53125,20882.150390625,817156.75,688.6417236328125,412290.90625,438847.40625,232702.15625,898766.75,68953.25,76875.71875,17077.337890625,4129.3720703125,271631.34375,14820.4716796875,140029.515625,30489.27734375,399038.15625,1095888.75,58358.81640625,7245.12451171875,121572.515625,13493.5703125,596108.9375,9000,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191294195,24484,0,37.4239616394043,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:53:22.285,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': '2d89e0ec-74fe-45b0-b56c-1f8a63e92dd2', 'annotationId': '256ad396-7614-478f-a8f5-8bf9e5fb6d1a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776799737, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:53:19.970Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,608726.12,7.59,32.5,1010.08,29.79,8.71,1370.0,1368.69,22450138.0,300.0,300.22,24020116.0,3700.0,3701.09,22340093.0,30.0,30.61,22040109.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,256ad396-7614-478f-a8f5-8bf9e5fb6d1a,57ac2775-33b0-42db-b70c-99b78f79ffa2,1266.8634033203125,477296.59375,197418.203125,8086.42333984375,7108.3564453125,25865.36328125,181829.59375,173239.296875,231409.890625,68146.046875,121201.3359375,18606.119140625,270119.34375,5773.7431640625,18726.275390625,36735.46875,254781.453125,51662.30078125,187681.46875,19179.408203125,6889.08984375,13144.6171875,25351.21484375,45331.63671875,2860415.25,357560.8125,1645251.875,3461731.25,11248724,5501.576171875,70762.84375,150323776,66005956,20782.75,85579.328125,202806.375,671591.75,4269.9462890625,2814872.0,1109567.625,62479.89453125,479868.21875,20879.8203125,817639.625,687.9518432617188,412619.21875,438753.90625,232717.984375,898533.625,68940.4140625,76857.3671875,17081.08984375,4123.2880859375,271592.0,14821.1689453125,139382.09375,30485.966796875,398972.09375,1095212.375,58354.3046875,7244.47607421875,121505.234375,13491.06640625,596269.6875,9301,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191299228,24484,0,37.97135925292969,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:53:22.587,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': '2d89e0ec-74fe-45b0-b56c-1f8a63e92dd2', 'annotationId': '256ad396-7614-478f-a8f5-8bf9e5fb6d1a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776799737, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:53:19.970Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,607455.86,7.59,32.5,1010.03,29.79,8.71,1370.0,1368.71,22450138.0,300.0,299.93,24020116.0,3700.0,3701.47,22340093.0,30.0,30.53,22040109.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,256ad396-7614-478f-a8f5-8bf9e5fb6d1a,57ac2775-33b0-42db-b70c-99b78f79ffa2,1268.057373046875,477363.3125,197450.25,8086.28564453125,7108.04248046875,25867.431640625,181756.3125,173267.515625,231498.3125,68155.0,121177.28125,18604.0390625,269705.6875,5789.81689453125,18726.25,36732.3984375,254559.6875,51650.70703125,187959.765625,19185.875,6889.04150390625,13152.908203125,25348.1796875,45332.6171875,2863185.5,357937.96875,1642709.375,3462569.5,11260319,5501.5126953125,70479.0078125,151239408,65799276,20782.45703125,85563.3828125,202750.609375,671440.8125,4271.72509765625,2812856.75,1110651.125,62482.375,480061.71875,20878.919921875,817638.25,689.1922607421875,412729.59375,438699.78125,232748.9375,898760.5625,68936.9453125,76863.7890625,17077.4921875,4119.18896484375,272089.21875,14818.837890625,138603.296875,30484.48828125,398884.09375,1094957.625,58349.6171875,7244.71826171875,121567.3671875,13487.5654296875,595895.0,9602,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191299228,24484,0,37.97135925292969,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:53:22.890,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': '2d89e0ec-74fe-45b0-b56c-1f8a63e92dd2', 'annotationId': '256ad396-7614-478f-a8f5-8bf9e5fb6d1a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776799737, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:53:19.970Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,605908.36,7.59,32.5,1009.98,29.79,8.69,1370.0,1369.13,22450138.0,300.0,299.73,24020116.0,3700.0,3701.25,22340093.0,30.0,30.46,22040109.0,1600.0,1599.73,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,256ad396-7614-478f-a8f5-8bf9e5fb6d1a,57ac2775-33b0-42db-b70c-99b78f79ffa2,1267.2095947265625,477239.125,197454.25,8086.77294921875,7108.47802734375,25866.88671875,181745.75,173252.015625,231147.671875,68201.1484375,121173.5234375,18605.083984375,270686.0625,5771.9736328125,18728.9296875,36727.60546875,254321.90625,51636.765625,187538.171875,19183.15234375,6889.6708984375,13149.36328125,25348.017578125,45332.546875,2864335.5,358684.59375,1639486.625,3463389.25,11269050,5501.35498046875,70899.5546875,152027056,65480476,20786.81640625,85566.3515625,202833.359375,671406.875,4269.93798828125,2814299.5,1109796.375,62481.7421875,480289.28125,20877.880859375,818584.5625,688.9482421875,412766.96875,438524.96875,232755.109375,899262.625,68941.5859375,76865.0234375,17077.916015625,4118.8515625,272051.96875,14812.23828125,139605.84375,30481.376953125,399098.65625,1094794.125,58348.9296875,7244.80078125,121596.3359375,13492.8671875,595903.25,9903,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191299228,24484,0,37.97135925292969,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:53:23.191,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': '2d89e0ec-74fe-45b0-b56c-1f8a63e92dd2', 'annotationId': '256ad396-7614-478f-a8f5-8bf9e5fb6d1a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776799737, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:53:19.970Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,604371.09,7.58,32.5,1009.93,29.8,8.67,1370.0,1369.73,22450138.0,300.0,299.58,24020116.0,3700.0,3700.72,22340093.0,30.0,30.38,22040109.0,1600.0,1599.8,21470060.0
