component_sn,product_sn,event_name,annotation_id,configuration_id,CHRA1,CHRA2,CHRA3,CHRA4,CHRA5,CHRA6,CHRA7,CHRA8,CHRB1,CHRB2,CHRB3,CHRB4,CHRB5,CHRB6,CHRB7,CHRB8,CHRC1,CHRC2,CHRC3,CHRC4,CHRC5,CHRC6,CHRC7,CHRC8,CHRD1,CHRD2,CHRD3,CHRD4,CHRD5,CHRD6,CHRD7,CHRD8,CHRE1,CHRE2,CHRE3,CHRE4,CHRE5,CHRE6,CHRE7,CHRE8,CHRF1,CHRF2,CHRF3,CHRF4,CHRF5,CHRF6,CHRF7,CHRF8,CHRG1,CHRG2,CHRG3,CHRG4,CHRG5,CHRG6,CHRG7,CHRG8,CHRH1,CHRH2,CHRH3,CHRH4,CHRH5,CHRH6,CHRH7,CHRH8,BT1,BT2,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_452225,GASR0_452225,H0_452225,T0_452225,P0_452225,SETP0_093324,FLW0_093324,ANLT0_093324,SETP0_183425,FLW0_183425,ANLT0_183425,SETP0_453624,FLW0_453624,ANLT0_453624,FLW0_093125,FLW0_091225,bVOC_454524,GASR0_454524,H0_454524,T0_454524,P0_454524
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,e926b8c0-77fa-4e3f-afb2-5d6b6be8f783,dce27208-9ed3-4553-9623-330063c51d52,4429038235.4588,6693251435.3259,4585274032.062,8368.5187,5832.2109,6985337147.8873,4644352452.7861,4463365038.271,4426107972.028,6693879084.6914,4586907311.9898,12598.0695,84271.7917,6982939105.9486,4703237018.1775,4843046345.4845,4441483186.4369,6740512711.5041,4664929345.2661,249785.4857,4935.0287,6995824737.7237,4647073655.8825,4744133269.5298,4497539790.814,6740323924.5026,4720224591.9218,13386846.7863,9032943.0992,7001151301.2792,4681580622.3479,4810100667.071,4431847972.216,6706409779.2065,4601874891.096,6435812.1523,635072.0469,6982420589.5293,4672863109.5947,4804970618.5255,4419893854.7486,6702892534.0323,4613053857.3508,951097.6657,4204.3188,6982902147.1313,4642742416.2721,4620970110.1206,4399753086.4198,6705193267.3602,4665771744.8913,29085.6406,19279.2886,6984156838.5848,4687146397.5925,4839502715.2358,2856412304.8005,6714230541.2044,4595924357.5613,26945.2189,7989.9253,6989039985.9081,4760146221.6096,4069737206.7957,18.4176,19.7875,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:56:34.721,"{'cid': '03f97957-0b88-476a-9579-d2d33116d74f', 'uuid': '9cd462be-6390-486d-9d8c-431d6140fd30', 'annotationId': 'e926b8c0-77fa-4e3f-afb2-5d6b6be8f783', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759362992107, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:56:32.438Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,454684.66,32.93,21.96,102562.63,2500.0,2499.28,22450181.0,0.0,0.07,22160328.0,2500.0,2496.17,22340098.0,0.15,0.14,0.5,305122.79,33.85,21.95,102517.54
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,e926b8c0-77fa-4e3f-afb2-5d6b6be8f783,dce27208-9ed3-4553-9623-330063c51d52,4429038235.4588,6693251435.3259,4585275189.5364,8369.6735,5832.4653,6985952988.8194,4644352452.7861,4495800453.5147,4426351684.0103,6695004644.878,4587436164.6691,12600.0335,84282.17,6983557159.2009,4700176331.3609,4843340254.0303,4441233299.652,6741082482.9932,4668500972.2468,249844.8457,4934.9269,6995827382.5267,4647074240.9173,4750679245.283,4497793189.6993,6740323074.3071,4720505212.9878,13386169.8172,9031834.336,7002388599.6647,4682133089.7088,4810101273.4991,4431847972.216,6705839113.5172,4601336314.5363,6435878.3555,635123.5004,6981804504.663,4673136839.6282,4804969406.9183,4420139672.6074,6704028752.6427,4611444619.0559,949683.1297,4203.542,6983516676.9339,4643014963.7596,4549539926.5718,4401222741.433,6704626184.0325,4667970305.7798,29127.0906,19260.2828,6984772467.2124,4685764511.5621,4839208053.6913,2863054347.8261,6714227153.3836,4595655452.4362,26949.1967,7990.0434,6989657359.2883,4760716212.1666,4063262273.2397,18.5788,19.9487,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:56:35.917,"{'cid': '03f97957-0b88-476a-9579-d2d33116d74f', 'uuid': '9cd462be-6390-486d-9d8c-431d6140fd30', 'annotationId': 'e926b8c0-77fa-4e3f-afb2-5d6b6be8f783', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759362992107, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:56:32.438Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,490395.66,33.23,21.99,102565.58,2500.0,2499.78,22450181.0,0.0,0.06,22160328.0,2500.0,2500.55,22340098.0,0.14,0.16,0.5,320835.3,34.1,21.94,102515.35
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,e926b8c0-77fa-4e3f-afb2-5d6b6be8f783,dce27208-9ed3-4553-9623-330063c51d52,4429533060.8589,6694382705.6241,4585273453.3248,8368.5693,5832.4913,6985956510.2562,4644352452.7861,4525347218.2596,4425608323.5442,6695004644.878,4587169407.1329,12597.5451,84244.5332,6984175321.2463,4697397989.3554,4843043903.0347,4441235545.0769,6739939636.1163,4663006297.4516,249894.7879,4934.8155,6997065514.5049,4647075410.987,4756673263.7639,4498815033.8318,6740893631.4939,4720224591.9218,13385618.4158,9031844.4552,7003622804.6951,4682131910.8806,4810684740.4173,4431350957.7686,6706970389.1709,4600801347.1924,6436168.9366,635101.6829,6982413550.374,4673135663.0192,4804677126.2418,4420880643.7193,6704594891.7456,4609835340.6645,950418.4752,4196.033,6983511396.6382,4643281112.9947,4572653943.7269,4402451727.7837,6704629566.9824,4670728644.6973,29091.4901,19242.0586,6985391725.3521,4683830414.5292,4838615178.1357,2864930026.8291,6714800101.6432,4595658932.7146,26947.85,7989.8765,6989660001.7616,4761861399.1967,4057016987.3107,18.337,19.8681,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:56:37.115,"{'cid': '03f97957-0b88-476a-9579-d2d33116d74f', 'uuid': '9cd462be-6390-486d-9d8c-431d6140fd30', 'annotationId': 'e926b8c0-77fa-4e3f-afb2-5d6b6be8f783', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759362992107, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:56:32.438Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,501596.92,33.5,21.99,102566.13,2500.0,2500.52,22450181.0,0.0,0.06,22160328.0,2500.0,2499.78,22340098.0,0.14,0.15,0.5,332539.89,34.3,21.96,102517.2
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,e926b8c0-77fa-4e3f-afb2-5d6b6be8f783,dce27208-9ed3-4553-9623-330063c51d52,4429782754.7592,6694387772.3358,4585274032.062,8368.4774,5833.051,6985959151.3337,4644355376.2498,4551618457.3003,4426599339.7863,6695575168.9189,4586638879.2405,12597.2143,84159.4865,6984177081.4997,4695181463.53,4843636030.5344,4440742590.9295,6739381110.261,4666582047.3554,250024.8707,4935.0539,6996455651.5606,4647081846.3699,4761825768.4918,4499844736.3931,6740329875.8715,4720511170.6881,13361731.3244,9027726.267,7003627217.3683,4682412024.7569,4810976526.9606,4431358239.0501,6706414854.9192,4601344445.0897,6436174.2392,635101.4215,6981807144.114,4673145664.1958,4804683183.9108,4420635860.7588,6705164509.8537,4608763306.3812,950096.1195,4202.668,6984745180.882,4643826951.1839,4507055012.5028,4401961831.6363,6704063424.9471,4673484928.9211,29140.8128,19282.7855,6986011092.5258,4692410798.6767,4838617618.3504,2857138156.7054,6715368064.3795,4595658352.6682,26954.1101,7990.4717,6989664405.8839,4753316378.4334,4119958432.9211,18.6593,19.9487,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:56:38.323,"{'cid': '03f97957-0b88-476a-9579-d2d33116d74f', 'uuid': '9cd462be-6390-486d-9d8c-431d6140fd30', 'annotationId': 'e926b8c0-77fa-4e3f-afb2-5d6b6be8f783', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759362992107, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:56:32.438Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,502400.89,33.77,22.0,102564.74,2500.0,2499.79,22450181.0,0.0,0.06,22160328.0,2500.0,2501.12,22340098.0,0.13,0.14,0.5,340424.6,34.5,21.96,102517.09
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,e926b8c0-77fa-4e3f-afb2-5d6b6be8f783,dce27208-9ed3-4553-9623-330063c51d52,4429535860.2542,6694392839.0475,4585009837.963,8372.0711,5833.0706,6985346830.9859,4644085009.3545,4489162232.5371,4425854777.3551,6695576858.1081,4585843028.3035,12597.3323,84231.0169,6984174441.1195,4702685453.792,4840679279.8291,4439741301.908,6739950688.6584,4660815930.3488,249851.617,4935.1411,6995837080.1375,4647081846.3699,4671918001.885,4499077675.4236,6739760265.2385,4720230549.2672,13361947.9823,9028540.3287,7004249779.3469,4682692761.1412,4810687166.4241,4430613764.9101,6706983925.5499,4601346187.3512,6436026.45,635137.7636,6983034142.9074,4672597058.8235,4804100545.1242,4420142466.0596,6704597428.9581,4607691770.8636,950410.5606,4208.2008,6985364436.6197,4643829874.3058,4449553947.1469,4401229973.2977,6703504143.4128,4665231702.2905,29159.5648,19311.5271,6986632329.6355,4690475346.9147,4838326724.8216,2838908169.8642,6716516139.9644,4595397018.7344,26950.4726,7990.859,6990284531.3601,4755026638.7309,4134394911.1007,18.5788,20.0293,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:56:39.520,"{'cid': '03f97957-0b88-476a-9579-d2d33116d74f', 'uuid': '9cd462be-6390-486d-9d8c-431d6140fd30', 'annotationId': 'e926b8c0-77fa-4e3f-afb2-5d6b6be8f783', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759362992107, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:56:32.438Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,497403.69,34.01,22.0,102565.49,2500.0,2499.39,22450181.0,0.0,0.08,22160328.0,2500.0,2498.13,22340098.0,0.14,0.14,0.5,342551.97,34.67,21.96,102517.34
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,e926b8c0-77fa-4e3f-afb2-5d6b6be8f783,dce27208-9ed3-4553-9623-330063c51d52,4429534180.617,6694391994.5955,4584744517.0997,8368.2733,5833.281,6985341549.2958,4644356545.6353,4433598143.9034,4425359659.9172,6696708058.7937,4585843028.3035,12599.1098,84139.0518,6982943505.8078,4700185207.1006,4837432910.466,4440239645.3025,6739948988.2673,4664934055.5817,249990.5807,4935.1801,6995214210.1551,4647081261.335,4594116318.1371,4499330679.5564,6739759415.1152,4721355023.2392,13362400.0797,9028753.0771,7004861858.9461,4682693940.1085,4810977740.0376,4430861895.1613,6706985617.5973,4601077235.7724,6435491.8934,635153.2454,6983648684.3263,4672048582.5197,4804098728.0436,4420143024.75,6704598274.6955,4606889173.1597,949741.3002,4210.0061,6985364436.6197,4644377009.8813,4482301475.1597,4400493353.3567,6702370645.9249,4657553935.6887,29133.1648,19344.7732,6987247512.5473,4689091499.4097,4838325504.7886,2861814428.5093,6716519528.9333,4595395278.6961,26955.1828,7990.9001,6988431527.9613,4757304306.1628,4120404281.8541,18.5788,19.9487,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:56:40.716,"{'cid': '03f97957-0b88-476a-9579-d2d33116d74f', 'uuid': '9cd462be-6390-486d-9d8c-431d6140fd30', 'annotationId': 'e926b8c0-77fa-4e3f-afb2-5d6b6be8f783', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759362992107, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:56:32.438Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,488208.37,34.21,22.01,102565.23,2500.0,2499.64,22450181.0,0.0,0.07,22160328.0,2500.0,2497.91,22340098.0,0.15,0.14,0.5,344699.32,34.87,21.97,102516.91
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,e926b8c0-77fa-4e3f-afb2-5d6b6be8f783,dce27208-9ed3-4553-9623-330063c51d52,4429785554.3113,6694397905.7592,4585012731.4815,8372.4096,5833.7419,6985341549.2958,4644088517.3059,4385212895.3771,4425856455.5829,6696147478.6722,4586373950.7959,12597.4252,84072.4446,6982946145.7233,4706874259.3032,4837728575.7853,4440742029.6363,6739957490.2228,4668237685.5998,250012.9412,4934.9412,6995833553.7336,4647087111.6831,4614735831.4907,4499331248.2229,6739189051.3431,4720794208.7703,13360622.1882,9029364.3393,7004862741.6365,4682698655.9774,4810975920.4222,4430860775.0896,6705850955.845,4601078397.2125,6435260.0398,635138.5118,6983652204.5235,4672326921.9458,4803513202.5194,4420391105.1514,6704602503.3829,4604748343.6011,950560.3944,4207.4113,6985367077.4648,4644378179.2668,4427647255.8763,4399515653.6729,6702942419.8867,4660568823.5294,29107.3086,19266.4518,6986016374.6809,4697412182.1407,4838619448.5115,2860361253.8913,6717662062.5371,4595396438.7217,26954.4462,7990.8898,6989046151.1362,4749344095.6652,4107148554.8534,18.7399,19.8681,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:56:41.925,"{'cid': '03f97957-0b88-476a-9579-d2d33116d74f', 'uuid': '9cd462be-6390-486d-9d8c-431d6140fd30', 'annotationId': 'e926b8c0-77fa-4e3f-afb2-5d6b6be8f783', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759362992107, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:56:32.438Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,475679.72,34.44,22.01,102565.47,2500.0,2498.06,22450181.0,0.0,0.06,22160328.0,2500.0,2499.03,22340098.0,0.15,0.14,0.5,344320.18,35.05,21.96,102516.85
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,e926b8c0-77fa-4e3f-afb2-5d6b6be8f783,dce27208-9ed3-4553-9623-330063c51d52,4429785554.3113,6693832643.7558,4585015625.0,8370.1136,5833.1216,6982879267.8634,4644630452.5786,4423928930.0457,4425857014.9922,6696152546.6678,4586111368.3723,12599.0036,84213.9366,6982332600.088,4704086225.2754,4838910987.7372,4441241158.6393,6739954089.4406,4671540094.3396,250141.3942,4934.9063,6995830027.3296,4647088866.7876,4633370333.5865,4499075400.8871,6739188201.2921,4720792421.3537,13359398.4821,9029778.9988,7003626334.8336,4683249616.7905,4811560812.8602,4430617124.937,6706415700.8713,4600813541.6062,6434592.6728,635097.622,6983030623.0201,4672873110.183,4803799285.3249,4419897765.3631,6704036363.6364,4604215481.1715,951847.2647,4214.4893,6985366197.1831,4644918425.8231,4462080684.1839,4399763096.4298,6701809958.5764,4652633742.4394,29090.9688,19289.5173,6986016374.6809,4694913410.9581,4838323674.7392,2839421826.1526,6717094560.244,4594598700.9974,26947.7535,7990.2729,6989045270.3893,4751902967.217,4095249457.7007,18.4982,19.8681,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:56:43.122,"{'cid': '03f97957-0b88-476a-9579-d2d33116d74f', 'uuid': '9cd462be-6390-486d-9d8c-431d6140fd30', 'annotationId': 'e926b8c0-77fa-4e3f-afb2-5d6b6be8f783', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759362992107, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:56:32.438Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,467127.23,34.64,22.01,102565.24,2500.0,2500.52,22450181.0,0.0,0.06,22160328.0,2500.0,2497.55,22340098.0,0.15,0.15,0.5,344182.16,35.19,21.97,102518.29
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,e926b8c0-77fa-4e3f-afb2-5d6b6be8f783,dce27208-9ed3-4553-9623-330063c51d52,4430031916.6807,6694395372.4033,4584485013.3086,8372.5132,5832.5241,6982875747.9761,4644360053.7917,4376722777.1952,4425609442.3002,6696149168.0041,4585316279.8773,12597.1237,83870.1743,6982329960.4048,4711340450.7711,4838912207.919,4440491104.0018,6739376859.6446,4666037691.4016,250191.1146,4935.0782,6994591449.978,4647085941.6135,4650237467.0185,4498819582.6463,6738039265.6808,4721355023.2392,13357753.3578,9029858.3946,7004865389.7078,4682971762.0704,4810978953.1146,4430616004.928,6706412317.0629,4600276955.2343,6434261.6712,635101.9363,6983020943.3298,4673420015.2968,4803504118.2171,4420394457.4813,6704041437.6321,4603150127.8178,951183.567,4208.1282,6985360035.2113,4645186549.7076,4409882110.8825,4399027522.9358,6701810803.9564,4657011696.9376,29102.2202,19328.5261,6985399647.8873,4692969987.0022,4838030376.9672,2841466072.1349,6716525459.6289,4594067609.8806,26945.2207,7990.305,6989660882.5861,4753894308.4565,4084055627.0925,18.5788,19.8681,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:56:44.320,"{'cid': '03f97957-0b88-476a-9579-d2d33116d74f', 'uuid': '9cd462be-6390-486d-9d8c-431d6140fd30', 'annotationId': 'e926b8c0-77fa-4e3f-afb2-5d6b6be8f783', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759362992107, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:56:32.438Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,454102.08,34.82,22.01,102564.75,2500.0,2500.22,22450181.0,0.0,0.08,22160328.0,2500.0,2499.04,22340098.0,0.14,0.15,0.5,341831.94,35.34,21.96,102516.8
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,e926b8c0-77fa-4e3f-afb2-5d6b6be8f783,dce27208-9ed3-4553-9623-330063c51d52,4429782194.8488,6693830110.6139,4584749146.4614,8373.8537,5833.0,6983486755.2583,4644087347.9888,4334538398.4695,4425858133.8107,6696150012.67,4585319173.5633,12596.7664,83700.398,6983555399.1023,4707432736.7548,4839796192.3359,4440986247.5442,6739948138.0718,4669609241.4687,250165.6669,4934.7855,6995822092.9207,4646817011.817,4665580328.2546,4498816739.6372,6738611134.7216,4721917163.2896,13356779.9336,9028762.7238,7004248014.1218,4682698655.9774,4810394808.6603,4430618804.9504,6706420776.584,4600285664.5184,6434122.3297,635065.8129,6983019183.3861,4672872521.9131,4803212620.3597,4420639213.276,6703472010.8236,4602078880.1115,951999.9293,4210.0917,6985356514.0845,4644915502.0174,4445790447.3596,4400986260.2214,6701809113.1964,4660845932.1137,29073.7475,19315.3139,6986626166.5786,4691030532.0971,4838027937.0501,2832577071.9816,6717092865.616,4594332270.2233,26948.9642,7990.2955,6989039105.1612,4755600790.2772,4123876638.2359,18.4982,19.9487,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:56:45.519,"{'cid': '03f97957-0b88-476a-9579-d2d33116d74f', 'uuid': '9cd462be-6390-486d-9d8c-431d6140fd30', 'annotationId': 'e926b8c0-77fa-4e3f-afb2-5d6b6be8f783', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759362992107, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:56:32.438Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,442821.38,35.0,22.01,102564.64,2500.0,2498.98,22450181.0,0.0,0.05,22160328.0,2500.0,2502.37,22340098.0,0.14,0.14,0.5,338257.17,35.48,21.96,102515.95
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,e926b8c0-77fa-4e3f-afb2-5d6b6be8f783,dce27208-9ed3-4553-9623-330063c51d52,4429536420.1333,6693836021.2784,4584749146.4614,8375.3969,5832.9027,6982878387.8916,4644091440.5987,4377442592.1837,4426353921.8977,6696151702.0019,4585321488.5121,12595.6368,84013.0755,6983555399.1023,4704367782.0551,4840385695.1056,4440240767.7629,6739952389.0495,4672364215.3683,250166.152,4935.1177,6995822974.5217,4647090621.892,4679364564.2811,4499076538.1554,6739188201.2921,4721639354.0313,13354935.2706,9027845.2511,7004871568.5409,4682703371.8463,4810396021.5902,4430364542.502,6705282077.3069,4599477533.9603,6433731.7955,635060.3971,6983631083.3407,4673419426.9577,4803207170.1084,4420145818.2021,6702904371.3537,4601544314.0899,952781.5473,4216.4339,6984743420.4735,4644648579.1136,4396168856.3668,4400251390.4338,6705777364.2362,4663587026.8998,29115.8182,19261.8531,6986625286.1419,4689092089.7285,4837727965.8432,2835533785.481,6717095407.558,4594062971.1237,26947.4155,7990.0235,6989039105.1612,4757597029.2286,4109739815.4867,18.5788,19.8681,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:56:46.726,"{'cid': '03f97957-0b88-476a-9579-d2d33116d74f', 'uuid': '9cd462be-6390-486d-9d8c-431d6140fd30', 'annotationId': 'e926b8c0-77fa-4e3f-afb2-5d6b6be8f783', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759362992107, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:56:32.438Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,431018.06,35.15,22.01,102563.72,2500.0,2498.95,22450181.0,0.0,0.07,22160328.0,2500.0,2499.14,22340098.0,0.15,0.15,0.5,338252.03,35.6,21.96,102518.46
