component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_094324,FLW0_094324,ANLT0_094324,T0_183225,H0_183225,SETP0_453024,FLW0_453024,ANLT0_453024
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,82e90990-4c7c-4c0b-99db-f171c6e266cd,2ae9df38-ca80-4c2e-a243-05013a219277,1273.3839111328125,480478.75,198258.0,8104.11865234375,7115.76220703125,25911.4453125,182593.9375,176028.640625,233758.609375,68686.8359375,124024.09375,18611.666015625,270961.59375,5863.853515625,18971.171875,36886.4375,255307.859375,51920.84375,190537.953125,19431.220703125,6893.28076171875,13198.572265625,25854.837890625,45500.1015625,2886537.25,362744.65625,1417800.5,3513857.5,11183944,5531.21728515625,70027.3671875,139229168,61530084,20903.373046875,85826.984375,202351.046875,672732.8125,4298.86865234375,2722073.25,1125908.625,62682.140625,483729.78125,21032.3984375,821121.375,692.5062866210938,422219.125,440619.09375,235368.15625,921399.125,69383.2421875,77147.84375,17171.564453125,4140.7666015625,273687.875,14849.966796875,141054.203125,31109.283203125,401106.5625,1097917.625,58435.79296875,7248.18408203125,122344.5546875,13527.072265625,598725.4375,6276,34.05128479003906,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194294336,24484,0,37.88111877441406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:43:19.519,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': '27ee2a2d-c6aa-4307-99f4-2f849ec8048e', 'annotationId': '82e90990-4c7c-4c0b-99db-f171c6e266cd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779799043, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:43:19.271Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,563765.02,13.79,32.6,1009.78,270.0,272.63,22040109.0,1100.0,1100.08,24020116.0,1130.0,1128.4,22450138.0,1600.0,1598.48,21470060.0,29.81,19.92,2900.0,2900.8,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,82e90990-4c7c-4c0b-99db-f171c6e266cd,2ae9df38-ca80-4c2e-a243-05013a219277,1274.0006103515625,479836.09375,198281.6875,8104.25,7116.04052734375,25913.5390625,182512.65625,176023.5,233539.484375,68767.640625,124041.1015625,18611.36328125,270699.0,5890.578125,18971.5859375,36889.50390625,255265.28125,51916.4453125,189839.984375,19421.986328125,6892.5107421875,13191.26953125,25852.9296875,45497.25390625,2888124.0,363127.625,1420392.625,3515836.25,11187509,5531.361328125,69568.4296875,139627840,61820284,20905.861328125,85835.578125,202321.796875,672714.0625,4298.125,2723156.25,1127134.5,62681.01953125,483603.09375,21033.14453125,820948.75,692.9052734375,422245.5,440831.28125,235403.78125,920687.5,69399.7734375,77147.3203125,17173.56640625,4133.83056640625,273791.3125,14845.5703125,140183.515625,31106.916015625,400805.75,1097506.5,58430.6484375,7247.51611328125,122412.3515625,13528.1796875,598994.8125,6577,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194294336,24484,0,37.88111877441406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:43:19.820,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': '27ee2a2d-c6aa-4307-99f4-2f849ec8048e', 'annotationId': '82e90990-4c7c-4c0b-99db-f171c6e266cd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779799043, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:43:19.271Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,563041.2,13.81,32.6,1009.78,270.0,272.63,22040109.0,1100.0,1100.08,24020116.0,1130.0,1128.4,22450138.0,1600.0,1598.48,21470060.0,29.81,19.92,2900.0,2900.8,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,82e90990-4c7c-4c0b-99db-f171c6e266cd,2ae9df38-ca80-4c2e-a243-05013a219277,1276.20166015625,480292.5,198288.78125,8104.72509765625,7116.05126953125,25915.1484375,182492.28125,176050.875,233529.015625,68801.265625,124040.125,18610.31640625,271656.3125,5877.97802734375,18974.232421875,36890.1015625,255164.359375,51920.40234375,189107.4375,19427.759765625,6892.68310546875,13197.4921875,25853.375,45502.26171875,2890450.75,364834.15625,1423998.25,3517041.5,11196162,5531.5078125,69490.4296875,140271872,62019996,20907.833984375,85847.296875,202318.078125,672563.4375,4298.64404296875,2721529.25,1125926.125,62680.2734375,483682.15625,21033.041015625,820276.0,692.6410522460938,422222.0,441099.5625,235397.5,920084.875,69402.703125,77141.3125,17169.029296875,4138.12646484375,273527.8125,14851.189453125,139999.96875,31110.796875,400752.03125,1096773.75,58415.2265625,7247.87548828125,122339.5,13545.37109375,599127.125,6878,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194294336,24484,0,37.88111877441406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:43:20.120,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': '27ee2a2d-c6aa-4307-99f4-2f849ec8048e', 'annotationId': '82e90990-4c7c-4c0b-99db-f171c6e266cd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779799043, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:43:19.271Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,562319.79,13.82,32.6,1009.78,270.0,272.29,22040109.0,1100.0,1100.06,24020116.0,1130.0,1128.41,22450138.0,1600.0,1598.59,21470060.0,29.81,19.92,2900.0,2900.8,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,82e90990-4c7c-4c0b-99db-f171c6e266cd,2ae9df38-ca80-4c2e-a243-05013a219277,1275.0130615234375,480316.59375,198319.171875,8104.3427734375,7116.7470703125,25915.90234375,182591.609375,176058.703125,233496.3125,68807.9140625,124043.0703125,18612.310546875,271008.5,5852.93994140625,18975.185546875,36898.328125,255053.015625,51917.5546875,189329.125,19424.275390625,6892.99169921875,13197.8818359375,25851.005859375,45497.4140625,2892533.0,364641.5625,1427416.25,3517935.5,11208189,5531.49462890625,68928.9453125,141217040,62076400,20904.173828125,85822.078125,202305.890625,672299.0625,4299.23876953125,2722226.5,1126512.625,62689.0546875,483969.0625,21032.7109375,819396.8125,692.5811157226562,422362.5625,441183.4375,235421.4375,919680.0,69370.2421875,77115.546875,17169.78125,4131.71923828125,273660.4375,14843.34375,139749.15625,31109.69140625,400751.125,1096229.375,58418.7734375,7248.32421875,122169.7578125,13521.7216796875,598699.5625,7179,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194294336,24484,0,37.88111877441406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:43:20.429,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': '27ee2a2d-c6aa-4307-99f4-2f849ec8048e', 'annotationId': '82e90990-4c7c-4c0b-99db-f171c6e266cd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779799043, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:43:19.271Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,561576.73,13.83,32.6,1009.78,270.0,271.61,22040109.0,1100.0,1100.01,24020116.0,1130.0,1128.44,22450138.0,1600.0,1598.81,21470060.0,29.81,19.93,2900.0,2900.8,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,82e90990-4c7c-4c0b-99db-f171c6e266cd,2ae9df38-ca80-4c2e-a243-05013a219277,1273.6907958984375,480258.1875,198342.46875,8104.15966796875,7116.5751953125,25915.83984375,182654.46875,176086.84375,233662.71875,68830.2109375,124036.4765625,18611.484375,271615.0,5885.49267578125,18974.11328125,36897.296875,255043.84375,51905.01953125,189724.03125,19425.10546875,6892.83984375,13198.931640625,25849.599609375,45501.6640625,2895912.75,365152.53125,1428582.0,3518879.75,11217705,5531.83447265625,69460.4140625,142157008,61979612,20910.71875,85843.25,202291.390625,672083.0625,4299.447265625,2721636.25,1123359.5,62692.12890625,484109.5,21034.078125,818993.5,692.2227172851562,422456.15625,441071.84375,235423.96875,919496.625,69399.6953125,77117.203125,17171.583984375,4132.83984375,272502.15625,14848.83203125,138928.09375,31105.306640625,400688.15625,1096513.875,58418.21875,7248.4794921875,122301.3046875,13539.216796875,597323.4375,7480,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194294336,24484,0,37.88111877441406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:43:20.723,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': '27ee2a2d-c6aa-4307-99f4-2f849ec8048e', 'annotationId': '82e90990-4c7c-4c0b-99db-f171c6e266cd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779799043, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:43:19.271Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,561502.57,13.84,32.6,1009.76,270.0,270.97,22040109.0,1100.0,1099.96,24020116.0,1130.0,1128.46,22450138.0,1600.0,1599.02,21470060.0,29.81,19.95,2900.0,2900.8,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,82e90990-4c7c-4c0b-99db-f171c6e266cd,2ae9df38-ca80-4c2e-a243-05013a219277,1275.322998046875,480879.21875,198392.578125,8104.04833984375,7116.15087890625,25915.228515625,182666.390625,176098.6875,233628.703125,68752.2578125,124037.9453125,18611.244140625,271376.375,5871.83935546875,18970.93359375,36889.8359375,255000.015625,51900.6328125,190027.296875,19425.849609375,6892.505859375,13194.8876953125,25847.005859375,45497.75390625,2898195.0,364875.40625,1425609.125,3519207.0,11226302,5531.490234375,69682.8515625,142850320,61761240,20911.322265625,85841.3359375,202290.71875,672046.8125,4299.09912109375,2721029.5,1123782.875,62702.31640625,484623.28125,21033.423828125,819955.5625,692.90771484375,422519.3125,440877.8125,235465.234375,919704.125,69381.109375,77134.2421875,17168.744140625,4134.107421875,273738.03125,14846.1806640625,140123.53125,31108.48046875,400822.40625,1096146.75,58427.2265625,7248.00146484375,122317.8046875,13535.125,596146.5625,7781,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194294336,24484,0,37.88111877441406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:43:21.024,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': '27ee2a2d-c6aa-4307-99f4-2f849ec8048e', 'annotationId': '82e90990-4c7c-4c0b-99db-f171c6e266cd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779799043, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:43:19.271Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,561984.31,13.84,32.6,1009.72,270.0,270.41,22040109.0,1100.0,1099.87,24020116.0,1130.0,1128.56,22450138.0,1600.0,1599.22,21470060.0,29.81,19.96,2900.0,2900.8,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,82e90990-4c7c-4c0b-99db-f171c6e266cd,2ae9df38-ca80-4c2e-a243-05013a219277,1274.50341796875,480778.75,198386.828125,8103.947265625,7116.083984375,25915.375,182627.46875,176097.734375,233637.46875,68743.03125,124036.421875,18611.470703125,271679.40625,5868.4609375,18972.58203125,36888.3203125,255111.125,51904.79296875,190676.171875,19421.123046875,6892.73583984375,13197.548828125,25846.361328125,45495.88671875,2898937.25,364993.96875,1420987.125,3519918.25,11228426,5532.494140625,68985.40625,143208368,61446800,20911.640625,85851.109375,202269.34375,672026.1875,4300.21533203125,2720174.0,1124663.375,62711.53515625,484574.46875,21034.96875,820596.1875,692.9009399414062,422305.0,441206.40625,235488.71875,920363.75,69374.5703125,77132.4609375,17167.41015625,4132.88623046875,273981.84375,14837.2626953125,141984.1875,31108.626953125,400794.875,1095938.75,58420.734375,7247.94580078125,122305.3203125,13529.8955078125,596126.8125,8082,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194294336,24484,0,37.88111877441406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:43:21.325,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': '27ee2a2d-c6aa-4307-99f4-2f849ec8048e', 'annotationId': '82e90990-4c7c-4c0b-99db-f171c6e266cd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779799043, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:43:19.271Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,562466.05,13.84,32.6,1009.67,270.0,270.33,22040109.0,1100.0,1099.56,24020116.0,1130.0,1129.09,22450138.0,1600.0,1599.39,21470060.0,29.81,19.95,2900.0,2900.8,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,82e90990-4c7c-4c0b-99db-f171c6e266cd,2ae9df38-ca80-4c2e-a243-05013a219277,1274.19287109375,480677.6875,198385.359375,8104.32177734375,7116.46484375,25915.4921875,182674.609375,176104.390625,233879.90625,68718.875,124008.3671875,18610.365234375,271508.125,5859.7470703125,18971.748046875,36887.3046875,255319.625,51900.3671875,190158.71875,19412.0859375,6893.09423828125,13197.5361328125,25847.828125,45492.46875,2896954.5,365384.375,1418712.25,3519329.25,11229573,5531.34814453125,68950.6953125,143307936,61062600,20911.75390625,85845.265625,202320.796875,671972.375,4299.16748046875,2723201.0,1124711.375,62708.76953125,484330.21875,21035.392578125,820517.4375,692.2464599609375,422025.90625,441025.15625,235493.453125,921138.8125,69387.359375,77126.8984375,17167.89453125,4136.1015625,274013.5625,14851.0185546875,141409.671875,31113.927734375,400946.53125,1095389.5,58421.12890625,7248.16259765625,122500.8515625,13530.83984375,597048.4375,8383,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194294336,24484,0,37.88111877441406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:43:21.628,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': '27ee2a2d-c6aa-4307-99f4-2f849ec8048e', 'annotationId': '82e90990-4c7c-4c0b-99db-f171c6e266cd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779799043, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:43:19.271Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,562951.0,13.84,32.6,1009.63,270.0,270.25,22040109.0,1100.0,1099.25,24020116.0,1130.0,1129.61,22450138.0,1600.0,1599.56,21470060.0,29.8,19.93,2900.0,2900.8,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,82e90990-4c7c-4c0b-99db-f171c6e266cd,2ae9df38-ca80-4c2e-a243-05013a219277,1273.271240234375,481010.25,198389.609375,8104.31103515625,7116.46533203125,25915.99609375,182755.671875,176113.796875,233870.8125,68743.8515625,123965.765625,18610.568359375,272402.40625,5849.54833984375,18969.421875,36887.91796875,255083.296875,51893.5390625,189805.015625,19428.828125,6893.16259765625,13197.0361328125,25845.4765625,45491.7890625,2892881.25,366166.28125,1418592.875,3517638.25,11224365,5531.8076171875,71215.6484375,143048032,60704084,20907.18359375,85826.53125,202269.296875,671880.0625,4299.11572265625,2722326.25,1120350.0,62705.25,484149.3125,21035.392578125,819992.875,693.2622680664062,422104.875,441135.78125,235489.96875,922092.0,69407.890625,77109.8671875,17163.623046875,4136.50244140625,274214.09375,14870.90234375,142041.453125,31112.97265625,400824.4375,1095822.375,58433.4375,7248.73046875,122452.328125,13534.44921875,598280.0625,8684,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194294336,24484,0,37.88111877441406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:43:21.929,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': '27ee2a2d-c6aa-4307-99f4-2f849ec8048e', 'annotationId': '82e90990-4c7c-4c0b-99db-f171c6e266cd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779799043, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:43:19.271Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,563101.44,13.84,32.6,1009.62,270.0,270.18,22040109.0,1100.0,1098.94,24020116.0,1130.0,1130.14,22450138.0,1600.0,1599.73,21470060.0,29.8,19.92,2900.0,2900.8,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,82e90990-4c7c-4c0b-99db-f171c6e266cd,2ae9df38-ca80-4c2e-a243-05013a219277,1273.89697265625,481214.9375,198369.984375,8104.07177734375,7116.1396484375,25915.11328125,182577.734375,176081.625,233858.78125,68731.0703125,123980.6328125,18610.234375,271265.15625,5869.1962890625,18971.423828125,36884.22265625,255254.21875,51888.31640625,188937.328125,19427.69140625,6893.06640625,13197.404296875,25846.3359375,45488.53515625,2889716.0,364550.4375,1416282.625,3516165.5,11217686,5531.11572265625,70585.75,142564032,60429236,20905.240234375,85815.8359375,202331.46875,671916.0625,4298.728515625,2719758.75,1123583.625,62706.1953125,484301.625,21033.8125,819360.9375,692.409423828125,422107.3125,440977.34375,235452.40625,922826.25,69365.9921875,77150.5859375,17172.498046875,4135.24169921875,274008.75,14845.57421875,142393.84375,31113.025390625,401100.15625,1096492.5,58433.015625,7248.287109375,122591.34375,13527.7275390625,598869.5625,8985,33.72894287109375,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194294336,24484,0,37.88111877441406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:43:22.228,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': '27ee2a2d-c6aa-4307-99f4-2f849ec8048e', 'annotationId': '82e90990-4c7c-4c0b-99db-f171c6e266cd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779799043, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:43:19.271Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,563101.44,13.84,32.6,1009.61,270.0,270.06,22040109.0,1100.0,1099.09,24020116.0,1130.0,1130.01,22450138.0,1600.0,1599.49,21470060.0,29.8,19.91,2900.0,2900.69,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,82e90990-4c7c-4c0b-99db-f171c6e266cd,2ae9df38-ca80-4c2e-a243-05013a219277,1274.71923828125,481495.28125,198335.75,8103.365234375,7115.9814453125,25914.76171875,182507.484375,176035.71875,233643.984375,68645.8671875,123976.328125,18607.83984375,270220.21875,5884.7705078125,18968.498046875,36882.54296875,255132.4375,51876.84765625,188752.15625,19412.4921875,6892.90087890625,13189.2548828125,25845.23046875,45496.03125,2887356.25,365165.15625,1416586.25,3515154.5,11207179,5532.08984375,70489.0234375,141697840,60245828,20905.46875,85804.0234375,202319.265625,671995.125,4298.95849609375,2718864.75,1124215.75,62702.046875,484004.25,21029.9921875,818961.375,692.3234252929688,421734.9375,441384.65625,235467.03125,923282.4375,69340.328125,77137.9765625,17166.119140625,4128.173828125,273864.0,14868.76953125,141657.5625,31110.859375,401107.25,1097600.875,58433.55078125,7248.248046875,122534.21875,13535.53515625,598112.25,9286,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194294336,24484,0,37.88111877441406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:43:22.532,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': '27ee2a2d-c6aa-4307-99f4-2f849ec8048e', 'annotationId': '82e90990-4c7c-4c0b-99db-f171c6e266cd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779799043, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:43:19.271Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,563101.44,13.84,32.6,1009.61,270.0,269.94,22040109.0,1100.0,1099.36,24020116.0,1130.0,1129.72,22450138.0,1600.0,1599.16,21470060.0,29.8,19.91,2900.0,2900.54,22340093.0
