component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_183624,FLW0_183624,ANLT0_183624,T0_183225,H0_183225,SETP0_181425,FLW0_181425,ANLT0_181425
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,f6a5f2b4-7411-46a7-860d-daa57b2a2ef5,d740a400-0c71-4380-90b3-9278ea13539e,1256.1995849609375,480775.4375,198270.359375,8101.974609375,7115.4208984375,25913.58984375,182606.953125,176119.09375,232790.34375,68898.140625,124054.3046875,18611.271484375,272114.53125,5739.30859375,18977.322265625,36889.7421875,255181.265625,51847.5234375,187525.234375,19438.96875,6893.4580078125,13179.9736328125,25873.115234375,45501.19140625,2883328.75,363697.75,1405950.0,3509136.5,11161267,5534.15771484375,69506.28125,137562608,60163320,20909.357421875,85872.96875,202223.015625,672547.375,4299.6240234375,2776494.25,1119465.375,62688.90625,484136.28125,21041.775390625,823379.625,692.903564453125,423057.9375,441625.78125,235442.421875,923826.1875,69413.3203125,77108.15625,17182.125,4129.38525390625,274392.90625,14853.185546875,143459.828125,31137.37109375,401429.40625,1099003.125,58433.37890625,7245.77685546875,121907.7578125,13527.0703125,601962.6875,6459,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194444843,24484,0,38.091121673583984,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:45:49.743,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': 'c5a69b6e-b834-4aa8-aa35-83a3e0998015', 'annotationId': 'f6a5f2b4-7411-46a7-860d-daa57b2a2ef5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779949287, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:45:49.512Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,557582.38,14.05,32.58,1009.86,1370.0,1367.6,22450138.0,2900.0,2902.48,22340093.0,1600.0,1596.8,21470060.0,30.0,30.77,22040109.0,29.78,19.93,1100.0,1100.4,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,f6a5f2b4-7411-46a7-860d-daa57b2a2ef5,d740a400-0c71-4380-90b3-9278ea13539e,1255.8077392578125,480318.84375,198243.65625,8102.23291015625,7115.416015625,25911.95703125,182592.0625,176114.765625,232557.71875,68957.875,124052.5,18611.5,272105.0625,5706.583984375,18978.1875,36888.42578125,255192.296875,51858.44140625,187439.296875,19435.63671875,6892.94873046875,13170.1748046875,25872.677734375,45503.39453125,2883656.25,364273.125,1405628.625,3508633.5,11154516,5534.1357421875,70324.1875,137150192,60495620,20907.134765625,85873.2734375,202146.3125,672615.75,4298.88916015625,2774792.25,1121681.75,62691.62109375,483781.375,21042.015625,823352.5625,692.3040771484375,422803.03125,441380.40625,235443.65625,923131.75,69410.6015625,77097.0078125,17180.005859375,4128.28759765625,274473.65625,14836.2734375,143167.4375,31143.615234375,401478.875,1098731.375,58436.43359375,7245.689453125,122084.6640625,13534.4033203125,601402.0625,6760,34.05128479003906,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194444843,24484,0,38.091121673583984,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:45:50.043,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': 'c5a69b6e-b834-4aa8-aa35-83a3e0998015', 'annotationId': 'f6a5f2b4-7411-46a7-860d-daa57b2a2ef5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779949287, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:45:49.512Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,557299.9,14.05,32.58,1009.86,1370.0,1367.6,22450138.0,2900.0,2902.48,22340093.0,1600.0,1596.8,21470060.0,30.0,30.77,22040109.0,29.78,19.93,1100.0,1100.4,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,f6a5f2b4-7411-46a7-860d-daa57b2a2ef5,d740a400-0c71-4380-90b3-9278ea13539e,1256.99462890625,480557.625,198271.953125,8102.0224609375,7115.775390625,25913.3515625,182557.65625,176102.46875,232801.296875,68872.4140625,124083.03125,18610.82421875,271406.03125,5747.50537109375,18976.56640625,36907.765625,255441.546875,51862.87109375,187930.3125,19424.154296875,6893.0361328125,13186.1357421875,25874.408203125,45504.21875,2887830.75,365425.15625,1404414.625,3511621.0,11156383,5534.56591796875,70422.7421875,137299456,61205172,20910.587890625,85865.125,202173.65625,672736.4375,4298.84326171875,2771141.5,1121899.875,62692.00390625,483990.96875,21042.3515625,822504.25,692.570068359375,422506.71875,440986.15625,235443.59375,921313.375,69435.96875,77095.3359375,17176.62890625,4131.99169921875,274388.90625,14873.890625,142749.796875,31138.6796875,401242.96875,1097713.875,58431.71484375,7246.19384765625,121984.6875,13532.5380859375,602278.6875,7362,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194444843,24484,0,38.091121673583984,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:45:50.651,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': 'c5a69b6e-b834-4aa8-aa35-83a3e0998015', 'annotationId': 'f6a5f2b4-7411-46a7-860d-daa57b2a2ef5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779949287, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:45:49.512Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,556345.72,14.04,32.58,1009.88,1370.0,1368.4,22450138.0,2900.0,2901.63,22340093.0,1600.0,1597.18,21470060.0,30.0,30.38,22040109.0,29.78,19.94,1100.0,1100.4,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,f6a5f2b4-7411-46a7-860d-daa57b2a2ef5,d740a400-0c71-4380-90b3-9278ea13539e,1256.749755859375,480437.40625,198289.390625,8102.3310546875,7116.13037109375,25912.205078125,182585.28125,176142.796875,233130.40625,68903.6953125,124090.328125,18612.314453125,271704.78125,5734.62060546875,18978.322265625,36902.7578125,255911.046875,51858.9921875,188210.234375,19437.275390625,6893.1884765625,13194.9619140625,25873.619140625,45501.12109375,2890946.25,365505.15625,1407858.75,3513724.0,11166060,5534.419921875,70595.3359375,137979904,61464072,20906.96875,85897.625,202192.5,672737.125,4298.39453125,2770337.25,1124069.625,62690.26953125,484020.90625,21042.115234375,822107.6875,692.480712890625,422569.1875,440946.625,235453.15625,920595.0,69452.09375,77097.125,17180.62890625,4128.42431640625,274290.0,14876.23046875,142664.03125,31134.11328125,401240.78125,1097049.625,58425.3359375,7245.908203125,121818.7421875,13537.5859375,603220.0625,7663,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194444843,24484,0,38.091121673583984,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:45:50.946,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': 'c5a69b6e-b834-4aa8-aa35-83a3e0998015', 'annotationId': 'f6a5f2b4-7411-46a7-860d-daa57b2a2ef5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779949287, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:45:49.512Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,555882.76,14.04,32.58,1009.89,1370.0,1368.94,22450138.0,2900.0,2901.06,22340093.0,1600.0,1597.44,21470060.0,30.0,30.11,22040109.0,29.78,19.95,1100.0,1100.4,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,f6a5f2b4-7411-46a7-860d-daa57b2a2ef5,d740a400-0c71-4380-90b3-9278ea13539e,1256.109619140625,480945.8125,198282.0,8102.0732421875,7115.869140625,25911.8046875,182564.1875,176145.203125,233035.4375,68887.7578125,124102.5078125,18612.662109375,273911.75,5735.291015625,18975.400390625,36905.12109375,255474.5625,51839.81640625,187829.0625,19429.7421875,6893.23974609375,13182.744140625,25874.615234375,45502.453125,2893818.5,365746.9375,1410171.75,3515091.0,11175770,5534.26806640625,70766.296875,138880896,61664924,20908.7421875,85876.5703125,202174.0625,672572.25,4299.3291015625,2764322.25,1123302.25,62685.3359375,483924.375,21040.958984375,822065.0,692.5076904296875,422828.0625,441322.71875,235463.578125,920124.3125,69471.96875,77088.40625,17183.7265625,4118.7568359375,272643.5,14873.92578125,143136.671875,31132.52734375,401128.96875,1096246.625,58425.4453125,7245.86474609375,121777.484375,13536.37890625,602198.75,7964,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194444843,24484,0,38.091121673583984,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:45:51.251,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': 'c5a69b6e-b834-4aa8-aa35-83a3e0998015', 'annotationId': 'f6a5f2b4-7411-46a7-860d-daa57b2a2ef5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779949287, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:45:49.512Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,556220.14,14.03,32.58,1009.84,1370.0,1369.43,22450138.0,2900.0,2900.47,22340093.0,1600.0,1597.71,21470060.0,30.0,29.85,22040109.0,29.79,19.96,1100.0,1100.4,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,f6a5f2b4-7411-46a7-860d-daa57b2a2ef5,d740a400-0c71-4380-90b3-9278ea13539e,1256.1744384765625,481285.65625,198333.421875,8101.79541015625,7115.5146484375,25914.31640625,182553.25,176159.78125,232859.234375,68941.203125,124102.6171875,18612.1171875,270969.59375,5738.3359375,18977.955078125,36906.3359375,255416.84375,51856.4296875,188892.609375,19430.31640625,6892.91015625,13182.4951171875,25873.630859375,45498.37109375,2896418.0,365224.0625,1411618.625,3516610.75,11189970,5534.68896484375,69868.9453125,139984304,61758064,20906.4609375,85862.296875,202175.0625,672377.0,4298.59130859375,2757809.5,1121967.25,62697.68359375,484281.34375,21042.13671875,821983.5625,693.1508178710938,422523.0625,441371.09375,235488.46875,919886.875,69424.9609375,77085.4375,17183.765625,4128.52685546875,272327.75,14871.71875,142299.390625,31132.23828125,401090.28125,1095929.375,58419.3828125,7246.025390625,121904.984375,13525.30078125,603163.8125,8265,34.131874084472656,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194444843,24484,0,38.091121673583984,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:45:51.550,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': 'c5a69b6e-b834-4aa8-aa35-83a3e0998015', 'annotationId': 'f6a5f2b4-7411-46a7-860d-daa57b2a2ef5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779949287, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:45:49.512Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,556807.16,14.01,32.58,1009.78,1370.0,1369.31,22450138.0,2900.0,2899.89,22340093.0,1600.0,1598.0,21470060.0,30.0,29.88,22040109.0,29.79,19.97,1100.0,1100.35,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,f6a5f2b4-7411-46a7-860d-daa57b2a2ef5,d740a400-0c71-4380-90b3-9278ea13539e,1256.6058349609375,481209.3125,198364.875,8102.34423828125,7115.81884765625,25915.072265625,182596.78125,176171.734375,233046.75,68918.328125,124114.5,18611.330078125,271670.4375,5728.25732421875,18977.2578125,36909.234375,255580.234375,51837.7734375,188009.578125,19429.546875,6893.076171875,13185.3447265625,25871.126953125,45501.23046875,2898641.25,365494.6875,1412218.875,3518072.0,11202075,5534.73046875,69755.640625,141058976,61712688,20912.43359375,85868.828125,202225.0625,672291.4375,4299.65869140625,2755497.75,1120333.375,62702.0,483964.4375,21040.2109375,823211.75,692.1048583984375,422511.0,441275.34375,235509.078125,919751.375,69425.03125,77088.5859375,17180.90234375,4128.267578125,273712.5625,14869.076171875,142634.96875,31129.083984375,401038.125,1095799.375,58421.37890625,7245.939453125,121933.8203125,13535.46484375,603474.1875,8566,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194444843,24484,0,38.091121673583984,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:45:51.850,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': 'c5a69b6e-b834-4aa8-aa35-83a3e0998015', 'annotationId': 'f6a5f2b4-7411-46a7-860d-daa57b2a2ef5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779949287, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:45:49.512Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,557396.13,13.99,32.58,1009.72,1370.0,1369.19,22450138.0,2900.0,2899.3,22340093.0,1600.0,1598.3,21470060.0,30.0,29.92,22040109.0,29.79,19.98,1100.0,1100.3,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,f6a5f2b4-7411-46a7-860d-daa57b2a2ef5,d740a400-0c71-4380-90b3-9278ea13539e,1256.048828125,481042.875,198359.78125,8102.1171875,7116.1591796875,25917.765625,182600.328125,176194.890625,232795.78125,68897.7890625,124102.3984375,18611.78125,270908.65625,5728.85986328125,18974.7421875,36903.30859375,255392.40625,51843.5078125,188190.5625,19425.912109375,6892.99267578125,13174.15625,25869.56640625,45501.28125,2901530.75,365773.21875,1412978.25,3519552.75,11213516,5534.1337890625,70202.171875,142068160,61559416,20910.87890625,85877.0234375,202156.609375,672118.375,4298.36083984375,2750996.0,1121277.0,62708.5703125,483903.21875,21038.267578125,823012.5,692.45166015625,422749.4375,441660.0625,235545.296875,919832.6875,69437.796875,77103.6015625,17177.109375,4128.99267578125,273882.65625,14853.4716796875,143604.25,31132.84765625,401114.09375,1095515.875,58426.08984375,7246.13134765625,121869.421875,13535.17578125,603479.9375,8867,33.890113830566406,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194444843,24484,0,38.091121673583984,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:45:52.150,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': 'c5a69b6e-b834-4aa8-aa35-83a3e0998015', 'annotationId': 'f6a5f2b4-7411-46a7-860d-daa57b2a2ef5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779949287, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:45:49.512Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,557985.11,13.97,32.58,1009.66,1370.0,1369.07,22450138.0,2900.0,2898.72,22340093.0,1600.0,1598.6,21470060.0,30.0,29.95,22040109.0,29.78,19.98,1100.0,1100.25,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,f6a5f2b4-7411-46a7-860d-daa57b2a2ef5,d740a400-0c71-4380-90b3-9278ea13539e,1255.9422607421875,481416.40625,198337.109375,8102.33349609375,7115.9482421875,25916.3671875,182618.40625,176175.453125,232936.828125,68906.1875,124098.609375,18610.771484375,270393.25,5746.55908203125,18973.78515625,36898.9296875,255085.78125,51836.14453125,188275.390625,19424.208984375,6892.86279296875,13184.3720703125,25867.759765625,45502.80859375,2903878.5,364897.875,1409975.625,3520228.75,11219997,5534.1201171875,70124.4296875,142678704,61301904,20907.599609375,85870.15625,202174.90625,672081.0,4299.50341796875,2750413.5,1121266.5,62718.02734375,484261.65625,21038.58984375,824773.8125,692.7882690429688,422727.0,441558.96875,235529.40625,920499.9375,69442.28125,77114.453125,17178.849609375,4136.6552734375,273948.6875,14861.4609375,143945.5,31125.69140625,401122.0,1095199.875,58426.16015625,7246.2763671875,121941.6953125,13538.0771484375,603582.6875,9168,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194444843,24484,0,38.091121673583984,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:45:52.451,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': 'c5a69b6e-b834-4aa8-aa35-83a3e0998015', 'annotationId': 'f6a5f2b4-7411-46a7-860d-daa57b2a2ef5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779949287, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:45:49.512Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,557714.83,13.97,32.58,1009.66,1370.0,1368.95,22450138.0,2900.0,2898.61,22340093.0,1600.0,1598.9,21470060.0,30.0,29.97,22040109.0,29.78,19.99,1100.0,1100.22,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,f6a5f2b4-7411-46a7-860d-daa57b2a2ef5,d740a400-0c71-4380-90b3-9278ea13539e,1256.699462890625,480997.5,198339.921875,8101.8896484375,7115.85986328125,25916.06640625,182667.03125,176185.625,232732.890625,69001.8359375,124085.1640625,18611.330078125,272149.21875,5731.216796875,18973.55078125,36898.93359375,255341.09375,51827.5078125,186980.421875,19439.115234375,6892.84619140625,13158.328125,25866.9375,45490.03125,2903162.0,365744.03125,1409388.0,3520438.25,11222243,5534.1162109375,70022.671875,143075888,60970912,20910.474609375,85866.65625,202133.75,672012.6875,4297.56640625,2746683.0,1119911.0,62715.80859375,484203.1875,21037.833984375,825230.625,692.4845581054688,422474.15625,441062.34375,235543.46875,921533.0625,69424.828125,77112.2421875,17176.748046875,4140.34619140625,272244.96875,14886.130859375,142436.34375,31127.962890625,401154.125,1095239.75,58412.30078125,7246.31884765625,121857.0703125,13527.734375,603618.6875,9469,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194444843,24484,0,38.091121673583984,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:45:52.752,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': 'c5a69b6e-b834-4aa8-aa35-83a3e0998015', 'annotationId': 'f6a5f2b4-7411-46a7-860d-daa57b2a2ef5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779949287, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:45:49.512Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,557359.69,13.97,32.58,1009.67,1370.0,1368.83,22450138.0,2900.0,2898.68,22340093.0,1600.0,1599.2,21470060.0,30.0,29.97,22040109.0,29.78,19.99,1100.0,1100.2,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,f6a5f2b4-7411-46a7-860d-daa57b2a2ef5,d740a400-0c71-4380-90b3-9278ea13539e,1257.2569580078125,480958.59375,198343.46875,8102.29638671875,7116.4794921875,25915.177734375,182668.46875,176170.421875,232699.03125,68947.2578125,124079.96875,18612.861328125,271018.125,5725.123046875,18970.513671875,36893.77734375,255081.65625,51832.47265625,186768.109375,19421.189453125,6893.1484375,13170.2978515625,25865.12890625,45483.3671875,2900163.25,366816.9375,1414619.375,3519408.5,11225469,5533.8896484375,70386.484375,143308800,60634188,20906.36328125,85875.4609375,202131.671875,671971.8125,4297.43994140625,2745562.0,1119447.75,62716.5,484134.09375,21036.583984375,826443.3125,692.522216796875,422369.28125,440615.40625,235539.0625,922440.4375,69419.84375,77115.828125,17176.86328125,4135.31787109375,273583.78125,14871.35546875,142685.984375,31128.58203125,401347.25,1095994.0,58417.0703125,7246.13623046875,121693.4765625,13526.828125,603071.125,9770,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194444843,24484,0,38.091121673583984,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:45:53.055,"{'cid': 'b59003dc-db60-4481-92a6-86cc1d6f3853', 'uuid': 'c5a69b6e-b834-4aa8-aa35-83a3e0998015', 'annotationId': 'f6a5f2b4-7411-46a7-860d-daa57b2a2ef5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779949287, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:45:49.512Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,557002.19,13.96,32.59,1009.69,1370.0,1368.71,22450138.0,2900.0,2898.76,22340093.0,1600.0,1599.5,21470060.0,30.0,29.98,22040109.0,29.78,19.98,1100.0,1100.17,24020116.0
