component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,T0_183225,H0_183225,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_181425,FLW0_181425,ANLT0_181425
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,04d3ab94-1867-497a-8860-b2c513ef5229,e1773a0d-6566-43bf-927c-1c7badefb370,1288.0732421875,480118.125,198280.578125,8101.9765625,7116.08056640625,25909.390625,182508.046875,175817.734375,232505.84375,68796.296875,123698.8046875,18608.310546875,271329.25,5942.69384765625,18939.5859375,36868.85546875,255522.015625,51893.5625,188184.875,19386.896484375,6892.322265625,13173.462890625,25786.8671875,45483.22265625,2877090.75,366128.84375,1440732.875,3505313.5,11195291,5529.25927734375,71873.1015625,140963472,60317572,20893.822265625,85765.8984375,202584.046875,672494.5,4293.54931640625,2721814.25,1131061.0,62669.3828125,483897.71875,21021.013671875,823007.625,693.8563232421875,421079.03125,441252.28125,235163.78125,922877.25,69334.46875,77105.90625,17170.05859375,4145.912109375,273696.65625,14872.1708984375,139428.859375,31038.650390625,401536.125,1099106.125,58445.03515625,7250.8740234375,122405.3359375,13540.388671875,600169.125,5065,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193842814,24484,0,37.96420669555664,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:35:48.251,"{'cid': 'd53622b2-4ff0-494c-8c84-d29e901cc0af', 'uuid': '8b37fc81-091a-4b30-8e0e-757da180997f', 'annotationId': '04d3ab94-1867-497a-8860-b2c513ef5229', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779347864, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:35:48.074Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,570615.38,13.1,32.58,1009.92,2900.0,2899.04,22340093.0,1250.0,1248.96,22450138.0,150.0,148.16,22040109.0,29.81,19.82,1600.0,1598.96,21470060.0,1100.0,1100.08,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,04d3ab94-1867-497a-8860-b2c513ef5229,e1773a0d-6566-43bf-927c-1c7badefb370,1288.6815185546875,479608.0625,198215.375,8101.88037109375,7115.90771484375,25908.6484375,182514.578125,175805.109375,232460.125,68709.2890625,123714.3359375,18610.923828125,271526.5625,5937.86376953125,18943.51953125,36864.69140625,255590.65625,51900.8828125,188418.796875,19390.46484375,6891.9951171875,13171.154296875,25785.521484375,45479.3203125,2874521.0,365016.3125,1443481.0,3503230.5,11182104,5529.27197265625,72137.328125,139651648,60436068,20890.19921875,85776.3125,202650.734375,672723.5625,4293.271484375,2724256.5,1132749.125,62669.0625,483522.28125,21020.001953125,822371.9375,693.152099609375,421443.28125,441366.0625,235143.5,923191.6875,69346.0,77096.640625,17169.8046875,4142.15234375,273787.84375,14846.775390625,139474.5,31038.41015625,401474.03125,1099551.875,58434.1484375,7250.5224609375,122461.6875,13537.134765625,599929.125,5366,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193842814,24484,0,37.96420669555664,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:35:48.550,"{'cid': 'd53622b2-4ff0-494c-8c84-d29e901cc0af', 'uuid': '8b37fc81-091a-4b30-8e0e-757da180997f', 'annotationId': '04d3ab94-1867-497a-8860-b2c513ef5229', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779347864, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:35:48.074Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,569591.55,13.1,32.58,1009.92,2900.0,2899.04,22340093.0,1250.0,1248.96,22450138.0,150.0,148.16,22040109.0,29.81,19.82,1600.0,1598.96,21470060.0,1100.0,1100.08,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,04d3ab94-1867-497a-8860-b2c513ef5229,e1773a0d-6566-43bf-927c-1c7badefb370,1287.4677734375,479681.78125,198220.515625,8102.35546875,7115.6162109375,25906.96875,182515.46875,175792.953125,233059.28125,68706.4375,123710.65625,18610.41015625,271085.75,5909.2763671875,18943.99609375,36864.71484375,255978.609375,51888.66796875,188285.046875,19390.275390625,6892.35107421875,13172.8974609375,25786.48828125,45476.296875,2872110.0,364151.34375,1442831.75,3501528.75,11170079,5529.20458984375,72141.59375,138437536,60707020,20896.2734375,85803.078125,202660.890625,672838.25,4295.02587890625,2727426.25,1129893.125,62653.86328125,483509.4375,21017.38671875,821548.75,693.2549438476562,420950.375,441399.65625,235094.625,923096.125,69289.4375,77095.9453125,17168.07421875,4151.82861328125,274008.09375,14885.578125,140301.46875,31038.68359375,401120.09375,1099722.875,58434.1484375,7250.9765625,122209.546875,13539.3251953125,600997.9375,5667,34.05128479003906,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193842814,24484,0,37.96420669555664,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:35:48.851,"{'cid': 'd53622b2-4ff0-494c-8c84-d29e901cc0af', 'uuid': '8b37fc81-091a-4b30-8e0e-757da180997f', 'annotationId': '04d3ab94-1867-497a-8860-b2c513ef5229', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779347864, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:35:48.074Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,568560.88,13.09,32.58,1009.91,2900.0,2899.04,22340093.0,1250.0,1249.07,22450138.0,150.0,148.23,22040109.0,29.81,19.82,1600.0,1598.96,21470060.0,1100.0,1100.08,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,04d3ab94-1867-497a-8860-b2c513ef5229,e1773a0d-6566-43bf-927c-1c7badefb370,1287.424072265625,480165.6875,198220.40625,8102.17919921875,7115.6767578125,25905.796875,182504.03125,175762.109375,232976.34375,68774.3671875,123701.1796875,18610.724609375,270388.1875,5940.703125,18943.404296875,36863.84765625,256008.625,51899.3671875,188959.421875,19403.408203125,6892.408203125,13190.1357421875,25789.97265625,45482.94140625,2870464.5,364368.8125,1439202.125,3498939.25,11158813,5529.21337890625,71026.703125,137373424,61089300,20895.611328125,85794.7421875,202637.390625,672907.625,4294.6142578125,2731116.75,1129472.0,62648.8046875,483647.4375,21019.798828125,821365.5,692.8232421875,421056.46875,441607.0,235056.1875,922407.875,69309.5859375,77085.2734375,17165.841796875,4145.83984375,273821.4375,14892.92578125,139971.65625,31042.58984375,401379.21875,1100023.875,58435.46875,7251.67919921875,122177.3984375,13541.455078125,601484.3125,5968,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193842814,24484,0,37.96420669555664,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:35:49.152,"{'cid': 'd53622b2-4ff0-494c-8c84-d29e901cc0af', 'uuid': '8b37fc81-091a-4b30-8e0e-757da180997f', 'annotationId': '04d3ab94-1867-497a-8860-b2c513ef5229', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779347864, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:35:48.074Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,567530.2,13.09,32.58,1009.91,2900.0,2899.01,22340093.0,1250.0,1249.72,22450138.0,150.0,148.72,22040109.0,29.81,19.82,1600.0,1598.96,21470060.0,1100.0,1100.08,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,04d3ab94-1867-497a-8860-b2c513ef5229,e1773a0d-6566-43bf-927c-1c7badefb370,1289.1051025390625,479958.0,198192.078125,8102.1904296875,7115.80810546875,25905.74609375,182491.609375,175759.796875,233049.28125,68817.8515625,123707.640625,18611.435546875,270105.9375,5925.107421875,18943.875,36863.6484375,255269.453125,51903.27734375,189451.71875,19390.568359375,6892.20166015625,13163.2001953125,25791.4453125,45488.09375,2872002.5,365382.40625,1437787.125,3499850.25,11155679,5528.96875,71750.5,137070832,61548992,20895.025390625,85790.4609375,202662.28125,672990.6875,4294.1611328125,2732192.25,1129919.25,62651.671875,483481.6875,21018.2265625,822322.375,692.576171875,420714.84375,441147.0,235061.078125,920956.6875,69292.8515625,77115.4921875,17169.05078125,4149.26416015625,273320.96875,14883.5146484375,139928.625,31038.033203125,401420.78125,1099987.375,58437.03125,7251.14453125,122127.484375,13550.09765625,601360.0625,6269,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193842814,24484,0,37.96420669555664,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:35:49.455,"{'cid': 'd53622b2-4ff0-494c-8c84-d29e901cc0af', 'uuid': '8b37fc81-091a-4b30-8e0e-757da180997f', 'annotationId': '04d3ab94-1867-497a-8860-b2c513ef5229', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779347864, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:35:48.074Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,567176.11,13.09,32.58,1009.89,2900.0,2898.99,22340093.0,1250.0,1250.37,22450138.0,150.0,149.2,22040109.0,29.81,19.82,1600.0,1598.96,21470060.0,1100.0,1100.08,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,04d3ab94-1867-497a-8860-b2c513ef5229,e1773a0d-6566-43bf-927c-1c7badefb370,1287.128662109375,479962.0625,198206.125,8101.52685546875,7116.13427734375,25906.548828125,182612.875,175755.359375,233046.4375,68771.9296875,123724.6953125,18611.189453125,270266.28125,5970.74462890625,18945.759765625,36861.140625,255292.75,51869.16015625,189005.84375,19393.265625,6892.1875,13167.1845703125,25793.76171875,45493.765625,2875658.25,365387.65625,1439663.75,3502747.0,11158760,5529.296875,70786.625,137292864,62014280,20895.265625,85774.921875,202489.203125,673057.1875,4293.96044921875,2734696.25,1131160.375,62647.765625,483553.21875,21016.7578125,821179.75,693.0492553710938,421101.65625,441541.4375,235037.0,919477.875,69270.671875,77099.734375,17170.4453125,4146.81103515625,273297.0,14863.8369140625,139940.578125,31035.30078125,401171.40625,1099080.625,58434.9375,7251.0390625,122073.28125,13543.4140625,599924.375,6570,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193842814,24484,0,37.96420669555664,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:35:49.754,"{'cid': 'd53622b2-4ff0-494c-8c84-d29e901cc0af', 'uuid': '8b37fc81-091a-4b30-8e0e-757da180997f', 'annotationId': '04d3ab94-1867-497a-8860-b2c513ef5229', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779347864, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:35:48.074Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,568155.7,13.09,32.58,1009.85,2900.0,2898.96,22340093.0,1250.0,1251.01,22450138.0,150.0,149.69,22040109.0,29.8,19.83,1600.0,1598.96,21470060.0,1100.0,1100.08,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,04d3ab94-1867-497a-8860-b2c513ef5229,e1773a0d-6566-43bf-927c-1c7badefb370,1287.5078125,480148.78125,198208.15625,8101.41455078125,7116.14453125,25906.755859375,182595.84375,175772.25,232859.390625,68780.3203125,123737.671875,18610.09375,269676.4375,5971.42578125,18945.10546875,36867.19921875,255665.84375,51858.08984375,188264.15625,19385.53125,6891.880859375,13169.4677734375,25793.4453125,45496.80078125,2878565.0,361701.9375,1440329.375,3505238.5,11164585,5530.1669921875,69961.78125,137759872,62442256,20893.53125,85766.5078125,202570.203125,673131.625,4293.87939453125,2736679.5,1128919.375,62647.16796875,483356.8125,21013.5859375,820003.125,692.8179321289062,421236.21875,441158.53125,235037.140625,918497.625,69282.71875,77087.828125,17167.314453125,4147.6767578125,273130.125,14874.00390625,139424.015625,31033.005859375,400973.46875,1097967.375,58423.54296875,7250.7236328125,122126.1171875,13541.4384765625,598751.5,6871,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193842814,24484,0,37.96420669555664,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:35:50.055,"{'cid': 'd53622b2-4ff0-494c-8c84-d29e901cc0af', 'uuid': '8b37fc81-091a-4b30-8e0e-757da180997f', 'annotationId': '04d3ab94-1867-497a-8860-b2c513ef5229', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779347864, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:35:48.074Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,569141.83,13.09,32.58,1009.8,2900.0,2898.94,22340093.0,1250.0,1250.73,22450138.0,150.0,149.78,22040109.0,29.8,19.83,1600.0,1599.06,21470060.0,1100.0,1100.02,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,04d3ab94-1867-497a-8860-b2c513ef5229,e1773a0d-6566-43bf-927c-1c7badefb370,1288.61474609375,479866.28125,198264.28125,8102.13427734375,7115.69091796875,25909.068359375,182483.296875,175805.6875,233160.46875,68789.9140625,123749.8046875,18611.41015625,270988.9375,5932.5615234375,18943.0625,36872.328125,255807.703125,51899.33203125,189024.359375,19381.626953125,6892.275390625,13157.83984375,25791.162109375,45492.6328125,2881522.75,363689.5,1440218.625,3507548.75,11176908,5528.27783203125,71781.3515625,138798528,62762100,20891.490234375,85779.21875,202644.375,672916.6875,4292.47021484375,2737871.0,1126989.125,62649.11328125,483603.84375,21013.96875,820239.8125,693.22021484375,421254.6875,441742.0,235033.734375,917824.3125,69296.2265625,77052.234375,17166.37109375,4152.103515625,273297.25,14854.7060546875,139676.09375,31030.427734375,400589.5625,1096839.25,58414.0703125,7250.88720703125,122022.984375,13531.7900390625,599192.25,7172,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193842814,24484,0,37.96420669555664,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:35:50.355,"{'cid': 'd53622b2-4ff0-494c-8c84-d29e901cc0af', 'uuid': '8b37fc81-091a-4b30-8e0e-757da180997f', 'annotationId': '04d3ab94-1867-497a-8860-b2c513ef5229', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779347864, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:35:48.074Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,570124.69,13.09,32.58,1009.75,2900.0,2898.92,22340093.0,1250.0,1250.25,22450138.0,150.0,149.77,22040109.0,29.8,19.82,1600.0,1599.18,21470060.0,1100.0,1099.95,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,04d3ab94-1867-497a-8860-b2c513ef5229,e1773a0d-6566-43bf-927c-1c7badefb370,1287.2515869140625,479883.53125,198272.921875,8101.7958984375,7115.986328125,25909.671875,182534.59375,175801.515625,233225.28125,68830.1015625,123743.1171875,18612.5234375,269777.46875,5932.814453125,18943.4375,36873.90234375,255749.515625,51905.03125,189768.046875,19392.71875,6891.6767578125,13166.638671875,25790.697265625,45487.6171875,2885500.75,364161.25,1437676.75,3509654.5,11194794,5529.50732421875,69711.4375,140367584,62940772,20891.71484375,85766.7578125,202589.53125,672578.0625,4293.29541015625,2739882.25,1126206.375,62645.3515625,483538.8125,21011.724609375,820651.75,693.7073974609375,421251.59375,442002.90625,235053.140625,917445.75,69295.6953125,77067.890625,17170.265625,4148.61279296875,273263.96875,14863.2197265625,139767.140625,31025.75,400662.53125,1095680.25,58411.77734375,7250.84912109375,121809.765625,13533.548828125,598767.8125,7473,33.80952835083008,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193842814,24484,0,37.96420669555664,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:35:50.659,"{'cid': 'd53622b2-4ff0-494c-8c84-d29e901cc0af', 'uuid': '8b37fc81-091a-4b30-8e0e-757da180997f', 'annotationId': '04d3ab94-1867-497a-8860-b2c513ef5229', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779347864, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:35:48.074Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,570021.74,13.09,32.58,1009.73,2900.0,2898.89,22340093.0,1250.0,1249.77,22450138.0,150.0,149.77,22040109.0,29.79,19.81,1600.0,1599.3,21470060.0,1100.0,1099.88,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,04d3ab94-1867-497a-8860-b2c513ef5229,e1773a0d-6566-43bf-927c-1c7badefb370,1287.634521484375,479994.09375,198315.3125,8101.9169921875,7115.95703125,25910.970703125,182498.6875,175847.125,233287.171875,68824.9609375,123733.9375,18613.435546875,269281.375,5931.11474609375,18942.712890625,36866.8125,255832.8125,51894.83203125,188807.703125,19389.771484375,6892.08447265625,13156.8427734375,25789.96484375,45481.18359375,2889133.5,365422.875,1438398.125,3512286.5,11213895,5529.30712890625,70671.3046875,141932624,62925276,20891.548828125,85764.453125,202532.65625,672311.3125,4294.109375,2733128.75,1124514.375,62651.41796875,483825.21875,21009.36328125,819788.1875,693.2699584960938,421118.25,441997.53125,235080.1875,917022.0625,69269.4921875,77057.0,17165.798828125,4149.6201171875,273284.6875,14849.27734375,139890.34375,31021.08203125,400411.40625,1095142.75,58409.7578125,7250.3681640625,121714.3203125,13536.8935546875,598553.4375,7774,33.80952835083008,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193842814,24484,0,37.96420669555664,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:35:50.958,"{'cid': 'd53622b2-4ff0-494c-8c84-d29e901cc0af', 'uuid': '8b37fc81-091a-4b30-8e0e-757da180997f', 'annotationId': '04d3ab94-1867-497a-8860-b2c513ef5229', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779347864, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:35:48.074Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,568796.12,13.09,32.58,1009.73,2900.0,2899.09,22340093.0,1250.0,1249.59,22450138.0,150.0,149.77,22040109.0,29.79,19.8,1600.0,1599.21,21470060.0,1100.0,1099.81,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,04d3ab94-1867-497a-8860-b2c513ef5229,e1773a0d-6566-43bf-927c-1c7badefb370,1286.8270263671875,480292.6875,198332.78125,8101.69580078125,7115.9326171875,25911.966796875,182540.453125,175845.875,233135.3125,68767.1640625,123720.3125,18611.802734375,270489.71875,5940.392578125,18943.59765625,36870.97265625,255962.375,51893.30078125,188056.234375,19395.05859375,6891.68017578125,13157.359375,25786.271484375,45485.09375,2892436.5,365676.34375,1438684.625,3513590.0,11229751,5528.0126953125,69329.1796875,143546064,62745344,20889.5234375,85746.7578125,202547.09375,672103.8125,4294.2333984375,2728158.0,1126727.625,62671.6328125,484008.6875,21010.9453125,820139.25,692.74560546875,421121.34375,442205.09375,235136.609375,916897.0,69284.7109375,77046.2265625,17159.9453125,4151.89794921875,273373.78125,14846.6328125,140092.890625,31018.767578125,400293.4375,1094510.0,58410.63671875,7250.27490234375,121738.875,13537.4677734375,597763.0625,8075,34.05128479003906,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193847830,24484,0,36.830116271972656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:35:51.261,"{'cid': 'd53622b2-4ff0-494c-8c84-d29e901cc0af', 'uuid': '8b37fc81-091a-4b30-8e0e-757da180997f', 'annotationId': '04d3ab94-1867-497a-8860-b2c513ef5229', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779347864, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:35:48.074Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,567554.11,13.08,32.58,1009.74,2900.0,2899.52,22340093.0,1250.0,1249.73,22450138.0,150.0,149.77,22040109.0,29.79,19.8,1600.0,1598.9,21470060.0,1100.0,1099.73,24020116.0
