component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_183624,FLW0_183624,ANLT0_183624,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3257ffae-cf06-4626-b84f-4d2cee748c10,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1286.3236083984375,477336.6875,197593.546875,8092.2548828125,7110.96337890625,25878.85546875,181862.21875,173856.96875,231301.59375,68253.7890625,121691.2890625,18609.646484375,268913.375,5923.29736328125,18768.033203125,36762.84765625,254605.484375,51731.8828125,189638.84375,19221.0390625,6890.298828125,13159.5556640625,25418.337890625,45379.6015625,2863679.5,352393.3125,1599272.375,3471560.25,11217388,5511.81591796875,68322.6171875,146355904,65463644,20809.765625,85541.5,202975.75,672360.6875,4276.52197265625,2813330.25,1122920.0,62527.0234375,479907.1875,20908.583984375,816327.0625,689.9326782226562,414074.9375,439954.75,233190.78125,902490.6875,69156.25,76888.609375,17101.474609375,4149.71240234375,271533.375,14770.2587890625,141982.09375,30546.91796875,398903.46875,1095938.625,58391.98046875,7247.9296875,121905.96875,13523.47265625,598913.125,6335,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192493266,24484,0,36.94258880615234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:13:19.563,"{'cid': 'ccf84744-4628-42d4-a6a2-2ae751bc564b', 'uuid': 'f35d1dbc-d17c-4eec-b319-8ca34aed1eb6', 'annotationId': '3257ffae-cf06-4626-b84f-4d2cee748c10', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777999018, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:13:19.251Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.77,18.43,2900.0,2899.36,22340093.0,1100.0,1099.76,24020116.0,1400.0,1398.4,22450138.0,1600.0,1597.52,21470060.0,0.0,0.0,22040109.0,0.0,585310.06,8.87,32.58,1009.75
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3257ffae-cf06-4626-b84f-4d2cee748c10,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1285.2803955078125,476928.4375,197622.828125,8092.130859375,7110.4765625,25876.892578125,181957.734375,173863.65625,231541.25,68186.90625,121698.34375,18610.1875,268363.03125,5906.47021484375,18764.91015625,36762.78515625,254563.140625,51726.76953125,190244.28125,19219.060546875,6889.98046875,13160.3037109375,25417.22265625,45380.59375,2866401.75,353712.90625,1596928.5,3472626.75,11231959,5512.0595703125,68023.375,147510896,65445204,20812.580078125,85525.2109375,202969.640625,672200.9375,4276.2392578125,2809931.0,1123382.25,62535.91796875,480386.53125,20907.857421875,817259.75,689.5424194335938,414308.125,439540.15625,233208.34375,902296.125,69134.2734375,76862.625,17096.921875,4155.15771484375,271310.1875,14791.0546875,141827.953125,30546.66796875,398930.25,1095483.75,58400.0390625,7248.37548828125,121844.4609375,13520.07421875,598308.25,6634,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192493266,24484,0,36.94258880615234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:13:19.869,"{'cid': 'ccf84744-4628-42d4-a6a2-2ae751bc564b', 'uuid': 'f35d1dbc-d17c-4eec-b319-8ca34aed1eb6', 'annotationId': '3257ffae-cf06-4626-b84f-4d2cee748c10', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777999018, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:13:19.251Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.77,18.43,2900.0,2899.36,22340093.0,1100.0,1099.76,24020116.0,1400.0,1398.4,22450138.0,1600.0,1597.52,21470060.0,0.0,0.0,22040109.0,0.0,585310.06,8.87,32.58,1009.75
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3257ffae-cf06-4626-b84f-4d2cee748c10,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1285.5694580078125,477324.1875,197668.53125,8091.57470703125,7111.09423828125,25879.263671875,181835.671875,173889.8125,231627.0625,68313.828125,121705.1953125,18609.4375,268919.96875,5916.34130859375,18769.29296875,36759.68359375,254311.34375,51738.046875,189754.421875,19215.5859375,6890.00439453125,13159.888671875,25415.8203125,45379.83203125,2868870.5,354006.625,1596723.125,3473701.25,11243980,5512.5,66988.46875,148550784,65293488,20812.59765625,85524.5,202920.109375,672084.375,4276.001953125,2812018.5,1121080.875,62542.55078125,480421.875,20905.38671875,817818.375,690.0643310546875,414594.3125,439901.34375,233273.84375,902196.3125,69153.796875,76883.234375,17097.744140625,4144.62109375,271199.8125,14783.63671875,140184.71875,30540.919921875,398912.34375,1095246.5,58406.640625,7248.5859375,121861.0859375,13518.693359375,598436.0,6935,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192493266,24484,0,36.94258880615234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:13:20.167,"{'cid': 'ccf84744-4628-42d4-a6a2-2ae751bc564b', 'uuid': 'f35d1dbc-d17c-4eec-b319-8ca34aed1eb6', 'annotationId': '3257ffae-cf06-4626-b84f-4d2cee748c10', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777999018, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:13:19.251Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.76,18.42,2900.0,2899.55,22340093.0,1100.0,1099.67,24020116.0,1400.0,1398.75,22450138.0,1600.0,1597.98,21470060.0,0.0,0.0,22040109.0,0.0,585310.06,8.87,32.58,1009.74
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3257ffae-cf06-4626-b84f-4d2cee748c10,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1288.190673828125,477444.28125,197636.390625,8092.42919921875,7110.8408203125,25878.62890625,181881.265625,173857.921875,231735.75,68326.28125,121704.9921875,18609.3515625,268905.59375,5917.60595703125,18768.173828125,36762.3828125,254325.40625,51735.765625,190054.546875,19210.638671875,6889.88134765625,13156.7275390625,25414.251953125,45375.9140625,2871911.5,353174.375,1597128.875,3474119.0,11255244,5512.86376953125,66808.65625,149417024,65017920,20810.302734375,85521.6953125,202981.046875,672004.625,4275.708984375,2812940.75,1121573.75,62554.42578125,480523.53125,20909.671875,818481.0,689.6614990234375,414171.65625,439312.1875,233292.171875,902719.5,69144.6484375,76873.0859375,17101.271484375,4146.001953125,271011.21875,14782.568359375,140216.921875,30539.826171875,398965.5,1095038.75,58403.70703125,7248.638671875,121853.8984375,13524.0380859375,597962.5,7236,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192493266,24484,0,36.94258880615234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:13:20.468,"{'cid': 'ccf84744-4628-42d4-a6a2-2ae751bc564b', 'uuid': 'f35d1dbc-d17c-4eec-b319-8ca34aed1eb6', 'annotationId': '3257ffae-cf06-4626-b84f-4d2cee748c10', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777999018, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:13:19.251Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.76,18.42,2900.0,2899.79,22340093.0,1100.0,1099.55,24020116.0,1400.0,1399.2,22450138.0,1600.0,1598.57,21470060.0,0.0,0.0,22040109.0,0.0,585310.06,8.88,32.58,1009.73
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3257ffae-cf06-4626-b84f-4d2cee748c10,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1287.0142822265625,477400.4375,197644.640625,8092.3466796875,7111.021484375,25878.62890625,182020.421875,173854.703125,231491.140625,68289.375,121684.828125,18610.2578125,269030.34375,5899.12841796875,18769.333984375,36763.07421875,254230.328125,51725.46484375,189738.8125,19212.763671875,6890.0966796875,13161.7001953125,25412.798828125,45376.58984375,2871135.25,352084.46875,1595874.75,3474359.25,11259512,5511.53076171875,66960.140625,149732864,64671632,20808.021484375,85519.6796875,202956.796875,671968.125,4275.779296875,2813879.75,1123207.75,62557.89453125,480769.34375,20909.708984375,818385.25,690.3467407226562,414197.25,439981.75,233308.671875,903077.375,69154.890625,76904.703125,17099.556640625,4149.44189453125,270850.59375,14762.6484375,141862.640625,30550.81640625,399078.4375,1094944.875,58403.3671875,7248.8056640625,121836.984375,13518.4951171875,597862.3125,7537,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192493266,24484,0,36.94258880615234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:13:20.768,"{'cid': 'ccf84744-4628-42d4-a6a2-2ae751bc564b', 'uuid': 'f35d1dbc-d17c-4eec-b319-8ca34aed1eb6', 'annotationId': '3257ffae-cf06-4626-b84f-4d2cee748c10', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777999018, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:13:19.251Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.76,18.42,2900.0,2900.03,22340093.0,1100.0,1099.43,24020116.0,1400.0,1399.66,22450138.0,1600.0,1599.17,21470060.0,0.0,0.0,22040109.0,0.0,585310.06,8.88,32.58,1009.72
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3257ffae-cf06-4626-b84f-4d2cee748c10,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1285.82373046875,478199.375,197640.203125,8092.47607421875,7110.61474609375,25878.97265625,181981.53125,173850.578125,231595.421875,68245.375,121660.4609375,18609.150390625,269166.25,5909.85498046875,18764.0703125,36763.1328125,254641.71875,51718.82421875,189276.953125,19220.798828125,6890.31005859375,13158.974609375,25413.15234375,45375.6875,2868730.75,352556.875,1595680.125,3473371.25,11259655,5511.451171875,67459.6640625,149812656,64273084,20808.708984375,85549.078125,202955.890625,671967.125,4276.5771484375,2818237.0,1123675.5,62553.04296875,480606.875,20908.509765625,818221.0625,690.9811401367188,414357.65625,439729.125,233258.96875,904058.125,69144.3359375,76898.453125,17095.23046875,4145.525390625,271018.28125,14797.91796875,142136.078125,30543.6171875,398816.6875,1095166.375,58412.47265625,7248.95947265625,121895.0,13526.396484375,597225.4375,7838,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192493266,24484,0,36.94258880615234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:13:21.069,"{'cid': 'ccf84744-4628-42d4-a6a2-2ae751bc564b', 'uuid': 'f35d1dbc-d17c-4eec-b319-8ca34aed1eb6', 'annotationId': '3257ffae-cf06-4626-b84f-4d2cee748c10', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777999018, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:13:19.251Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.76,18.44,2900.0,2900.23,22340093.0,1100.0,1099.47,24020116.0,1400.0,1400.07,22450138.0,1600.0,1599.59,21470060.0,0.0,0.0,22040109.0,0.0,585310.06,8.89,32.58,1009.71
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3257ffae-cf06-4626-b84f-4d2cee748c10,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1286.5423583984375,477347.90625,197637.953125,8092.154296875,7110.921875,25878.81640625,182062.453125,173838.921875,231227.90625,68208.8046875,121623.6484375,18609.62890625,268213.09375,5875.21484375,18767.615234375,36753.34375,254426.234375,51722.46875,189687.03125,19221.3359375,6890.46337890625,13156.87890625,25409.875,45371.79296875,2864717.75,348498.25,1599364.125,3471596.75,11253817,5510.16845703125,66432.0078125,149351456,63883880,20806.578125,85550.359375,202946.59375,671981.0,4275.603515625,2816965.0,1124941.375,62551.37890625,480515.875,20906.86328125,818527.9375,690.2015991210938,414474.34375,440177.40625,233256.578125,905108.75,69159.2421875,76868.6796875,17096.5703125,4143.7958984375,272704.625,14787.8193359375,142484.171875,30542.841796875,398932.28125,1095651.375,58413.91796875,7248.44287109375,121842.71875,13529.279296875,597386.3125,8139,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192493266,24484,0,36.94258880615234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:13:21.370,"{'cid': 'ccf84744-4628-42d4-a6a2-2ae751bc564b', 'uuid': 'f35d1dbc-d17c-4eec-b319-8ca34aed1eb6', 'annotationId': '3257ffae-cf06-4626-b84f-4d2cee748c10', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777999018, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:13:19.251Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,18.45,2900.0,2900.4,22340093.0,1100.0,1099.74,24020116.0,1400.0,1400.43,22450138.0,1600.0,1599.76,21470060.0,0.0,0.0,22040109.0,0.0,584600.21,8.89,32.58,1009.68
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3257ffae-cf06-4626-b84f-4d2cee748c10,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1286.8892822265625,477272.125,197618.65625,8091.4462890625,7110.80908203125,25877.8984375,181976.859375,173827.5,231593.921875,68302.3984375,121613.9921875,18609.966796875,268705.84375,5887.66357421875,18766.841796875,36760.60546875,254403.78125,51726.27734375,190149.78125,19216.068359375,6889.662109375,13154.3466796875,25407.126953125,45370.47265625,2861495.25,348293.0625,1600976.5,3469968.75,11245097,5510.51806640625,66397.3515625,148658784,63582856,20807.271484375,85546.7890625,203013.515625,671967.625,4277.10009765625,2815979.5,1124732.875,62549.1328125,480763.34375,20904.533203125,819599.3125,689.7300415039062,414284.28125,439986.40625,233244.25,905735.5625,69175.296875,76887.046875,17095.34375,4135.70654296875,273336.0,14768.3818359375,142199.609375,30546.509765625,398983.25,1096263.625,58413.6953125,7248.1669921875,121738.5625,13537.4794921875,597919.6875,8440,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192498269,24484,0,37.28017807006836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:13:21.671,"{'cid': 'ccf84744-4628-42d4-a6a2-2ae751bc564b', 'uuid': 'f35d1dbc-d17c-4eec-b319-8ca34aed1eb6', 'annotationId': '3257ffae-cf06-4626-b84f-4d2cee748c10', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777999018, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:13:19.251Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,18.46,2900.0,2900.57,22340093.0,1100.0,1100.0,24020116.0,1400.0,1400.79,22450138.0,1600.0,1599.92,21470060.0,0.0,0.0,22040109.0,0.0,583690.99,8.89,32.58,1009.64
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3257ffae-cf06-4626-b84f-4d2cee748c10,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1287.2618408203125,476892.65625,197576.21875,8091.97705078125,7110.900390625,25877.22265625,181966.953125,173805.78125,231535.171875,68325.4140625,121607.8125,18609.125,266969.84375,5890.59716796875,18766.96875,36753.91015625,254511.265625,51734.1484375,190061.484375,19217.283203125,6890.1787109375,13161.5166015625,25405.55859375,45368.30078125,2858345.0,347942.25,1599496.625,3468290.75,11236001,5510.400390625,67557.890625,147880912,63372988,20809.90234375,85544.0546875,203038.890625,671957.6875,4276.95458984375,2817229.25,1125470.5,62548.5234375,480545.34375,20902.46484375,820471.6875,691.1448974609375,414244.59375,440245.375,233242.34375,906179.875,69173.5703125,76919.171875,17094.607421875,4146.04150390625,273277.03125,14770.015625,141886.75,30548.599609375,399059.375,1096961.25,58415.66796875,7247.63671875,121757.0546875,13519.345703125,597546.0625,8741,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192498269,24484,0,37.28017807006836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:13:21.975,"{'cid': 'ccf84744-4628-42d4-a6a2-2ae751bc564b', 'uuid': 'f35d1dbc-d17c-4eec-b319-8ca34aed1eb6', 'annotationId': '3257ffae-cf06-4626-b84f-4d2cee748c10', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777999018, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:13:19.251Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,18.45,2900.0,2900.78,22340093.0,1100.0,1100.24,24020116.0,1400.0,1401.06,22450138.0,1600.0,1600.06,21470060.0,0.0,0.0,22040109.0,0.0,582772.72,8.9,32.58,1009.59
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3257ffae-cf06-4626-b84f-4d2cee748c10,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1286.519775390625,476781.09375,197566.625,8092.193359375,7110.326171875,25873.53515625,181894.171875,173776.375,231610.015625,68320.59375,121589.2421875,18609.3125,266928.84375,5909.53173828125,18765.40625,36750.40625,255400.515625,51724.91015625,189793.609375,19221.01953125,6890.2421875,13148.625,25402.5390625,45362.5546875,2855870.75,347995.40625,1599459.75,3466591.75,11221032,5510.52392578125,67731.59375,146710160,63281856,20806.638671875,85529.7109375,203088.453125,672160.0,4274.78271484375,2814689.25,1125927.625,62535.94921875,480357.84375,20902.6328125,821733.9375,691.0430908203125,413992.03125,440100.15625,233192.234375,906364.9375,69151.8046875,76889.4140625,17094.556640625,4138.7353515625,273273.78125,14756.9921875,142068.296875,30545.3828125,399019.5,1097740.125,58417.84375,7247.65380859375,121684.3125,13526.53515625,597318.125,9042,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192498269,24484,0,37.28017807006836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:13:22.273,"{'cid': 'ccf84744-4628-42d4-a6a2-2ae751bc564b', 'uuid': 'f35d1dbc-d17c-4eec-b319-8ca34aed1eb6', 'annotationId': '3257ffae-cf06-4626-b84f-4d2cee748c10', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777999018, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:13:19.251Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,18.45,2900.0,2901.37,22340093.0,1100.0,1100.19,24020116.0,1400.0,1400.35,22450138.0,1600.0,1599.75,21470060.0,0.0,0.0,22040109.0,0.0,581872.56,8.9,32.58,1009.55
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3257ffae-cf06-4626-b84f-4d2cee748c10,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1286.212646484375,477158.3125,197557.96875,8091.9404296875,7111.00048828125,25873.05078125,181844.453125,173770.4375,231765.40625,68255.6875,121569.3984375,18610.041015625,267003.6875,5917.89892578125,18767.087890625,36747.54296875,254893.140625,51739.62890625,190277.75,19206.697265625,6890.166015625,13158.2236328125,25402.65234375,45366.109375,2854865.5,348158.8125,1602168.0,3465331.25,11207261,5509.9765625,67805.40625,145605280,63325016,20805.27734375,85539.421875,203081.328125,672306.1875,4275.22314453125,2815612.5,1127685.625,62527.21484375,480449.625,20900.1875,822673.3125,690.6406860351562,413789.9375,439906.15625,233135.171875,906412.4375,69150.4765625,76893.5546875,17092.57421875,4144.63671875,271699.4375,14776.8583984375,143569.453125,30543.080078125,399071.59375,1098054.875,58418.1328125,7247.84130859375,121639.453125,13543.8310546875,597115.5625,9343,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192498269,24484,0,37.28017807006836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:13:22.574,"{'cid': 'ccf84744-4628-42d4-a6a2-2ae751bc564b', 'uuid': 'f35d1dbc-d17c-4eec-b319-8ca34aed1eb6', 'annotationId': '3257ffae-cf06-4626-b84f-4d2cee748c10', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777999018, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:13:19.251Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,18.44,2900.0,2901.96,22340093.0,1100.0,1100.14,24020116.0,1400.0,1399.64,22450138.0,1600.0,1599.44,21470060.0,0.0,0.0,22040109.0,0.0,582180.8,8.9,32.58,1009.55
