component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_453024,FLW0_453024,ANLT0_453024,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3d744f13-b07b-4074-8293-f26abbeb46e1,d740a400-0c71-4380-90b3-9278ea13539e,1268.39990234375,481221.0625,198232.84375,8102.89404296875,7115.64892578125,25912.767578125,182729.046875,175991.234375,234388.609375,68504.234375,123970.21875,18610.107421875,273066.25,5782.90625,18965.84375,36876.00390625,255384.4375,51920.88671875,187825.921875,19416.00390625,6892.8349609375,13173.943359375,25837.787109375,45501.27734375,2881421.5,360870.59375,1406169.375,3513220.75,11174250,5530.984375,69390.1328125,139199728,61946100,20905.693359375,85824.171875,202276.234375,672675.6875,4295.70263671875,2740975.25,1110646.25,62668.7578125,483955.1875,21029.5,820782.5625,692.1494750976562,421966.75,441499.1875,235326.890625,919605.6875,69358.5859375,77029.375,17169.5390625,4126.4453125,272574.40625,14814.44140625,139782.96875,31082.5859375,400652.96875,1097908.75,58427.30859375,7248.46435546875,122341.703125,13537.7861328125,602248.8125,5838,33.80952835083008,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194143829,24484,0,38.030879974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:40:48.998,"{'cid': '9ddab3e2-6f10-412e-9d16-6eb2b9fbc16a', 'uuid': 'ee0eda67-d0e6-4406-9ae8-00418bd7c587', 'annotationId': '3d744f13-b07b-4074-8293-f26abbeb46e1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779648632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:40:48.855Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.78,19.89,1600.0,1595.2,21470060.0,30.0,29.71,22040109.0,1100.0,1100.16,24020116.0,1370.0,1368.32,22450138.0,2900.0,2902.4,22340093.0,0.0,562174.06,13.65,32.59,1009.89
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3d744f13-b07b-4074-8293-f26abbeb46e1,d740a400-0c71-4380-90b3-9278ea13539e,1268.3387451171875,481152.6875,198268.921875,8102.7646484375,7115.57470703125,25913.544921875,182693.890625,175981.25,234241.84375,68496.2109375,123974.6484375,18610.376953125,272577.3125,5790.4384765625,18964.083984375,36877.296875,255496.765625,51919.890625,188627.1875,19415.2734375,6892.39404296875,13170.603515625,25837.22265625,45500.99609375,2884184.5,362093.625,1407214.25,3513821.25,11186098,5530.2099609375,69035.0546875,140238160,62029084,20905.087890625,85823.9765625,202245.421875,672448.3125,4295.58740234375,2739419.0,1110827.875,62680.26953125,484193.8125,21031.43359375,820595.9375,692.3563232421875,422075.3125,441504.875,235342.3125,919073.8125,69371.5390625,77082.875,17173.58203125,4132.00390625,273110.03125,14847.197265625,138957.625,31081.8203125,400624.46875,1097141.125,58427.578125,7248.5,122403.6328125,13528.453125,600882.6875,6139,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194143829,24484,0,38.030879974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:40:49.297,"{'cid': '9ddab3e2-6f10-412e-9d16-6eb2b9fbc16a', 'uuid': 'ee0eda67-d0e6-4406-9ae8-00418bd7c587', 'annotationId': '3d744f13-b07b-4074-8293-f26abbeb46e1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779648632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:40:48.855Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.78,19.89,1600.0,1595.2,21470060.0,30.0,29.71,22040109.0,1100.0,1100.16,24020116.0,1370.0,1368.32,22450138.0,2900.0,2902.4,22340093.0,0.0,562174.06,13.65,32.59,1009.89
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3d744f13-b07b-4074-8293-f26abbeb46e1,d740a400-0c71-4380-90b3-9278ea13539e,1268.6962890625,480804.0625,198263.1875,8102.97265625,7115.58203125,25914.3203125,182741.03125,176019.328125,234066.765625,68589.0390625,123967.1953125,18611.470703125,272013.9375,5825.7080078125,18965.138671875,36882.52734375,255265.953125,51918.72265625,189079.828125,19410.556640625,6892.67236328125,13159.572265625,25837.47265625,45498.484375,2887100.0,363066.78125,1407643.75,3515321.0,11202476,5530.61669921875,69080.7265625,141524672,61990408,20905.142578125,85842.90625,202248.828125,672275.875,4295.8056640625,2734732.75,1110375.25,62678.625,484374.09375,21031.005859375,820900.875,691.4115600585938,421937.3125,442005.8125,235391.0,918854.125,69360.8125,77094.640625,17171.794921875,4132.638671875,273235.65625,14822.9716796875,138949.359375,31082.630859375,400769.21875,1096945.0,58423.6640625,7248.46826171875,122397.6484375,13538.0244140625,600844.625,6440,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194143829,24484,0,38.030879974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:40:49.602,"{'cid': '9ddab3e2-6f10-412e-9d16-6eb2b9fbc16a', 'uuid': 'ee0eda67-d0e6-4406-9ae8-00418bd7c587', 'annotationId': '3d744f13-b07b-4074-8293-f26abbeb46e1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779648632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:40:48.855Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.78,19.9,1600.0,1595.37,21470060.0,30.0,29.72,22040109.0,1100.0,1100.17,24020116.0,1370.0,1368.36,22450138.0,2900.0,2902.25,22340093.0,0.0,562174.06,13.65,32.59,1009.89
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3d744f13-b07b-4074-8293-f26abbeb46e1,d740a400-0c71-4380-90b3-9278ea13539e,1268.1429443359375,480951.25,198280.75,8102.6796875,7115.63232421875,25914.916015625,182698.265625,176023.21875,234201.671875,68557.7421875,123971.546875,18610.166015625,272949.46875,5809.98779296875,18964.755859375,36887.65625,255464.703125,51916.88671875,189063.671875,19411.58203125,6892.330078125,13156.6513671875,25835.857421875,45493.6640625,2889805.25,362163.1875,1407878.0,3516193.25,11212860,5530.5703125,69167.8359375,142374512,61825088,20905.06640625,85870.203125,202287.25,672145.875,4294.98779296875,2733341.25,1110075.375,62689.01171875,484833.15625,21030.6171875,822212.25,692.3676147460938,422065.4375,441899.6875,235413.171875,918984.6875,69357.53125,77135.5703125,17170.341796875,4133.24560546875,273469.625,14840.3359375,139129.0,31083.166015625,400724.96875,1096448.375,58427.49609375,7247.9951171875,122200.7421875,13534.8330078125,600725.5625,6741,33.80952835083008,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194143829,24484,0,38.030879974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:40:49.899,"{'cid': '9ddab3e2-6f10-412e-9d16-6eb2b9fbc16a', 'uuid': 'ee0eda67-d0e6-4406-9ae8-00418bd7c587', 'annotationId': '3d744f13-b07b-4074-8293-f26abbeb46e1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779648632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:40:48.855Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.79,19.91,1600.0,1596.56,21470060.0,30.0,29.8,22040109.0,1100.0,1100.24,24020116.0,1370.0,1368.69,22450138.0,2900.0,2900.84,22340093.0,0.0,562028.53,13.65,32.59,1009.89
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3d744f13-b07b-4074-8293-f26abbeb46e1,d740a400-0c71-4380-90b3-9278ea13539e,1269.036376953125,480978.625,198276.8125,8103.072265625,7115.85693359375,25915.78125,182778.078125,175986.078125,234346.703125,68659.703125,123943.71875,18610.974609375,272545.40625,5816.115234375,18966.2265625,36881.765625,255347.515625,51903.921875,188990.90625,19407.400390625,6892.3642578125,13160.498046875,25832.751953125,45493.08203125,2885644.5,361905.65625,1407939.5,3514452.0,11214303,5529.73974609375,68921.578125,142522512,61923720,20908.369140625,85864.4296875,202252.953125,672236.3125,4295.6640625,2731306.0,1110121.125,62696.05859375,484799.875,21031.806640625,822698.8125,692.530517578125,422118.65625,441792.71875,235437.125,919707.1875,69391.015625,77123.2734375,17173.775390625,4140.75244140625,273257.125,14860.1201171875,138994.953125,31080.216796875,400879.96875,1096327.625,58432.34765625,7248.38720703125,122097.6484375,13530.2236328125,600400.4375,7044,33.80952835083008,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194143829,24484,0,38.030879974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:40:50.201,"{'cid': '9ddab3e2-6f10-412e-9d16-6eb2b9fbc16a', 'uuid': 'ee0eda67-d0e6-4406-9ae8-00418bd7c587', 'annotationId': '3d744f13-b07b-4074-8293-f26abbeb46e1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779648632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:40:48.855Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.8,19.92,1600.0,1597.78,21470060.0,30.0,29.88,22040109.0,1100.0,1100.31,24020116.0,1370.0,1369.02,22450138.0,2900.0,2899.4,22340093.0,0.0,561787.04,13.65,32.59,1009.9
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3d744f13-b07b-4074-8293-f26abbeb46e1,d740a400-0c71-4380-90b3-9278ea13539e,1269.322509765625,481087.25,198256.578125,8102.7734375,7115.89111328125,25914.7578125,182765.546875,175984.453125,234400.375,68525.46875,123952.09375,18610.099609375,271267.03125,5810.92822265625,18964.857421875,36876.26953125,255260.984375,51908.96875,188536.734375,19408.533203125,6892.41064453125,13164.2724609375,25829.931640625,45488.77734375,2881902.75,361165.75,1412175.375,3513353.5,11213665,5530.75537109375,68454.140625,142572480,61137952,20906.5546875,85824.7421875,202229.125,672103.625,4295.9560546875,2729871.0,1106793.25,62696.62890625,485127.03125,21032.12109375,823174.125,692.8296508789062,422212.6875,441212.5,235432.21875,921630.0,69395.9765625,77161.3671875,17166.13671875,4122.1962890625,273157.75,14822.1884765625,139615.5625,31083.255859375,400876.90625,1096874.875,58434.796875,7248.6083984375,122226.0625,13533.8974609375,600583.625,7644,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194143829,24484,0,38.030879974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:40:50.801,"{'cid': '9ddab3e2-6f10-412e-9d16-6eb2b9fbc16a', 'uuid': 'ee0eda67-d0e6-4406-9ae8-00418bd7c587', 'annotationId': '3d744f13-b07b-4074-8293-f26abbeb46e1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779648632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:40:48.855Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.8,19.9,1600.0,1599.48,21470060.0,30.0,29.94,22040109.0,1100.0,1100.38,24020116.0,1370.0,1369.14,22450138.0,2900.0,2897.74,22340093.0,0.0,561307.26,13.66,32.59,1009.91
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3d744f13-b07b-4074-8293-f26abbeb46e1,d740a400-0c71-4380-90b3-9278ea13539e,1268.976806640625,481493.75,198256.046875,8102.85986328125,7115.6103515625,25914.802734375,182810.875,175983.75,234173.21875,68541.0234375,123911.9921875,18609.146484375,272081.53125,5824.62548828125,18965.96484375,36875.5234375,255257.4375,51914.109375,189187.1875,19409.115234375,6892.14013671875,13141.5068359375,25828.673828125,45482.5390625,2878779.75,363984.375,1410548.625,3512085.5,11208285,5531.2119140625,68022.6171875,142029808,60804152,20904.474609375,85818.9609375,202323.578125,672059.25,4295.798828125,2730608.5,1108518.375,62696.55859375,485267.21875,21029.21875,823121.125,691.9742431640625,422105.3125,441770.125,235441.40625,922372.3125,69369.796875,77170.5625,17168.10546875,4132.08349609375,271786.65625,14832.9697265625,140731.25,31085.923828125,400879.53125,1097727.125,58430.73046875,7247.96044921875,122113.1953125,13523.650390625,599803.6875,7945,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194143829,24484,0,38.030879974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:40:51.106,"{'cid': '9ddab3e2-6f10-412e-9d16-6eb2b9fbc16a', 'uuid': 'ee0eda67-d0e6-4406-9ae8-00418bd7c587', 'annotationId': '3d744f13-b07b-4074-8293-f26abbeb46e1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779648632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:40:48.855Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,19.89,1600.0,1599.75,21470060.0,30.0,29.89,22040109.0,1100.0,1100.36,24020116.0,1370.0,1368.72,22450138.0,2900.0,2897.93,22340093.0,0.0,560879.21,13.66,32.59,1009.86
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3d744f13-b07b-4074-8293-f26abbeb46e1,d740a400-0c71-4380-90b3-9278ea13539e,1269.218017578125,480825.03125,198242.5625,8102.52880859375,7115.3271484375,25912.927734375,182824.625,175967.578125,234121.125,68485.9140625,123904.3359375,18610.583984375,272201.5625,5804.998046875,18965.2578125,36876.11328125,255241.0625,51899.5234375,188831.890625,19409.40234375,6892.556640625,13136.3388671875,25827.291015625,45480.796875,2876539.75,363413.59375,1409455.875,3510692.0,11196718,5530.67578125,67937.0546875,141046736,60519096,20900.00390625,85826.6171875,202297.359375,672130.4375,4295.40380859375,2730440.25,1107202.5,62706.96484375,484873.1875,21029.7109375,822071.4375,692.5518188476562,421639.875,442050.375,235440.875,922803.6875,69365.015625,77150.3125,17171.61328125,4134.70556640625,271465.0,14843.7587890625,140324.765625,31090.095703125,400921.3125,1098335.25,58438.69921875,7247.76904296875,122128.0078125,13533.24609375,599911.6875,8246,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194143829,24484,0,38.030879974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:40:51.404,"{'cid': '9ddab3e2-6f10-412e-9d16-6eb2b9fbc16a', 'uuid': 'ee0eda67-d0e6-4406-9ae8-00418bd7c587', 'annotationId': '3d744f13-b07b-4074-8293-f26abbeb46e1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779648632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:40:48.855Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,19.88,1600.0,1600.01,21470060.0,30.0,29.84,22040109.0,1100.0,1100.33,24020116.0,1370.0,1368.32,22450138.0,2900.0,2898.12,22340093.0,0.0,560405.37,13.65,32.59,1009.8
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3d744f13-b07b-4074-8293-f26abbeb46e1,d740a400-0c71-4380-90b3-9278ea13539e,1269.8558349609375,481060.84375,198214.09375,8102.5361328125,7115.3251953125,25911.46875,182844.15625,175954.609375,233977.265625,68509.515625,123911.359375,18609.515625,272525.0625,5832.12060546875,18964.078125,36874.28125,255219.53125,51902.69921875,189023.0,19417.26953125,6892.13037109375,13175.3466796875,25829.609375,45486.94140625,2875364.0,364401.03125,1410527.625,3509662.25,11187025,5530.50048828125,68511.9921875,140229440,60419036,20901.53515625,85818.359375,202360.96875,672347.9375,4296.17822265625,2733322.5,1108681.75,62700.3984375,484841.40625,21028.689453125,822323.4375,692.0235595703125,421731.8125,442166.0,235366.171875,923074.125,69354.078125,77120.9375,17174.259765625,4145.11279296875,271494.65625,14823.1806640625,140022.859375,31090.095703125,400925.59375,1098816.625,58437.80078125,7247.35546875,122237.3125,13531.3955078125,599473.75,8547,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194143829,24484,0,38.030879974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:40:51.705,"{'cid': '9ddab3e2-6f10-412e-9d16-6eb2b9fbc16a', 'uuid': 'ee0eda67-d0e6-4406-9ae8-00418bd7c587', 'annotationId': '3d744f13-b07b-4074-8293-f26abbeb46e1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779648632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:40:48.855Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,19.89,1600.0,1600.05,21470060.0,30.0,29.84,22040109.0,1100.0,1100.3,24020116.0,1370.0,1368.27,22450138.0,2900.0,2898.69,22340093.0,0.0,559926.77,13.65,32.59,1009.74
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3d744f13-b07b-4074-8293-f26abbeb46e1,d740a400-0c71-4380-90b3-9278ea13539e,1267.8525390625,481455.3125,198173.796875,8102.0810546875,7115.279296875,25911.0,182661.59375,175918.40625,233999.640625,68510.1796875,123929.515625,18610.388671875,271730.875,5815.65869140625,18964.83984375,36871.71484375,255875.84375,51910.0,188441.953125,19409.97265625,6892.4091796875,13178.4482421875,25832.525390625,45491.29296875,2874874.0,365721.46875,1408251.625,3508867.0,11181571,5531.1494140625,68929.2109375,139726768,61254988,20895.548828125,85815.3984375,202387.328125,672417.9375,4295.62353515625,2736433.75,1111268.125,62687.83203125,484267.03125,21028.23828125,821213.9375,692.59228515625,421669.875,441517.21875,235343.59375,923016.625,69355.609375,77109.3359375,17171.212890625,4135.32763671875,273009.9375,14819.2978515625,139250.5625,31089.853515625,400968.9375,1099604.875,58435.2421875,7247.7001953125,122176.5859375,13526.2275390625,599246.6875,8851,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194143829,24484,0,38.030879974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:40:52.014,"{'cid': '9ddab3e2-6f10-412e-9d16-6eb2b9fbc16a', 'uuid': 'ee0eda67-d0e6-4406-9ae8-00418bd7c587', 'annotationId': '3d744f13-b07b-4074-8293-f26abbeb46e1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779648632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:40:48.855Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,19.89,1600.0,1599.78,21470060.0,30.0,29.89,22040109.0,1100.0,1100.25,24020116.0,1370.0,1368.76,22450138.0,2900.0,2899.86,22340093.0,0.0,559435.44,13.64,32.59,1009.67
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3d744f13-b07b-4074-8293-f26abbeb46e1,d740a400-0c71-4380-90b3-9278ea13539e,1268.756103515625,480753.28125,198159.296875,8102.4658203125,7115.27392578125,25908.458984375,182713.484375,175903.921875,234016.75,68436.4609375,123913.9453125,18610.44921875,271011.34375,5835.6220703125,18964.46484375,36874.203125,256257.265625,51914.8046875,188764.546875,19410.1953125,6892.46875,13172.16796875,25830.927734375,45489.6640625,2876156.5,362492.78125,1408079.375,3509223.5,11176995,5531.1669921875,69493.4921875,139066656,61850996,20898.330078125,85812.296875,202350.78125,672544.25,4295.505859375,2739772.0,1112019.875,62671.31640625,483999.34375,21025.099609375,820633.875,692.7006225585938,421679.84375,441599.65625,235334.484375,922389.0625,69398.6484375,77091.578125,17167.328125,4132.7138671875,273262.875,14829.548828125,139128.40625,31087.642578125,400999.4375,1099802.625,58438.75390625,7247.509765625,122180.3046875,13535.3134765625,599440.875,9150,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194148845,24484,0,36.69326400756836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:40:52.308,"{'cid': '9ddab3e2-6f10-412e-9d16-6eb2b9fbc16a', 'uuid': 'ee0eda67-d0e6-4406-9ae8-00418bd7c587', 'annotationId': '3d744f13-b07b-4074-8293-f26abbeb46e1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768779648632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:40:48.855Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,19.9,1600.0,1599.52,21470060.0,30.0,29.95,22040109.0,1100.0,1100.2,24020116.0,1370.0,1369.23,22450138.0,2900.0,2900.98,22340093.0,0.0,559520.04,13.64,32.59,1009.67
