component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_454625,GASR0_454625,H0_454625,T0_454625,P0_454625,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_543024,FLW0_543024,ANLT0_543024
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,adcc6d7b-18aa-414f-8822-fa20f6680df9,cef005ed-135f-4b62-b67e-4518ada868d3,11167026,7439734.5,4332020.5,214847.578125,188964608,187868368,133296024,134137176,1778.7242431640625,3224.232177734375,31515.56640625,34390.35546875,41736.859375,527197.3125,8651.7744140625,2934.614013671875,1372.4459228515625,7208.3115234375,11328621,77465.53125,3469362.75,387588.3125,29718.13671875,27378.69921875,1165681792,641657664,634820352,1324647936.0,550828736,542088576,101765088,102406048,248000576,150097984,139163888,758198528,108927528,109903600,160.58224487304688,60072.17578125,11522274,6378618.0,40585.734375,124751520,1017.3128051757812,449118.15625,118271992,119226408,12676.1015625,77531.3203125,10133.990234375,4934.3583984375,65071.50390625,408488.4375,6331.27099609375,60244.1953125,54971.8515625,5020203.0,2120710.0,38510.57421875,291000256,292394752,233785616,235832272,4007,27.36263656616211,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,67338612,24484,0,45.642616271972656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:03:16.997,"{'cid': 'ef42d854-5519-4d8a-a703-4ce7b46abfd0', 'uuid': 'ed1704ba-9fc9-4901-b27a-b30db33af5aa', 'annotationId': 'adcc6d7b-18aa-414f-8822-fa20f6680df9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524196611, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:03:16.841Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,688634.81,56.11,24.43,1015.83,12.0,10.88,22040109.0,1600.0,1595.44,24020116.0,200.0,198.56,21470060.0,3800.0,3797.76,22340093.0,1388.0,1388.96,22450138.0
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,adcc6d7b-18aa-414f-8822-fa20f6680df9,cef005ed-135f-4b62-b67e-4518ada868d3,11160470,7441176.0,4335195.5,214661.25,189214784,188118512,133441200,134285184,1778.1597900390625,3216.966064453125,31520.771484375,34370.95703125,41670.6171875,523277.875,8661.041015625,2931.56494140625,1371.8011474609375,7206.22998046875,11330146,77521.3515625,3465669.25,387235.28125,29686.412109375,27299.591796875,1166258944,642763200,635775424,1327571456.0,551117312,542445824,101724480,102364200,248071536,150102464,139168464,756724224,108865472,109837864,160.57481384277344,60092.57421875,11523877,6373532.5,40553.2109375,124837408,1016.3532104492188,449605.34375,118149744,119104368,12685.724609375,77546.796875,10128.822265625,4932.20849609375,65294.35546875,409895.0,6330.53857421875,60163.9140625,55016.3984375,5020840.0,2121139.25,38362.39453125,291206528,292612352,233770016,235809632,4308,27.44322204589844,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,67338612,24484,0,45.642616271972656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:03:17.296,"{'cid': 'ef42d854-5519-4d8a-a703-4ce7b46abfd0', 'uuid': 'ed1704ba-9fc9-4901-b27a-b30db33af5aa', 'annotationId': 'adcc6d7b-18aa-414f-8822-fa20f6680df9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524196611, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:03:16.841Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,688634.81,56.11,24.43,1015.83,12.0,10.88,22040109.0,1600.0,1595.44,24020116.0,200.0,198.56,21470060.0,3800.0,3797.76,22340093.0,1388.0,1388.96,22450138.0
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,adcc6d7b-18aa-414f-8822-fa20f6680df9,cef005ed-135f-4b62-b67e-4518ada868d3,11165223,7443954.0,4337696.0,214998.453125,189182992,188080768,133436120,134278896,1780.90283203125,3224.321533203125,31532.138671875,34295.953125,41704.5546875,530656.1875,8667.724609375,2931.869140625,1372.9056396484375,7203.5888671875,11329906,77499.5,3466115.0,388430.6875,29606.884765625,27373.552734375,1167669760,643720768,636627008,1328000640.0,551548288,542823104,101715048,102353176,247722224,150076560,139154384,757488000,108776856,109744632,160.55172729492188,60067.296875,11486582,6365123.5,40492.796875,124675232,1016.1196899414062,449324.34375,118088776,119040880,12676.986328125,77563.953125,10163.01953125,4902.87744140625,65233.796875,410767.8125,6333.9091796875,60197.5390625,55167.07421875,5021119.0,2121443.5,38430.83203125,291291520,292716992,233682448,235721200,4611,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,67338612,24484,0,45.642616271972656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:03:17.600,"{'cid': 'ef42d854-5519-4d8a-a703-4ce7b46abfd0', 'uuid': 'ed1704ba-9fc9-4901-b27a-b30db33af5aa', 'annotationId': 'adcc6d7b-18aa-414f-8822-fa20f6680df9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524196611, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:03:16.841Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,688634.81,56.1,24.43,1015.82,12.0,10.96,22040109.0,1600.0,1595.51,24020116.0,200.0,198.67,21470060.0,3800.0,3797.59,22340093.0,1388.0,1388.96,22450138.0
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,adcc6d7b-18aa-414f-8822-fa20f6680df9,cef005ed-135f-4b62-b67e-4518ada868d3,11098797,7442044.0,4335834.5,215125.40625,189307696,188205536,133408184,134250720,1782.66748046875,3219.848876953125,31501.98828125,34347.984375,41661.7265625,534966.9375,8675.630859375,2921.18212890625,1371.28759765625,7208.3134765625,11330739,77382.140625,3469054.75,389113.375,29613.375,27380.455078125,1171074304,644851520,637852416,1333626240.0,551564160,542722688,101607984,102243544,247135456,149950272,139044144,753693440,108747088,109716968,160.580810546875,60008.65625,11462473,6369033.0,40869.20703125,124687160,1017.3109741210938,448890.71875,118091208,119044008,12678.1025390625,77554.15625,10134.357421875,4932.6259765625,65196.5390625,409293.59375,6325.63134765625,60093.109375,55163.5625,5025413.5,2125306.75,38416.78125,291373600,292797664,233432688,235465504,4910,27.28205108642578,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,67338612,24484,0,45.642616271972656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:03:17.898,"{'cid': 'ef42d854-5519-4d8a-a703-4ce7b46abfd0', 'uuid': 'ed1704ba-9fc9-4901-b27a-b30db33af5aa', 'annotationId': 'adcc6d7b-18aa-414f-8822-fa20f6680df9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524196611, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:03:16.841Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,688634.81,56.09,24.44,1015.81,12.0,11.27,22040109.0,1600.0,1595.82,24020116.0,200.0,199.14,21470060.0,3800.0,3796.76,22340093.0,1388.0,1388.96,22450138.0
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,adcc6d7b-18aa-414f-8822-fa20f6680df9,cef005ed-135f-4b62-b67e-4518ada868d3,11093080,7434615.5,4329184.0,214738.234375,189319424,188211696,133328240,134166328,1776.1114501953125,3221.79931640625,31519.20703125,34362.171875,41797.1953125,546312.0625,8671.1123046875,2937.648681640625,1373.6434326171875,7223.3779296875,11332821,77423.3671875,3461660.5,387397.96875,29554.44140625,27169.65625,1211197696,650339904,643390400,1388580224.0,558553792,549471296,101574832,102209128,246785744,149832992,138940160,751505920,108650224,109616520,160.57876586914062,60028.515625,11473130,6363628.5,40550.296875,124624528,1017.2357177734376,449962.25,118139216,119092368,12683.326171875,77554.8515625,10141.5654296875,4931.93408203125,65302.1875,412306.96875,6325.2587890625,60041.1953125,55158.3828125,5026301.5,2126627.0,38384.734375,291504928,292915328,233445936,235476976,5213,27.44322204589844,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,67338612,24484,0,45.642616271972656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:03:18.202,"{'cid': 'ef42d854-5519-4d8a-a703-4ce7b46abfd0', 'uuid': 'ed1704ba-9fc9-4901-b27a-b30db33af5aa', 'annotationId': 'adcc6d7b-18aa-414f-8822-fa20f6680df9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524196611, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:03:16.841Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,688634.81,56.08,24.44,1015.8,12.0,11.6,22040109.0,1600.0,1596.13,24020116.0,200.0,199.62,21470060.0,3800.0,3795.91,22340093.0,1388.0,1388.96,22450138.0
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,adcc6d7b-18aa-414f-8822-fa20f6680df9,cef005ed-135f-4b62-b67e-4518ada868d3,11107802,7446062.5,4338888.5,214586.25,189494512,188394704,133375280,134213248,1777.430908203125,3218.847900390625,31525.642578125,34373.84765625,41786.53125,548353.0625,8683.4990234375,2931.03759765625,1373.7413330078125,7220.44482421875,11334702,77401.1640625,3459766.75,387511.28125,29577.4765625,27264.9765625,1299639552,656766144,649800512,1489753856.0,561534400,552339072,101764840,102400976,246799776,149831184,138935696,756923840,108623944,109595064,160.57437133789062,59988.96484375,11457254,6385288.0,40319.6171875,124686944,1016.9561157226562,450411.15625,117988160,118938600,12681.90234375,77559.4140625,10126.423828125,4942.99462890625,65213.2109375,411962.5625,6323.7548828125,60190.4765625,55037.51171875,5024384.5,2125409.0,38409.03125,291511264,292910656,233294544,235306832,5512,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,67338612,24484,0,45.642616271972656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:03:18.501,"{'cid': 'ef42d854-5519-4d8a-a703-4ce7b46abfd0', 'uuid': 'ed1704ba-9fc9-4901-b27a-b30db33af5aa', 'annotationId': 'adcc6d7b-18aa-414f-8822-fa20f6680df9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524196611, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:03:16.841Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,688297.59,56.07,24.44,1015.77,12.0,11.92,22040109.0,1600.0,1596.44,24020116.0,200.0,200.1,21470060.0,3800.0,3795.08,22340093.0,1388.0,1388.96,22450138.0
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,adcc6d7b-18aa-414f-8822-fa20f6680df9,cef005ed-135f-4b62-b67e-4518ada868d3,11108681,7452047.0,4345960.5,214751.109375,189620096,188528048,133408728,134248976,1779.6024169921875,3215.328125,31512.134765625,34314.4375,41597.3671875,550645.8125,8676.615234375,2936.306640625,1374.634765625,7215.58642578125,11335796,77494.0859375,3454534.5,386820.5625,29606.533203125,27445.837890625,1381790720,662565760,655623424,1584355584.0,567720576,558217344,101903064,102540672,246287920,149495056,138658304,758614784,108486064,109464696,160.58163452148438,60066.984375,11467702,6385232.0,40462.98828125,124677824,1015.955078125,449356.625,118134088,119086936,12675.142578125,77555.3359375,10123.4423828125,4943.30517578125,65084.328125,410985.5,6335.93603515625,60203.6484375,54881.7109375,5024622.5,2125548.0,38452.78125,291544128,292921888,233262880,235286768,5814,27.28205108642578,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,67338612,24484,0,45.642616271972656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:03:18.804,"{'cid': 'ef42d854-5519-4d8a-a703-4ce7b46abfd0', 'uuid': 'ed1704ba-9fc9-4901-b27a-b30db33af5aa', 'annotationId': 'adcc6d7b-18aa-414f-8822-fa20f6680df9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524196611, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:03:16.841Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,687393.34,56.05,24.44,1015.68,12.0,11.95,22040109.0,1600.0,1596.76,24020116.0,200.0,200.08,21470060.0,3800.0,3796.13,22340093.0,1388.0,1388.96,22450138.0
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,adcc6d7b-18aa-414f-8822-fa20f6680df9,cef005ed-135f-4b62-b67e-4518ada868d3,11030867,7460236.0,4352860.0,214662.953125,189652944,188549824,133374824,134212112,1785.0858154296875,3221.710693359375,31526.556640625,34285.4921875,41421.44140625,551628.1875,8684.46875,2929.450927734375,1375.2314453125,7229.4072265625,11338402,77530.625,3455097.75,387756.03125,29762.052734375,27438.40234375,1408208128,664434368,657388672,1615576064.0,571784640,562050176,101936552,102572192,246453440,149542416,138701360,764221312,108499752,109478672,160.5698699951172,60082.61328125,11453789,6381674.5,40155.30078125,124751256,1016.126953125,450030.28125,118197616,119152712,12673.2177734375,77565.890625,10131.4208984375,4944.5693359375,65264.09375,411195.78125,6328.52197265625,60110.57421875,54961.12109375,5024098.0,2125166.0,38472.1171875,291500128,292871360,233106576,235126768,6117,27.5238094329834,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,67338612,24484,0,45.642616271972656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:03:19.105,"{'cid': 'ef42d854-5519-4d8a-a703-4ce7b46abfd0', 'uuid': 'ed1704ba-9fc9-4901-b27a-b30db33af5aa', 'annotationId': 'adcc6d7b-18aa-414f-8822-fa20f6680df9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524196611, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:03:16.841Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,686495.07,56.04,24.43,1015.59,12.0,11.95,22040109.0,1600.0,1597.07,24020116.0,200.0,199.98,21470060.0,3800.0,3797.49,22340093.0,1388.0,1388.96,22450138.0
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,adcc6d7b-18aa-414f-8822-fa20f6680df9,cef005ed-135f-4b62-b67e-4518ada868d3,10998393,7454076.5,4347202.5,214648.65625,189744560,188643952,133422128,134260784,1783.2811279296875,3222.33837890625,31531.044921875,34298.59375,41486.4765625,554945.375,8676.4912109375,2929.4912109375,1374.4599609375,7215.39013671875,11338847,77509.65625,3451843.0,387435.9375,29774.62109375,27419.826171875,1443469568,668994496,662168512,1707816832.0,575854208,565904000,102038424,102674952,246141648,149272352,138486048,769298432,108367840,109350824,160.58827209472656,60065.8671875,11445608,6387003.0,39926.3203125,124778184,1014.9895629882812,449127.5,118348528,119305696,12683.81640625,77556.6796875,10113.732421875,4951.02880859375,65210.12890625,410933.875,6345.9794921875,60192.1796875,54924.76171875,5020526.5,2122281.0,38451.8046875,291397088,292762752,232669712,234707120,6417,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,67338612,24484,0,45.642616271972656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:03:19.406,"{'cid': 'ef42d854-5519-4d8a-a703-4ce7b46abfd0', 'uuid': 'ed1704ba-9fc9-4901-b27a-b30db33af5aa', 'annotationId': 'adcc6d7b-18aa-414f-8822-fa20f6680df9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524196611, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:03:16.841Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,685596.8,56.03,24.43,1015.5,12.0,11.95,22040109.0,1600.0,1597.38,24020116.0,200.0,199.89,21470060.0,3800.0,3798.85,22340093.0,1388.0,1388.96,22450138.0
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,adcc6d7b-18aa-414f-8822-fa20f6680df9,cef005ed-135f-4b62-b67e-4518ada868d3,10953836,7451920.5,4343934.5,214155.203125,189665280,188562368,133410720,134249216,1782.188232421875,3220.0146484375,31529.224609375,34309.859375,41619.2578125,555678.5625,8676.89453125,2938.85498046875,1374.3414306640625,7209.25634765625,11338911,77497.109375,3452883.0,388531.9375,29703.908203125,27457.8125,1424853248,669419264,662486720,1695392000.0,580880192,570905344,101956832,102595632,246545600,149438032,138647664,775460288,108394648,109374936,160.57461547851562,60101.41796875,11442978,6399352.0,39836.73828125,124597016,1017.119873046875,448216.125,118313496,119269168,12697.439453125,77568.828125,10138.37109375,4952.16748046875,65291.99609375,411570.25,6330.58154296875,60161.26171875,55025.62109375,5016703.5,2119408.0,38444.109375,291270176,292653600,232814272,234871024,6717,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,67338612,24484,0,45.642616271972656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:03:19.706,"{'cid': 'ef42d854-5519-4d8a-a703-4ce7b46abfd0', 'uuid': 'ed1704ba-9fc9-4901-b27a-b30db33af5aa', 'annotationId': 'adcc6d7b-18aa-414f-8822-fa20f6680df9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524196611, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:03:16.841Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,686431.66,56.02,24.43,1015.46,12.0,11.95,22040109.0,1600.0,1597.69,24020116.0,200.0,200.01,21470060.0,3800.0,3799.91,22340093.0,1388.0,1388.96,22450138.0
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,adcc6d7b-18aa-414f-8822-fa20f6680df9,cef005ed-135f-4b62-b67e-4518ada868d3,10931450,7463571.0,4354773.0,214185.734375,189846976,188745760,133607808,134447792,1780.7393798828125,3218.328125,31522.748046875,34328.01953125,41569.3984375,554417.9375,8667.46875,2927.757568359375,1375.507568359375,7213.5029296875,11339120,77563.515625,3450161.75,388317.46875,29653.525390625,27423.13671875,1397732992,671070400,664083264,1690313600.0,586073920,575921920,101847928,102484992,246216176,149352400,138598800,777958208,108361704,109335224,160.5685577392578,60094.73828125,11422884,6426999.5,40334.9765625,124582568,1017.5637817382812,449002.75,118504200,119459944,12686.4794921875,77567.15625,10157.3681640625,4914.69091796875,65264.96484375,411534.46875,6345.40869140625,60187.75,54765.23828125,5015302.5,2118658.5,38351.31640625,291128928,292493056,233136112,235203360,7018,27.28205108642578,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,67338612,24484,0,45.642616271972656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:03:20.007,"{'cid': 'ef42d854-5519-4d8a-a703-4ce7b46abfd0', 'uuid': 'ed1704ba-9fc9-4901-b27a-b30db33af5aa', 'annotationId': 'adcc6d7b-18aa-414f-8822-fa20f6680df9', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524196611, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:03:16.841Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,688788.23,56.01,24.43,1015.46,12.0,11.95,22040109.0,1600.0,1598.0,24020116.0,200.0,200.35,21470060.0,3800.0,3800.67,22340093.0,1388.0,1388.96,22450138.0
