component_sn,product_sn,event_name,annotation_id,configuration_id,CHRA1,CHRA2,CHRA3,CHRA4,CHRA5,CHRA6,CHRA7,CHRA8,CHRB1,CHRB2,CHRB3,CHRB4,CHRB5,CHRB6,CHRB7,CHRB8,CHRC1,CHRC2,CHRC3,CHRC4,CHRC5,CHRC6,CHRC7,CHRC8,CHRD1,CHRD2,CHRD3,CHRD4,CHRD5,CHRD6,CHRD7,CHRD8,CHRE1,CHRE2,CHRE3,CHRE4,CHRE5,CHRE6,CHRE7,CHRE8,CHRF1,CHRF2,CHRF3,CHRF4,CHRF5,CHRF6,CHRF7,CHRF8,CHRG1,CHRG2,CHRG3,CHRG4,CHRG5,CHRG6,CHRG7,CHRG8,CHRH1,CHRH2,CHRH3,CHRH4,CHRH5,CHRH6,CHRH7,CHRH8,BT1,BT2,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_454524,GASR0_454524,H0_454524,T0_454524,P0_454524,bVOC_452225,GASR0_452225,H0_452225,T0_452225,P0_452225,SETP0_453624,FLW0_453624,ANLT0_453624,SETP0_183425,FLW0_183425,ANLT0_183425,FLW0_091225,FLW0_093125,SETP0_093324,FLW0_093324,ANLT0_093324
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,f99157b6-ca9c-4daa-993d-9d91e66b8375,dce27208-9ed3-4553-9623-330063c51d52,4398331665.5548,6640154116.7602,4557383951.6825,8230.2615,5760.4129,6930620087.3362,4606240649.4636,4426821657.8286,4253106822.2139,6644105766.0074,4558737054.0852,12492.1463,83654.7204,6928265234.8525,4654321790.59,4810600436.6812,4404719407.6383,6688354003.2059,4653498766.5923,243622.3667,4900.0289,6937310953.7547,4607854863.9712,4694826565.6446,4470433357.8168,6687060560.054,4691525845.2247,12988038.8122,8882423.3813,6948652482.2695,4644505963.5173,4780986076.7886,4401371829.1055,6654237871.4118,4573280230.8802,6321189.2002,638360.3544,6927769532.955,4636189447.8814,4775334738.1096,4394449566.7629,6653564414.6034,4571610986.0943,925500.5832,3634.333,6927009427.3743,4605185807.8729,4427577601.6079,4380355996.0137,6686704622.1323,4626623649.635,28531.2108,15872.2126,6927654299.4326,4717625014.8474,4810008489.9939,3077509344.3389,6656347607.0529,4560033381.295,26569.4271,7770.9431,6931245523.6265,4637732368.0523,4331188967.7772,21.641,23.0916,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 01:35:04.797,"{'cid': 'f5388a08-d97f-44ae-8466-2f669aef6fe0', 'uuid': '2d20e260-eaa8-4b30-bdcf-81a43189bc3b', 'annotationId': 'f99157b6-ca9c-4daa-993d-9d91e66b8375', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759368902371, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T01:35:02.676Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,303386.25,30.53,25.1,102617.68,0.5,454740.27,29.63,25.09,102663.33,2500.0,2498.77,22340098.0,0.0,0.07,22160328.0,0.15,0.13,2500.0,2498.57,22450181.0
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,f99157b6-ca9c-4daa-993d-9d91e66b8375,dce27208-9ed3-4553-9623-330063c51d52,4398331665.5548,6639599664.9916,4557120096.6295,8228.4761,5760.2182,6930626200.8734,4605974718.7754,4459739076.6462,4267363935.4874,6644108280.2548,4558475346.6429,12493.5598,83555.703,6928265234.8525,4652414197.0247,4810599223.6778,4404473640.2605,6688920013.4998,4645858449.6306,243808.55,4900.0845,6937919216.6463,4607854283.8912,4702913133.7089,4470433922.8205,6687628005.0612,4691803647.5604,12987268.4298,8881200.5224,6949261821.366,4644507132.8344,4781277878.2399,4401615020.8623,6654798119.7012,4573541907.1808,6320708.0633,638404.9188,6926554071.7465,4635916545.0832,4775045451.809,4394451233.0593,6653567771.7163,4570557254.1102,922368.548,3643.4557,6927010300.2793,4605454545.4545,4375942172.9294,4380600741.9301,6686706309.0418,4630140252.4544,28520.0804,15850.2664,6927649061.5452,4719026911.424,4810592552.1591,3074031812.7017,6655230859.6373,4560032805.7554,26571.1206,7771.3336,6930637554.5852,4638000817.4228,4370885692.2399,21.7216,23.1722,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 01:35:06.000,"{'cid': 'f5388a08-d97f-44ae-8466-2f669aef6fe0', 'uuid': '2d20e260-eaa8-4b30-bdcf-81a43189bc3b', 'annotationId': 'f99157b6-ca9c-4daa-993d-9d91e66b8375', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759368902371, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T01:35:02.676Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,319199.97,30.75,25.11,102618.8,0.5,496978.37,29.92,25.11,102664.44,2500.0,2500.45,22340098.0,0.0,0.08,22160328.0,0.15,0.13,2500.0,2499.03,22450181.0
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,f99157b6-ca9c-4daa-993d-9d91e66b8375,dce27208-9ed3-4553-9623-330063c51d52,4398577305.832,6640154954.3513,4557647261.85,8232.461,5760.8221,6930629694.3231,4606243548.8547,4404906687.4028,4279627826.4633,6644110794.5022,4558478223.3473,12491.4004,83460.47,6929473454.4184,4650779859.4848,4811474673.946,4404719964.3692,6687790619.2003,4648309768.2605,243678.6493,4900.2457,6937310079.5524,4607851963.571,4711303237.3032,4470433357.8168,6687063090.4184,4691245707.5192,12986109.7258,8881292.0994,6949265323.993,4644234434.3759,4781279686.5582,4401125883.0728,6654241228.8064,4573541907.1808,6320564.2491,638444.7335,6927753819.2929,4635913043.4783,4774178403.7559,4394693662.1674,6653561896.7688,4570290147.6696,921562.0724,3675.0972,6928822142.67,4604920000.0,4412525454.8489,4381327389.5226,6686138989.6264,4633390058.4795,28539.659,15809.8884,6927041724.8603,4720707791.0501,4811176149.4601,3060178481.5517,6655224983.2102,4560031079.1367,26572.2594,7771.3743,6931851851.8519,4637997898.0557,4328113300.2238,21.641,23.011,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 01:35:07.199,"{'cid': 'f5388a08-d97f-44ae-8466-2f669aef6fe0', 'uuid': '2d20e260-eaa8-4b30-bdcf-81a43189bc3b', 'annotationId': 'f99157b6-ca9c-4daa-993d-9d91e66b8375', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759368902371, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T01:35:02.676Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,331872.14,30.95,25.12,102618.98,0.5,509817.28,30.16,25.11,102662.81,2500.0,2498.91,22340098.0,0.0,0.07,22160328.0,0.15,0.13,2500.0,2498.9,22450181.0
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,f99157b6-ca9c-4daa-993d-9d91e66b8375,dce27208-9ed3-4553-9623-330063c51d52,4398576749.8749,6640154116.7602,4557123547.682,8233.011,5760.5862,6931230675.1681,4605707659.3031,4438985223.3292,4291024570.1578,6643548143.8029,4558474195.9611,12489.8938,83350.2499,6929469961.5788,4648875753.4968,4810889185.4188,4403983300.8628,6687788088.409,4650492457.5923,243421.651,4900.1353,6938521465.4193,4608386030.0516,4718036999.5836,4470178531.0734,6686497427.6799,4691245115.4529,12984408.602,8880470.9425,6949866012.7857,4644232095.8784,4781275467.1489,4401124214.2738,6655360141.0343,4574069968.8258,6320435.0451,638448.3773,6928352540.5972,4636181860.628,4774748976.6434,4395668092.6718,6653560218.2123,4570290147.6696,921171.5821,3678.3108,6930027945.1576,4604915942.029,4362431376.8634,4380599634.5717,6686703778.6775,4636371935.163,28555.1028,15853.6927,6926437985.511,4722109142.7892,4811757461.7811,3040926438.9043,6655783729.3258,4559242720.6813,26570.5101,7771.7124,6932449550.1005,4637993810.9418,4287552984.4291,21.7216,23.0916,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 01:35:08.400,"{'cid': 'f5388a08-d97f-44ae-8466-2f669aef6fe0', 'uuid': '2d20e260-eaa8-4b30-bdcf-81a43189bc3b', 'annotationId': 'f99157b6-ca9c-4daa-993d-9d91e66b8375', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759368902371, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T01:35:02.676Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,337724.63,31.12,25.12,102619.7,0.5,508131.96,30.38,25.13,102664.79,2500.0,2498.64,22340098.0,0.0,0.08,22160328.0,0.15,0.13,2500.0,2498.39,22450181.0
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,f99157b6-ca9c-4daa-993d-9d91e66b8375,dce27208-9ed3-4553-9623-330063c51d52,4398329997.7763,6640708661.4173,4557387402.9336,8235.7543,5760.5008,6930622707.4236,4605172473.7666,4470565952.6494,4301781306.0736,6644101575.595,4558737054.0852,12490.371,83363.1848,6929469961.5788,4647788894.7399,4811765348.2165,4403982187.587,6687785557.6177,4652676023.2544,243559.6086,4900.2734,6938517967.9986,4608651659.3177,4724508577.5554,4470431097.8021,6687624630.9574,4690692043.5709,12981192.7974,8880078.0739,6949257443.0823,4643957675.6694,4780984268.5794,4401367935.0245,6655908823.7763,4574334622.7123,6320213.8568,638486.0924,6928340317.7929,4636985581.694,4775027391.4876,4395668092.6718,6653557700.3777,4570027686.4509,921975.9164,3673.8428,6929422808.2431,4605181749.6666,4320055019.8834,4381566705.4328,6687823519.4871,4628244640.458,28557.0508,15874.1157,6926432748.538,4722946072.8938,4811755035.1856,3051873817.5219,6655777852.4053,4558980378.6179,26566.384,7772.0814,6931233295.4843,4637717772.0691,4329522301.687,21.9634,23.011,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 01:35:09.602,"{'cid': 'f5388a08-d97f-44ae-8466-2f669aef6fe0', 'uuid': '2d20e260-eaa8-4b30-bdcf-81a43189bc3b', 'annotationId': 'f99157b6-ca9c-4daa-993d-9d91e66b8375', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759368902371, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T01:35:02.676Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,340989.5,31.28,25.13,102617.92,0.5,503557.35,30.59,25.14,102663.38,2500.0,2500.45,22340098.0,0.0,0.07,22160328.0,0.14,0.14,2500.0,2497.66,22450181.0
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,f99157b6-ca9c-4daa-993d-9d91e66b8375,dce27208-9ed3-4553-9623-330063c51d52,4398819081.5078,6641818867.2922,4557384526.891,8232.919,5760.973,6930616593.8865,4604902608.6957,4473624210.2888,4311413079.0191,6644655938.312,4558733026.4672,12489.9575,83177.9796,6928858814.2845,4646697279.9064,4812344982.405,4403738172.1029,6687785557.6177,4647760896.3454,243733.2496,4900.4058,6939122945.0857,4608384289.6096,4729870594.5495,4469927122.7614,6687622943.9055,4690690859.5785,12978354.1451,8879758.5407,6949866012.7857,4644500116.9317,4781561878.3531,4401859908.7571,6657590695.3309,4575394121.3836,6319725.9549,638412.8709,6927135125.6983,4636989667.8536,4774742956.8986,4395177490.1394,6653555182.543,4569498817.6942,923165.8226,3670.9766,6928819523.269,4604646107.472,4360988177.069,4380354335.0681,6687826050.2784,4631488279.6516,28591.4997,15867.7512,6926435367.0245,4723789843.0067,4811757461.7811,3046803638.8867,6655218267.2935,4558715765.2474,26564.1903,7772.7208,6933653997.3788,4637447019.6742,4364128879.595,21.8022,23.011,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 01:35:10.803,"{'cid': 'f5388a08-d97f-44ae-8466-2f669aef6fe0', 'uuid': '2d20e260-eaa8-4b30-bdcf-81a43189bc3b', 'annotationId': 'f99157b6-ca9c-4daa-993d-9d91e66b8375', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759368902371, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T01:35:02.676Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,342328.03,31.47,25.12,102620.28,0.5,496687.11,30.82,25.14,102664.79,2500.0,2498.26,22340098.0,0.0,0.06,22160328.0,0.14,0.14,2500.0,2500.48,22450181.0
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,f99157b6-ca9c-4daa-993d-9d91e66b8375,dce27208-9ed3-4553-9623-330063c51d52,4398570634.347,6641253246.2093,4557116070.4015,8235.2249,5761.0649,6930614847.1616,4604632195.2351,4501855026.395,4320140883.5254,6645208717.5189,4558468442.5522,12490.9592,83218.6713,6928858814.2845,4645605006.1407,4812925970.8738,4403736502.2821,6687783026.8264,4649666666.6667,243870.7515,4900.4193,6939124693.9489,4608383129.3148,4735241791.0448,4469678567.3935,6687631379.1649,4689859129.9201,12975390.0508,8879007.7307,6949873018.6531,4645042100.3391,4780696118.6114,4402353104.8297,6657041733.143,4574603348.7298,6319546.052,638401.272,6928358651.9993,4636723091.2912,4774747170.72,4395185267.4851,6653569450.2728,4579014043.8074,922347.1305,3661.1506,6929427174.2927,4604375724.5537,4318168254.8326,4380846622.3699,6688404623.3021,4634474730.9312,28597.1874,15868.9179,6927649061.5452,4724350541.2157,4811756248.4834,3048815814.8505,6656351805.2057,4558722669.7353,26567.4514,7772.2024,6933658366.0987,4637176298.8908,4398317896.9552,21.8022,23.011,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 01:35:12.002,"{'cid': 'f5388a08-d97f-44ae-8466-2f669aef6fe0', 'uuid': '2d20e260-eaa8-4b30-bdcf-81a43189bc3b', 'annotationId': 'f99157b6-ca9c-4daa-993d-9d91e66b8375', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759368902371, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T01:35:02.676Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,343148.52,31.63,25.14,102620.45,0.5,481761.89,31.05,25.14,102664.5,2500.0,2500.42,22340098.0,0.0,0.07,22160328.0,0.15,0.14,2500.0,2501.28,22450181.0
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,f99157b6-ca9c-4daa-993d-9d91e66b8375,dce27208-9ed3-4553-9623-330063c51d52,4398815745.5799,6641255759.4035,4556856271.9273,8235.4484,5760.6115,6930011352.7203,4604633934.2647,4441247129.977,4327721131.2291,6645208717.5189,4558205039.6962,12490.9401,83162.4195,6929461229.4796,4644516751.4471,4812924150.4854,4403737615.4959,6687782183.2293,4651851221.2306,243870.2052,4900.288,6940336715.0603,4608916739.1935,4739489692.2617,4469679697.2094,6688193858.6131,4689858538.029,12972156.3052,8879047.0286,6950482571.3785,4645042685.0661,4780409208.7025,4402354217.6719,6657601612.3614,4574603348.7298,6319449.5212,638378.2565,6928968829.1277,4636996672.6986,4775035819.6376,4395183045.3864,6653566093.1599,4577954007.0492,923456.1401,3681.9811,6929427174.2927,4603840848.4989,4358825436.9572,4381572797.2531,6687834486.2494,4636641502.809,28558.042,15922.9996,6927653426.4513,4724913752.0818,4811467394.6012,3062798465.5326,6655790445.8064,4558719792.8654,26569.47,7772.7368,6934871974.1327,4637716604.3905,4350943655.0173,21.8022,23.0916,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 01:35:13.201,"{'cid': 'f5388a08-d97f-44ae-8466-2f669aef6fe0', 'uuid': '2d20e260-eaa8-4b30-bdcf-81a43189bc3b', 'annotationId': 'f99157b6-ca9c-4daa-993d-9d91e66b8375', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759368902371, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T01:35:02.676Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,342584.38,31.78,25.14,102619.31,0.5,470522.49,31.25,25.14,102663.62,2500.0,2499.75,22340098.0,0.0,0.08,22160328.0,0.15,0.14,2500.0,2499.16,22450181.0
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,f99157b6-ca9c-4daa-993d-9d91e66b8375,dce27208-9ed3-4553-9623-330063c51d52,4398573970.0895,6642372852.9535,4556859147.639,8236.198,5760.7683,6931223687.6583,4604639151.3535,4387830585.3713,4334137723.2387,6644649233.0903,4558467291.8704,12493.506,83154.4042,6930064623.177,4644245790.4584,4813212573.5785,4403489731.1738,6688343879.1867,4654034891.9173,243965.9215,4900.703,6940331467.5529,4608916158.9788,4743747607.6555,4469173068.2332,6688191327.8218,4689856762.3557,12969037.992,8878938.0839,6949871267.1863,4645040930.8853,4780695515.9113,4402108162.2434,6657599093.0467,4574334045.3784,6319528.4256,638334.0049,6928971448.5288,4636723674.9942,4775609007.1648,4394934451.7276,6653558539.6559,4576626039.7412,923658.5988,3690.6363,6928217216.6929,4603841428.0746,4316049853.0532,4382541405.8605,6687268663.0114,4628783665.3619,28519.5576,15930.8326,6928257377.3354,4725475312.3141,4811466787.9891,3076664201.4713,6655232538.6165,4558716915.9954,26561.4468,7773.0702,6934872848.0294,4637447603.4795,4388568977.9204,21.8022,23.011,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 01:35:14.399,"{'cid': 'f5388a08-d97f-44ae-8466-2f669aef6fe0', 'uuid': '2d20e260-eaa8-4b30-bdcf-81a43189bc3b', 'annotationId': 'f99157b6-ca9c-4daa-993d-9d91e66b8375', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759368902371, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T01:35:02.676Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,341061.52,31.94,25.14,102619.36,0.5,458561.67,31.44,25.14,102664.1,2500.0,2497.57,22340098.0,0.0,0.09,22160328.0,0.15,0.14,2500.0,2499.23,22450181.0
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,f99157b6-ca9c-4daa-993d-9d91e66b8375,dce27208-9ed3-4553-9623-330063c51d52,4398571746.2612,6642371177.2099,4556071880.391,8234.4224,5760.4027,6931226307.9745,4604636252.9708,4423376094.5953,4340331358.3498,6645203688.1811,4558464415.166,12491.2455,83102.4191,6930062003.3185,4642886200.2455,4812919296.1165,4403243544.0784,6688909044.8869,4655401022.3867,243904.4611,4900.6204,6940327969.2146,4608647017.8696,4747727163.8932,4470180790.9605,6688753901.9657,4690133775.3048,12965782.7077,8877812.1919,6949873018.6531,4645040930.8853,4780408606.0387,4402108718.6335,6657038374.3387,4573803036.4256,6319393.9337,638300.8427,6928967082.8604,4636719589.0731,4775321493.0765,4394691995.7785,6653001846.2571,4575835402.8299,922478.9347,3681.0896,6928817777.0017,4603574036.5112,4357864600.5055,4382301982.9401,6687833642.6523,4621764568.6286,28548.5542,15936.0713,6927053072.6257,4726319985.7202,4812053024.3281,3087637109.375,6655794643.6068,4558981529.4321,26561.7512,7772.7626,6934265990.9123,4637442933.0375,4400547663.9663,21.8022,23.0916,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 01:35:15.602,"{'cid': 'f5388a08-d97f-44ae-8466-2f669aef6fe0', 'uuid': '2d20e260-eaa8-4b30-bdcf-81a43189bc3b', 'annotationId': 'f99157b6-ca9c-4daa-993d-9d91e66b8375', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759368902371, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T01:35:02.676Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,340239.19,32.07,25.14,102619.7,0.5,447727.11,31.6,25.15,102665.36,2500.0,2500.06,22340098.0,0.0,0.09,22160328.0,0.16,0.14,2500.0,2498.9,22450181.0
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,f99157b6-ca9c-4daa-993d-9d91e66b8375,dce27208-9ed3-4553-9623-330063c51d52,4398329997.7763,6641258272.5978,4555286034.6116,8235.804,5760.708,6931225434.5358,4604904927.5362,4372318337.1926,4345831365.0096,6645762427.6972,4558467291.8704,12491.7787,83065.2466,6930668122.2707,4641803307.4271,4812920509.7087,4403244657.1683,6689475149.7764,4650754872.0357,243868.8365,4900.4765,6939112451.9063,4608382549.1675,4750861934.711,4469678002.4856,6689319946.0007,4691244523.3866,12960956.0662,8876639.5098,6949864261.3189,4645038007.2506,4780405592.7198,4402353104.8297,6657034175.8334,4573536712.0757,6319324.6422,638299.702,6929560775.4104,4636447207.1441,4774744160.8476,4394690329.3895,6653000167.8416,4575039265.5041,921987.1908,3677.2478,6928816030.7343,4603572877.4268,4396097006.6519,4383274238.2271,6688400404.9608,4625539144.1415,28578.1321,15927.3764,6928258250.3929,4726879500.1488,4812048777.5284,3099294620.4517,6655794643.6068,4558979803.2108,26569.6103,7772.9611,6933661861.0747,4637441765.4271,4434058481.4939,21.7216,23.1722,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-0ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 01:35:16.803,"{'cid': 'f5388a08-d97f-44ae-8466-2f669aef6fe0', 'uuid': '2d20e260-eaa8-4b30-bdcf-81a43189bc3b', 'annotationId': 'f99157b6-ca9c-4daa-993d-9d91e66b8375', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759368902371, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T01:35:02.676Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,335864.81,32.19,25.14,102618.87,0.5,437692.49,31.74,25.15,102665.51,2500.0,2499.78,22340098.0,0.0,0.06,22160328.0,0.16,0.14,2500.0,2500.14,22450181.0
