component_sn,product_sn,event_name,annotation_id,configuration_id,CHRA1,CHRA2,CHRA3,CHRA4,CHRA5,CHRA6,CHRA7,CHRA8,CHRB1,CHRB2,CHRB3,CHRB4,CHRB5,CHRB6,CHRB7,CHRB8,CHRC1,CHRC2,CHRC3,CHRC4,CHRC5,CHRC6,CHRC7,CHRC8,CHRD1,CHRD2,CHRD3,CHRD4,CHRD5,CHRD6,CHRD7,CHRD8,CHRE1,CHRE2,CHRE3,CHRE4,CHRE5,CHRE6,CHRE7,CHRE8,CHRF1,CHRF2,CHRF3,CHRF4,CHRF5,CHRF6,CHRF7,CHRF8,CHRG1,CHRG2,CHRG3,CHRG4,CHRG5,CHRG6,CHRG7,CHRG8,CHRH1,CHRH2,CHRH3,CHRH4,CHRH5,CHRH6,CHRH7,CHRH8,BT1,BT2,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_454524,GASR0_454524,H0_454524,T0_454524,P0_454524,bVOC_452225,GASR0_452225,H0_452225,T0_452225,P0_452225,SETP0_093324,FLW0_093324,ANLT0_093324,SETP0_453624,FLW0_453624,ANLT0_453624,FLW0_093125,FLW0_091225,SETP0_183425,FLW0_183425,ANLT0_183425
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,cb39e043-b58a-4d02-97cf-55d4479709e9,7113cb0f-29bf-4a49-bde5-68154af529bf,3620647564.208,5714413037.208,4142479593.9724,7265.0391,7710.2843,6768947683.3647,4480883300.3673,4386084457.2187,2860907744.0104,5706673867.646,4125912762.5202,39528.6847,63220.5088,6781790853.0319,4482968281.7889,4422321667.4097,2794315919.5199,5705368610.5112,4123500000.0,817038.4941,4584.7339,6762006831.7677,4477848308.5785,4373748553.161,3952920137.6765,5818834716.2053,4145909614.579,358912.0364,179838255.9271,6831361401.0871,4531024629.9789,4416310106.8566,3680568641.115,5736915224.7882,4141861985.9789,9816558.4164,8838547.6468,6809375644.9948,4497195121.9512,4419353383.4586,3033921072.7969,5726820349.7615,4131466367.479,219467.9033,12221.2217,6777656423.8637,4480394982.2004,4373519069.6649,2511039888.3001,5790398947.8299,4135772344.9825,18365.1598,12615.3135,6789235188.202,4476318523.1186,4375666390.9567,2118138544.3733,5751320124.8276,4141827360.7115,23748.6409,8228.0229,6779943488.3124,4472289469.2312,4121456547.7118,19.304,20.7546,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-5ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:36:35.216,"{'cid': '38055d99-7d70-41fa-aee4-d02c92a7b5d4', 'uuid': '3efad397-4b6b-4a81-9e3a-449a914869bc', 'annotationId': 'cb39e043-b58a-4d02-97cf-55d4479709e9', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759361794091, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:36:34.422Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,301471.2,35.07,22.28,102486.09,0.5,420987.2,34.57,22.32,102535.93,2500.0,2485.75,22450181.0,2500.0,2484.97,22340098.0,0.15,0.15,0.0,0.07,22160328.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,cb39e043-b58a-4d02-97cf-55d4479709e9,7113cb0f-29bf-4a49-bde5-68154af529bf,3621313191.3338,5714828008.9421,4142263380.9449,7269.8675,7710.5297,6767789743.5897,4480628955.6962,4383417665.5803,2854596884.6903,5706678908.3315,4125913283.6521,39520.7916,63508.7439,6780631101.216,4482463677.992,4418872368.8607,2787595957.4618,5704958606.2918,4123499479.1667,820764.6371,4585.0259,6761431133.1227,4477344288.215,4372303157.1987,3965613271.2806,5819264209.135,4146125687.3527,362307.6422,179914397.0732,6830770358.8682,4531025201.4401,4416309550.3117,3681606022.5847,5736917396.6553,4142078166.6928,9814387.738,8841420.2388,6807618433.4967,4496941183.1433,4419599532.1377,3076491452.9915,5733863685.6957,4131463758.2842,218794.2241,12279.9679,6775334987.5931,4480394982.2004,4372793850.2232,2512243317.036,5790822067.9576,4136205004.9632,18410.7525,12879.9782,6793312457.1036,4476321910.4612,4374460859.9779,2120994340.2806,5751741181.5938,4141825268.114,23748.9272,8229.6493,6778783494.5638,4472037225.0423,4115884214.3487,19.304,20.5934,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-5ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:36:36.412,"{'cid': '38055d99-7d70-41fa-aee4-d02c92a7b5d4', 'uuid': '3efad397-4b6b-4a81-9e3a-449a914869bc', 'annotationId': 'cb39e043-b58a-4d02-97cf-55d4479709e9', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759361794091, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:36:34.422Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,308302.85,35.21,22.27,102494.84,0.5,447439.75,34.76,22.33,102541.59,2500.0,2499.82,22450181.0,2500.0,2495.24,22340098.0,0.14,0.14,0.0,0.07,22160328.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,cb39e043-b58a-4d02-97cf-55d4479709e9,7113cb0f-29bf-4a49-bde5-68154af529bf,3620646650.2148,5714002451.5106,4142043005.1271,7270.4822,7710.577,6768363962.7319,4480628390.5967,4385596330.2752,2856460889.0172,5707088434.3944,4125480694.0753,39516.3405,63332.5493,6778306796.7814,4482461982.0227,4413708771.3443,2796091056.7957,5704958606.2918,4123711651.6485,824003.9124,4585.275,6761426863.6325,4477092038.3964,4371095626.3083,3976380651.3122,5819691562.0181,4146341259.0343,363554.7341,180039288.5001,6829587717.7851,4530507399.5772,4416063776.504,3676131966.0341,5736917396.6553,4142296462.9552,9812650.1904,8844631.4011,6807043500.6878,4496181807.8712,4419111717.5317,3114971482.5158,5732207594.9367,4131463758.2842,219149.8954,12279.1254,6773598802.3952,4480146344.2197,4371590458.3517,2512801435.3307,5791247442.2683,4136420585.162,18409.6875,12861.3666,6790403052.9114,4476576332.43,4373258197.8506,2116320423.9488,5752159396.0949,4142041958.7737,23750.8812,8229.9849,6779943488.3124,4472034968.9791,4113103162.2602,19.2234,20.5128,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-5ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:36:37.620,"{'cid': '38055d99-7d70-41fa-aee4-d02c92a7b5d4', 'uuid': '3efad397-4b6b-4a81-9e3a-449a914869bc', 'annotationId': 'cb39e043-b58a-4d02-97cf-55d4479709e9', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759361794091, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:36:34.422Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,326057.03,35.34,22.26,102495.0,0.5,496998.69,34.96,22.33,102540.76,2500.0,2499.38,22450181.0,2500.0,2499.39,22340098.0,0.14,0.15,0.0,0.08,22160328.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,cb39e043-b58a-4d02-97cf-55d4479709e9,7113cb0f-29bf-4a49-bde5-68154af529bf,3623638858.3974,5714418805.884,4142261811.3326,7271.2511,7710.793,6768369091.3753,4480629520.7957,4387535662.9437,2857292839.6131,5707496579.0421,4125478609.765,39517.5735,63173.1272,6779468321.9178,4482714834.9163,4413216172.6267,2790351075.0793,5704960046.073,4123928534.2223,825795.4513,4585.2204,6760846994.5355,4477343158.8458,4370371206.6971,3986607807.6265,5819690827.6419,4146342830.2084,364025.5192,180147020.7998,6827820125.8946,4530247400.2971,4416063776.504,3674425119.4286,5737339994.2079,4142300125.5756,9810169.5017,8847281.6959,6805876740.5879,4495671921.0705,4419112831.3656,3148893439.3638,5730137382.5018,4131681974.7417,218321.0564,12324.7029,6773598802.3952,4479893214.3059,4370626790.0419,2515527545.5384,5791242326.805,4136635665.3953,18414.4466,12916.9374,6788651406.0357,4477079616.0361,4373013887.3581,2113304468.6765,5751739730.0044,4141825791.2634,23754.3176,8229.7783,6782265524.6253,4471782753.3698,4116524333.2987,19.304,20.674,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-5ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:36:38.817,"{'cid': '38055d99-7d70-41fa-aee4-d02c92a7b5d4', 'uuid': '3efad397-4b6b-4a81-9e3a-449a914869bc', 'annotationId': 'cb39e043-b58a-4d02-97cf-55d4479709e9', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759361794091, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:36:34.422Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,338345.5,35.45,22.27,102495.69,0.5,519161.44,35.1,22.33,102540.95,2500.0,2501.05,22450181.0,2500.0,2499.03,22340098.0,0.13,0.15,0.0,0.08,22160328.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,cb39e043-b58a-4d02-97cf-55d4479709e9,7113cb0f-29bf-4a49-bde5-68154af529bf,3624800750.3317,5714830172.3516,4141827883.8608,7270.6581,7711.7084,6768369946.1492,4480631216.094,4384868762.7784,2874573378.8396,5707495138.6388,4125475483.2995,39517.8141,63080.3846,6778886225.4944,4482461416.6996,4415178879.4303,2792430420.8261,5705372210.2232,4123711651.6485,826551.7107,4585.3657,6761424301.9383,4477092603.0491,4373746899.6307,3995673876.8719,5819264209.135,4146124639.9581,364410.4921,180225975.575,6825465908.1114,4529729204.7532,4416062663.476,3673238130.5638,5736513681.7721,4142302218.5015,9807706.5027,8850814.8827,6805299527.2884,4495674756.1805,4419116172.867,3181504840.7183,5737192499.819,4131682496.6079,217729.9484,12360.2523,6771861797.6567,4479388170.1599,4369664647.5771,2513367742.3453,5791667032.0836,4136205527.4019,18407.7956,12910.1908,6786328419.6092,4477084697.9108,4372536367.6438,2119107841.5608,5752156492.7052,4142044051.4806,23760.8848,8230.1741,6782846496.4879,4471532258.0645,4138473815.9816,19.2234,20.5128,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-5ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:36:40.014,"{'cid': '38055d99-7d70-41fa-aee4-d02c92a7b5d4', 'uuid': '3efad397-4b6b-4a81-9e3a-449a914869bc', 'annotationId': 'cb39e043-b58a-4d02-97cf-55d4479709e9', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759361794091, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:36:34.422Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,345035.89,35.55,22.26,102495.38,0.5,519911.51,35.23,22.32,102541.36,2500.0,2498.48,22450181.0,2500.0,2499.43,22340098.0,0.15,0.14,0.0,0.04,22160328.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,cb39e043-b58a-4d02-97cf-55d4479709e9,7113cb0f-29bf-4a49-bde5-68154af529bf,3624801207.851,5714830172.3516,4141396139.5616,7271.3296,7710.8584,6768369091.3753,4479871744.1663,4385594672.267,2868093392.262,5707500180.0504,4125480172.9978,39513.4583,63118.3372,6778891362.0409,4483985183.5096,4414198698.3368,2792137768.0587,5704961485.8541,4123066868.0346,826961.0927,4585.4706,6760269785.7082,4477849438.0753,4372540224.8182,3998900439.017,5819265677.7794,4145909090.9091,364700.7577,180281983.7087,6824290269.7578,4529471579.5487,4416309550.3117,3668981614.4121,5736510062.2557,4142298555.8811,9805975.1437,8853278.2333,6805298667.8126,4495419855.9846,4419609557.7587,3213362275.3276,5743013261.8306,4131468454.8348,217936.0021,12308.0245,6771284419.3604,4479388735.0997,4370145941.1829,2516495786.2935,5783635235.732,4135990492.1116,18425.052,12931.6383,6784581441.179,4476832476.9917,4371088465.352,2121393464.6134,5752154315.163,4142261288.1285,23754.7994,8230.0883,6781682939.3628,4471534513.8732,4136525728.5856,19.304,20.5128,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-5ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:36:41.220,"{'cid': '38055d99-7d70-41fa-aee4-d02c92a7b5d4', 'uuid': '3efad397-4b6b-4a81-9e3a-449a914869bc', 'annotationId': 'cb39e043-b58a-4d02-97cf-55d4479709e9', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759361794091, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:36:34.422Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,351436.07,35.64,22.27,102496.51,0.5,514491.71,35.34,22.33,102542.49,2500.0,2497.69,22450181.0,2500.0,2500.14,22340098.0,0.15,0.14,0.0,0.06,22160328.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,cb39e043-b58a-4d02-97cf-55d4479709e9,7113cb0f-29bf-4a49-bde5-68154af529bf,3625798361.631,5715242319.3423,4141396139.5616,7272.7547,7710.9307,6767787179.4872,4480124307.8314,4388019243.5302,2862271511.2075,5707911985.0187,4125482778.3857,39508.848,63319.3408,6777729179.1492,4483477523.3249,4413462736.3737,2792433595.5413,5705370050.396,4123281599.9167,827684.8792,4585.3733,6760268931.9559,4478102338.1904,4371576134.8612,3976165077.7722,5819690093.2658,4145907519.8995,364909.6056,180377068.5919,6823114174.9246,4529990287.3793,4416557577.7815,3673242303.4125,5736916672.6996,4141859893.2719,9803710.9156,8857189.5257,6804712959.78,4497716700.7034,4419859633.4874,3215316661.2537,5740517203.9116,4131038351.161,217867.789,12400.3246,6771280143.6634,4480145214.1485,4373035930.7836,2513769179.453,5784904007.5918,4135558399.4985,18415.4723,12873.4612,6782832790.8172,4477338076.6842,4369881601.4098,2122649253.7313,5752571864.1115,4141609123.2475,23752.0136,8230.6673,6781678657.0743,4471281227.0907,4131134020.6186,19.2234,20.5934,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-5ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:36:42.416,"{'cid': '38055d99-7d70-41fa-aee4-d02c92a7b5d4', 'uuid': '3efad397-4b6b-4a81-9e3a-449a914869bc', 'annotationId': 'cb39e043-b58a-4d02-97cf-55d4479709e9', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759361794091, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:36:34.422Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,352860.09,35.73,22.27,102496.03,0.5,506407.26,35.48,22.32,102541.61,2500.0,2500.13,22450181.0,2500.0,2500.84,22340098.0,0.14,0.14,0.0,0.06,22160328.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,cb39e043-b58a-4d02-97cf-55d4479709e9,7113cb0f-29bf-4a49-bde5-68154af529bf,3625793785.1815,5715648755.8601,4141393000.9939,7272.9609,7710.6692,6768363107.9579,4480122612.7246,4385593566.9283,2901108424.0226,5708732891.5142,4125701406.9828,39512.0965,63278.1922,6775990073.5923,4483733318.2538,4413218953.3396,2794605147.0329,5705367890.5688,4123284203.9477,828607.8689,4585.0722,6760846994.5355,4477848873.3269,4370852657.6701,3985585676.2058,5820118977.6733,4145908043.5693,365078.2098,180366356.9949,6829000431.2204,4529991430.0406,4416803963.0413,3670173723.7098,5736504271.0294,4142079213.101,9801822.424,8860475.5698,6804141101.6585,4497727479.0107,4419867431.627,3241985264.0196,5738439536.5677,4131039916.5145,219359.3145,12376.0621,6775915625.5348,4479892084.2985,4375687896.3331,2517304596.787,5786594377.51,4135555265.3573,18419.4438,12880.4792,6787486713.5265,4477086391.869,4373012785.1868,2120589733.9627,5752571864.1115,4142041435.5969,23752.8625,8231.0789,6780514642.9183,4471280663.1704,4136532506.1259,19.2234,20.5128,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-5ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:36:43.616,"{'cid': '38055d99-7d70-41fa-aee4-d02c92a7b5d4', 'uuid': '3efad397-4b6b-4a81-9e3a-449a914869bc', 'annotationId': 'cb39e043-b58a-4d02-97cf-55d4479709e9', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759361794091, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:36:34.422Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,352920.11,35.83,22.26,102495.95,0.5,492334.57,35.6,22.33,102542.1,2500.0,2499.9,22450181.0,2500.0,2498.81,22340098.0,0.14,0.15,0.0,0.06,22160328.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,cb39e043-b58a-4d02-97cf-55d4479709e9,7113cb0f-29bf-4a49-bde5-68154af529bf,3624958821.3763,5715646592.1385,4141175855.215,7272.8625,7711.767,6768358834.0884,4480373509.6344,4386319716.9863,2893558584.8988,5708730730.4423,4125486425.9288,39513.7717,63325.2876,6781210927.4642,4483226280.674,4415428444.2466,2787393309.8592,5705777233.7821,4123497916.6667,829216.0811,4585.4869,6760268931.9559,4478099514.2889,4372536918.6687,3964799619.7528,5820543518.1785,4145471777.1494,365247.9993,180422351.8496,6826642814.0357,4530247971.6604,4416800066.7928,3669837409.672,5736499927.6097,4142511119.2507,9799934.2412,8861952.3007,6804724991.406,4497471212.2072,4420114750.4456,3188183648.0013,5736361925.4434,4130611467.6266,218668.6566,12358.6615,6779980306.5331,4480401763.0107,4374004519.8986,2514014169.526,5787020592.9604,4135558921.8554,18417.6186,12879.364,6790987993.1389,4476585930.4426,4371813123.2439,2121446355.2706,5752571138.2114,4142040912.4202,23750.7585,8231.046,6780511217.6743,4471277843.5685,4133517061.7348,19.304,20.4322,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-5ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:36:44.814,"{'cid': '38055d99-7d70-41fa-aee4-d02c92a7b5d4', 'uuid': '3efad397-4b6b-4a81-9e3a-449a914869bc', 'annotationId': 'cb39e043-b58a-4d02-97cf-55d4479709e9', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759361794091, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:36:34.422Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,353153.46,35.91,22.27,102496.34,0.5,478841.16,35.69,22.33,102541.35,2500.0,2499.4,22450181.0,2500.0,2499.16,22340098.0,0.14,0.14,0.0,0.06,22160328.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,cb39e043-b58a-4d02-97cf-55d4479709e9,7113cb0f-29bf-4a49-bde5-68154af529bf,3627454329.0142,5715649477.1006,4141394570.2778,7272.8727,7711.6429,6768354560.2188,4480625000.0,4388017584.6052,2880776843.8671,5707908383.7511,4125488510.2392,39512.1223,63098.5306,6779469178.0822,4483225149.836,4417641262.5953,2786899489.5265,5706188796.0829,4123714255.9508,829190.9341,4585.251,6759696943.8279,4478101773.4101,4371334214.7303,3948171989.4375,5820975466.4316,4145691469.8644,365281.7361,180423311.8832,6826056896.5517,4530507399.5772,4416556464.6296,3670855342.415,5737336374.1674,4142515828.5804,9798162.5582,8864661.8024,6804725850.8078,4496705421.9601,4419622368.2745,3218333536.511,5733870197.5255,4130610424.1665,218274.8736,12446.6128,6778823730.845,4479894344.3132,4374969676.9214,2513696950.4447,5787445410.0635,4135346043.3534,18406.943,12835.5591,6788080582.9404,4476587059.6206,4370851005.2327,2116600728.0904,5752573315.9117,4141825791.2634,23752.1289,8230.9554,6782254389.7216,4471530566.208,4129850614.1995,19.304,20.5934,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-5ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:36:46.022,"{'cid': '38055d99-7d70-41fa-aee4-d02c92a7b5d4', 'uuid': '3efad397-4b6b-4a81-9e3a-449a914869bc', 'annotationId': 'cb39e043-b58a-4d02-97cf-55d4479709e9', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759361794091, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:36:34.422Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,351008.25,36.0,22.27,102496.95,0.5,465985.56,35.79,22.33,102542.25,2500.0,2501.38,22450181.0,2500.0,2500.76,22340098.0,0.14,0.15,0.0,0.07,22160328.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,cb39e043-b58a-4d02-97cf-55d4479709e9,7113cb0f-29bf-4a49-bde5-68154af529bf,3625785089.9272,5716059578.7651,4141392477.8993,7273.2277,7712.0806,6767775213.6752,4480369554.1617,4389473393.0745,2878885858.696,5707909104.0046,4125704012.5065,39515.839,63122.5963,6784116689.5134,4482718227.0466,4419365114.7249,2795790570.3691,5706187355.9908,4123499479.1667,830151.0416,4585.3559,6759696943.8279,4478354137.2494,4371334765.6035,3959840595.6426,5821405274.3701,4145039790.5759,365367.1324,180519379.5846,6824881916.9109,4530507970.9731,4415819143.0161,3662691169.6718,5737342890.2404,4142520537.9101,9796899.2928,8867162.7439,6804720694.3967,4496449838.3712,4419615127.5482,3161877270.731,5732627314.8148,4130610424.1665,219032.5763,12363.3286,6776503209.2426,4480655515.3707,4376176584.1284,2511854109.1325,5789132880.4149,4135342909.3758,18424.6915,12827.886,6785750278.5157,4476583107.4977,4370364046.9241,2116773390.443,5752571864.1115,4141826314.4128,23760.4186,8230.7369,6781676087.7013,4471531130.1602,4128125910.5099,19.2234,20.5934,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-5ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:36:47.219,"{'cid': '38055d99-7d70-41fa-aee4-d02c92a7b5d4', 'uuid': '3efad397-4b6b-4a81-9e3a-449a914869bc', 'annotationId': 'cb39e043-b58a-4d02-97cf-55d4479709e9', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759361794091, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:36:34.422Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,350945.74,36.07,22.27,102497.28,0.5,454125.88,35.9,22.33,102540.99,2500.0,2500.17,22450181.0,2500.0,2499.36,22340098.0,0.15,0.15,0.0,0.05,22160328.0
