component_sn,product_sn,event_name,annotation_id,configuration_id,CHRA1,CHRA2,CHRA3,CHRA4,CHRA5,CHRA6,CHRA7,CHRA8,CHRB1,CHRB2,CHRB3,CHRB4,CHRB5,CHRB6,CHRB7,CHRB8,CHRC1,CHRC2,CHRC3,CHRC4,CHRC5,CHRC6,CHRC7,CHRC8,CHRD1,CHRD2,CHRD3,CHRD4,CHRD5,CHRD6,CHRD7,CHRD8,CHRE1,CHRE2,CHRE3,CHRE4,CHRE5,CHRE6,CHRE7,CHRE8,CHRF1,CHRF2,CHRF3,CHRF4,CHRF5,CHRF6,CHRF7,CHRF8,CHRG1,CHRG2,CHRG3,CHRG4,CHRG5,CHRG6,CHRG7,CHRG8,CHRH1,CHRH2,CHRH3,CHRH4,CHRH5,CHRH6,CHRH7,CHRH8,BT1,BT2,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_452225,GASR0_452225,H0_452225,T0_452225,P0_452225,SETP0_453624,FLW0_453624,ANLT0_453624,FLW0_091225,SETP0_183425,FLW0_183425,ANLT0_183425,SETP0_093324,FLW0_093324,ANLT0_093324,FLW0_093125,bVOC_454524,GASR0_454524,H0_454524,T0_454524,P0_454524
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,09fa49c7-66b0-47ae-baf7-a8b98c85b720,af2543cc-bda9-48c2-99ce-ba3d90feffab,3660592284.5923,5694549112.5961,4118017268.2825,7145.1905,7596.8562,6721426024.9554,4449758684.5502,4354688031.6084,3042560703.8574,5681566420.5319,4102287564.7668,39120.4891,62310.5362,6747301465.576,4452331966.983,4388965212.1011,3038039208.1639,5679040487.2805,4100737556.3267,793731.7096,4552.8332,6714020688.4857,4448014136.6543,4353730729.1381,4033188295.1654,5793108918.1287,4121808100.7913,340084.1607,175719359.6962,6781186092.3182,4500712380.0874,4386154653.9907,3680772590.0116,5709759348.6562,4118157511.444,9543710.932,8639426.5865,6762955244.2774,4480439082.2785,4389622725.0097,3465840405.9848,5707279994.2388,4108416273.1566,214687.0381,9629.5967,6740912573.423,4448533438.061,4397184019.5046,2736017696.0564,5760785054.8812,4112890909.0909,18124.9582,9539.3852,6751819577.0805,4446023886.9575,4395466378.6419,2162131667.4413,5722506318.1457,4116952316.5722,23394.611,7973.3309,6731150969.0581,4444031498.7109,4144106648.5611,21.9634,23.2527,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-10ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 06:35:05.178,"{'cid': '41c7a07e-366f-4a3e-a91f-bb31bca44389', 'uuid': '2aa41372-d4f4-4056-a9f9-a544eee1e07c', 'annotationId': '09fa49c7-66b0-47ae-baf7-a8b98c85b720', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759386903255, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T06:35:03.563Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,487099.51,30.97,24.93,102807.5,2500.0,2497.64,22340098.0,0.15,0.0,0.06,22160328.0,2500.0,2497.46,22450181.0,0.14,0.5,324002.43,31.67,24.92,102757.89
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,09fa49c7-66b0-47ae-baf7-a8b98c85b720,af2543cc-bda9-48c2-99ce-ba3d90feffab,3661104334.165,5694145710.5906,4118231989.5969,7146.8837,7597.0105,6721423478.4823,4449509539.8429,4352537845.5463,3036941248.6578,5681975910.5248,4102287046.6321,39113.7064,62401.2408,6746149258.8175,4452330282.4415,4387747981.8644,3028483249.1969,5679040487.2805,4100313325.3923,795661.2214,4552.5349,6714589163.0628,4448016380.5677,4351341777.7047,4035044040.5275,5793955987.7175,4122022700.0573,341163.5033,175781362.2,6780600274.0195,4500708974.2862,4386392681.4438,3681791904.8283,5710175817.8412,4118164273.8244,9541850.0165,8641927.7635,6761213389.1213,4479177447.6018,4390105117.5657,3470708840.7956,5705634269.2585,4109055947.6853,213982.1608,9629.429,6743783001.1923,4448532877.0197,4397180694.8523,2715015091.2334,5761203111.3696,4113317747.2984,18121.4624,9592.3639,6754118048.4476,4445774600.5046,4394978400.5317,2160056265.7052,5722093140.7942,4116737728.7854,23392.5601,7973.2586,6730573735.6566,4443782996.1329,4146278936.0924,22.044,23.2527,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-10ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 06:35:06.379,"{'cid': '41c7a07e-366f-4a3e-a91f-bb31bca44389', 'uuid': '2aa41372-d4f4-4056-a9f9-a544eee1e07c', 'annotationId': '09fa49c7-66b0-47ae-baf7-a8b98c85b720', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759386903255, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T06:35:03.563Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,533899.6,31.13,24.93,102806.9,2500.0,2499.46,22340098.0,0.15,0.0,0.05,22160328.0,2500.0,2499.5,22450181.0,0.15,0.5,339837.89,31.79,24.92,102761.14
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,09fa49c7-66b0-47ae-baf7-a8b98c85b720,af2543cc-bda9-48c2-99ce-ba3d90feffab,3661959144.0588,5693326149.4253,4118017788.4115,7147.0552,7596.9851,6721423478.4823,4449008528.7846,4354927011.305,3030176398.5613,5681566420.5319,4102498056.8941,39115.0521,62196.159,6743850281.0424,4451829206.67,4389930298.1689,3016329181.4269,5679446753.619,4100524652.9936,796405.1181,4552.7177,6714015601.1531,4447764626.6899,4350148558.2721,4036904034.2298,5794376690.7948,4121593523.869,341489.3528,175829010.8769,6781178384.8591,4500963896.4578,4386636263.1288,3690557108.2541,5709352305.4755,4118165834.3737,9540178.1168,8643308.7578,6761206557.937,4477654599.8758,4389857269.3074,3474215234.8375,5712212051.319,4109055947.6853,215395.076,9635.3633,6742053639.8467,4448279382.8892,4397179586.6349,2701064628.4037,5754086981.7759,4112886233.7662,18123.6604,9609.4104,6750653878.9429,4445521417.3582,4394731683.0038,2163975811.3063,5729126003.0362,4116523163.3131,23397.1503,7973.606,6731142468.5481,4444281710.6664,4142159114.6377,21.9634,23.1722,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-10ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 06:35:07.570,"{'cid': '41c7a07e-366f-4a3e-a91f-bb31bca44389', 'uuid': '2aa41372-d4f4-4056-a9f9-a544eee1e07c', 'annotationId': '09fa49c7-66b0-47ae-baf7-a8b98c85b720', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759386903255, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T06:35:03.563Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,566519.12,31.28,24.94,102807.15,2500.0,2498.39,22340098.0,0.14,0.0,0.06,22160328.0,2500.0,2498.64,22450181.0,0.15,0.5,355740.07,31.9,24.92,102762.56
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,09fa49c7-66b0-47ae-baf7-a8b98c85b720,af2543cc-bda9-48c2-99ce-ba3d90feffab,3658401976.1751,5693324712.6437,4118015187.7666,7148.0529,7597.126,6720280064.4997,4449011334.3059,4352542233.4357,3022166164.1797,5681156272.4014,4102281865.285,39109.152,62073.8021,6748447247.3155,4452081976.4177,4390903557.7934,3058524254.596,5678631413.0123,4100947891.8471,797000.4811,4552.836,6714014753.2644,4448261991.5849,4351580938.8024,4036494346.5417,5793950870.0102,4121806538.9421,341743.2527,175911640.1002,6780017980.9915,4500965599.455,4386397656.2932,3692102148.2828,5708941718.8963,4118592758.2978,9538272.3817,8645127.475,6761204850.1409,4476137864.845,4390346907.1595,3475895928.3959,5709739913.5447,4109053352.7092,215114.4335,9597.5316,6739186382.9787,4448780788.8683,4397427130.6661,2683693846.4146,5754502613.9994,4112883116.8831,18126.4046,9600.0755,6748349241.5204,4445520856.6943,4394488869.1992,2161836148.9257,5728299241.0553,4116949716.6034,23397.2939,7974.0923,6731714698.6313,4444032059.1862,4136316008.9663,21.9634,23.1722,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-10ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 06:35:08.771,"{'cid': '41c7a07e-366f-4a3e-a91f-bb31bca44389', 'uuid': '2aa41372-d4f4-4056-a9f9-a544eee1e07c', 'annotationId': '09fa49c7-66b0-47ae-baf7-a8b98c85b720', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759386903255, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T06:35:03.563Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,577214.71,31.44,24.93,102805.71,2500.0,2498.02,22340098.0,0.14,0.0,0.05,22160328.0,2500.0,2497.42,22450181.0,0.15,0.5,367637.52,32.01,24.93,102762.37
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,09fa49c7-66b0-47ae-baf7-a8b98c85b720,af2543cc-bda9-48c2-99ce-ba3d90feffab,3659081463.0091,5693735900.5676,4118019348.7985,7148.1136,7597.0637,6721995755.5178,4449014139.8272,4354695165.4503,3015237787.0007,5681567854.3265,4102497020.571,39109.4405,62382.0978,6745575432.3196,4452083660.8647,4388963552.9008,3049662648.7465,5678635712.2385,4100739110.1673,797858.522,4552.8671,6714589163.0628,4448015258.611,4352300773.3231,4037312277.1268,5794805498.6838,4121597167.9942,342293.0947,175937444.4018,6779443493.1507,4500969573.1153,4386161286.7566,3724123149.2362,5708950363.8066,4118812756.8805,9536201.5459,8646878.3451,6760626707.6503,4475125021.1661,4390102904.5643,3482177047.1628,5708503925.6645,4108842181.7427,213969.5766,9626.1815,6735745151.412,4449778326.5054,4397427684.8055,2751671938.545,5756589670.9523,4112885194.8052,18125.299,9632.9371,6743750638.7328,4445521978.022,4394732790.6075,2157986192.5942,5727060268.825,4116951796.5784,23397.1382,7974.6847,6736868300.1531,4444530829.5964,4135457340.9079,22.044,23.2527,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-10ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 06:35:09.974,"{'cid': '41c7a07e-366f-4a3e-a91f-bb31bca44389', 'uuid': '2aa41372-d4f4-4056-a9f9-a544eee1e07c', 'annotationId': '09fa49c7-66b0-47ae-baf7-a8b98c85b720', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759386903255, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T06:35:03.563Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,573673.6,31.54,24.95,102807.1,2500.0,2499.41,22340098.0,0.16,0.0,0.08,22160328.0,2500.0,2499.86,22450181.0,0.14,0.5,379480.44,32.1,24.92,102761.28
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,09fa49c7-66b0-47ae-baf7-a8b98c85b720,af2543cc-bda9-48c2-99ce-ba3d90feffab,3658743997.0447,5693325431.0345,4118448813.9825,7149.155,7597.2014,6721427722.6042,4449265473.318,4356611583.8595,2999538257.5758,5681570721.9155,4102499611.3788,39108.0661,62296.3429,6744428072.5662,4451831452.4732,4387751299.3476,3030117471.4931,5679044786.8148,4100953589.5577,799058.7055,4552.8172,6712880637.5042,4447765187.6367,4354690775.3937,4038341401.2739,5794804767.4759,4121814868.8047,342722.4332,176035034.7935,6780019693.4669,4501225092.2509,4386161839.4871,3754026343.2199,5708948922.9883,4119242936.6772,9533999.2279,8648449.2878,6760618169.3989,4476633730.45,4389369399.2698,3477578245.0288,5707272072.5911,4108629475.8692,214046.7213,9612.7575,6732879006.8872,4449280062.8472,4396942043.4397,2732036583.2614,5757845103.1677,4112458445.8758,18135.0002,9589.4834,6740305583.9292,4446019961.8706,4394975077.5366,2154976292.986,5726646433.9909,4116953356.5597,23396.6807,7974.6945,6735149272.7737,4444532511.2108,4152808918.1975,21.9634,23.0916,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-10ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 06:35:11.172,"{'cid': '41c7a07e-366f-4a3e-a91f-bb31bca44389', 'uuid': '2aa41372-d4f4-4056-a9f9-a544eee1e07c', 'annotationId': '09fa49c7-66b0-47ae-baf7-a8b98c85b720', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759386903255, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T06:35:03.563Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,564479.85,31.68,24.94,102805.2,2500.0,2500.34,22340098.0,0.16,0.0,0.07,22160328.0,2500.0,2498.66,22450181.0,0.14,0.5,382830.86,32.21,24.93,102762.5
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,09fa49c7-66b0-47ae-baf7-a8b98c85b720,af2543cc-bda9-48c2-99ce-ba3d90feffab,3656037283.1303,5692917893.8295,4118235630.6892,7149.854,7597.4147,6720858088.6097,4449515712.6824,4354220576.1317,2996685335.8562,5681570005.0183,4102285492.228,39108.7851,62184.1218,6742129416.7731,4451832575.3748,4387024158.3283,3013226407.9148,5679044786.8148,4101164465.1645,800065.57,4552.8172,6712878094.2692,4447766870.4774,4352301321.7792,4039577960.1407,5795651601.5796,4122026344.5619,343052.3854,176121584.3505,6785248500.4284,4501736785.329,4386406500.4698,3780422730.0921,5709366714.6974,4119248139.8616,9531844.6265,8649741.3399,6761200580.6507,4478412788.0705,4388888274.3363,3479258234.5191,5705219206.6806,4109052833.7139,215049.8856,9582.4756,6731162869.7722,4448783594.2322,4396455401.662,2711375920.5343,5759519622.093,4112456368.1695,18147.642,9637.8037,6744323311.4726,4446023326.2308,4395220160.6203,2163383028.7778,5725406010.6921,4117165366.6147,23397.1459,7975.0366,6734002891.4023,4444282831.6798,4144545834.4215,22.1245,23.3333,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-10ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 06:35:12.378,"{'cid': '41c7a07e-366f-4a3e-a91f-bb31bca44389', 'uuid': '2aa41372-d4f4-4056-a9f9-a544eee1e07c', 'annotationId': '09fa49c7-66b0-47ae-baf7-a8b98c85b720', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759386903255, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T06:35:03.563Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,554883.59,31.83,24.94,102805.84,2500.0,2498.43,22340098.0,0.15,0.0,0.06,22160328.0,2500.0,2498.75,22450181.0,0.14,0.5,385159.36,32.33,24.92,102762.11
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,09fa49c7-66b0-47ae-baf7-a8b98c85b720,af2543cc-bda9-48c2-99ce-ba3d90feffab,3657223632.5871,5692509696.8826,4118451935.0811,7148.6917,7597.5826,6720285156.5815,4449014700.9314,4351594099.5832,2981403990.9639,5681567137.4292,4102072431.4802,39105.4883,62014.1156,6739829772.7466,4452080291.9708,4388720827.3421,3001318223.1656,5678637861.8515,4101163947.1639,800411.5795,4552.75,6712305670.9333,4447513461.9699,4350151847.3852,4040194229.2007,5795225594.1499,4122237842.3409,343100.0319,176177792.8836,6788737997.2565,4501733378.7543,4386164603.1395,3785680840.8982,5708958288.3078,4119249180.4985,9529763.9023,8651402.3888,6762350328.8069,4479925980.3368,4388639455.7823,3475434086.4225,5703985893.1913,4109265583.6404,215635.4651,9639.1559,6730017848.0367,4448532315.9785,4396453185.5956,2696175278.4495,5761194387.9035,4112456368.1695,18137.3871,9656.4447,6742023839.9319,4445772357.7236,4395217391.3043,2165589145.3764,5724988803.0051,4117165366.6147,23393.8404,7975.118,6733432823.1293,4444283392.1865,4133296869.3025,22.1245,23.2527,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-10ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 06:35:13.577,"{'cid': '41c7a07e-366f-4a3e-a91f-bb31bca44389', 'uuid': '2aa41372-d4f4-4056-a9f9-a544eee1e07c', 'annotationId': '09fa49c7-66b0-47ae-baf7-a8b98c85b720', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759386903255, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T06:35:03.563Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,545366.58,31.99,24.94,102806.52,2500.0,2498.92,22340098.0,0.15,0.0,0.06,22160328.0,2500.0,2500.19,22450181.0,0.14,0.5,384674.48,32.42,24.92,102761.93
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,09fa49c7-66b0-47ae-baf7-a8b98c85b720,af2543cc-bda9-48c2-99ce-ba3d90feffab,3654519164.2452,5692506823.7322,4118451414.898,7148.9875,7597.8392,6720852147.3434,4449013578.7229,4353025781.6786,2974547537.6582,5681975910.5248,4102075022.0196,39108.8065,61988.6234,6744421258.8366,4452079730.4885,4387265590.4467,2992551679.8307,5679453203.3825,4101378470.7833,800864.6665,4552.9526,6711736735.0398,4447516266.547,4348723695.7475,4040602630.7739,5794804036.2679,4122453527.7272,343133.3311,176148994.8112,6787576718.6696,4501480640.3997,4385924943.3483,3809223595.0195,5709783846.0984,4119040582.7263,9527775.9,8652614.8005,6761777967.5491,4480938171.1315,4389127717.241,3484324229.2299,5710972112.128,4109053352.7092,214013.5682,9598.5786,6730018697.9432,4448284431.9776,4396696769.9042,2674499594.5398,5754079721.1936,4112027630.6222,18139.9463,9667.2801,6741449855.2699,4446021083.324,4395460839.7031,2167257679.9759,5724986635.8448,4116950236.5972,23397.9054,7975.0826,6732858600.4591,4444282271.1731,4135664025.8522,21.9634,23.3333,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-10ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 06:35:14.778,"{'cid': '41c7a07e-366f-4a3e-a91f-bb31bca44389', 'uuid': '2aa41372-d4f4-4056-a9f9-a544eee1e07c', 'annotationId': '09fa49c7-66b0-47ae-baf7-a8b98c85b720', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759386903255, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T06:35:03.563Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,533781.75,32.11,24.94,102804.83,2500.0,2500.0,22340098.0,0.15,0.0,0.08,22160328.0,2500.0,2499.51,22450181.0,0.14,0.5,383341.42,32.53,24.93,102761.62
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,09fa49c7-66b0-47ae-baf7-a8b98c85b720,af2543cc-bda9-48c2-99ce-ba3d90feffab,3653331335.3006,5692505387.157,4118664100.2965,7149.5477,7597.9973,6721425176.1311,4449514029.1807,4350400745.5732,3024468930.2219,5682786462.068,4101859910.8901,39105.9891,62101.2356,6742122605.364,4453329401.8534,4386050958.9344,2970697430.1257,5680270928.8991,4101167055.1671,801043.7912,4552.7161,6710606779.661,4447022994.9523,4346820771.2533,4041221763.2961,5794803305.06,4122451965.6339,343182.8834,176208064.7052,6788742283.9506,4501481775.8601,4386169024.9834,3794960965.5635,5709790330.7155,4119256985.275,9525771.5589,8654029.4622,6762363139.4654,4482208151.9588,4388649410.9839,3417697053.3673,5709737752.1614,4108840624.8378,214314.0849,9646.0549,6727732370.4333,4449532547.6992,4396696215.8568,2665193104.1449,5757010024.6985,4111817709.6858,18143.699,9601.5003,6739160000.0,4446773035.7243,4394975631.3691,2167498835.2016,5724573100.26,4116732009.1514,23395.2813,7975.2373,6732862851.7983,4444531950.6726,4133943940.8148,21.9634,23.3333,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-10ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 06:35:15.977,"{'cid': '41c7a07e-366f-4a3e-a91f-bb31bca44389', 'uuid': '2aa41372-d4f4-4056-a9f9-a544eee1e07c', 'annotationId': '09fa49c7-66b0-47ae-baf7-a8b98c85b720', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759386903255, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T06:35:03.563Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,524851.43,32.22,24.94,102805.6,2500.0,2497.38,22340098.0,0.13,0.0,0.07,22160328.0,2500.0,2499.99,22450181.0,0.14,0.5,381980.58,32.63,24.93,102761.76
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,09fa49c7-66b0-47ae-baf7-a8b98c85b720,af2543cc-bda9-48c2-99ce-ba3d90feffab,3654345540.0793,5692915738.8119,4118236671.0013,7149.2112,7597.6589,6721996604.4143,4449513468.0135,4353025233.1322,3019380409.5017,5682382591.2383,4101861465.1331,39107.7197,62034.5815,6740981527.1984,4454332340.8797,4385082610.3774,2962999176.7699,5680273795.8716,4101383651.0568,801663.3747,4552.6614,6711174675.82,4447271860.4521,4345153589.2241,4041843125.255,5795650138.9498,4122023220.7008,343169.3648,176268655.6664,6787577575.8615,4500972411.4441,4386170130.4444,3785510009.0774,5710619730.4893,4119263749.4146,9524446.6772,8654943.2102,6762365701.5971,4480184777.0809,4389136014.1601,3429270594.3466,5708510408.4132,4108631551.6347,214202.4237,9627.4327,6727160818.9619,4449283990.7974,4396939827.1277,2653805739.9584,5758265639.7588,4112245883.7584,18147.5946,9617.7523,6742603031.3351,4446524226.1104,4395219606.7571,2160833356.1026,5724984468.6845,4116516404.0971,23394.7324,7975.1275,6731715548.7546,4444281710.6664,4133294264.7289,21.9634,23.3333,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-10ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 06:35:17.174,"{'cid': '41c7a07e-366f-4a3e-a91f-bb31bca44389', 'uuid': '2aa41372-d4f4-4056-a9f9-a544eee1e07c', 'annotationId': '09fa49c7-66b0-47ae-baf7-a8b98c85b720', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759386903255, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T06:35:03.563Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,514578.08,32.34,24.94,102806.49,2500.0,2498.91,22340098.0,0.16,0.0,0.08,22160328.0,2500.0,2498.98,22450181.0,0.15,0.5,379999.36,32.71,24.92,102761.04
