component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_094324,FLW0_094324,ANLT0_094324,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,34c4fa12-891d-4ab3-99b0-a92fb7b03b42,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1248.5057373046875,490275.34375,199726.921875,8130.0390625,7130.49951171875,25992.1640625,184110.3125,179685.265625,235183.078125,69994.2734375,128632.09375,18632.650390625,278500.5,5740.5341796875,19354.38671875,37216.11328125,257855.171875,52451.3828125,187076.0625,20167.01171875,6901.22998046875,13222.193359375,27214.837890625,45670.84375,2933986.25,362585.96875,1160868.875,3606743.25,11164346,5581.18701171875,71530.90625,126902944,54647284,21082.19921875,86110.9765625,202555.390625,671488.0625,4352.76611328125,2827072.5,1134372.125,63087.83984375,491427.375,21281.60546875,823411.875,699.96044921875,443745.71875,445933.71875,239154.140625,950950.125,70038.1015625,77530.15625,17348.51171875,4162.18359375,277238.96875,14992.998046875,144164.984375,32670.05078125,404432.90625,1100063.375,58560.07421875,7259.32666015625,122595.3125,13579.3857421875,610454.6875,6290,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199541895,24484,0,38.195289611816406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:10:49.446,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '384d3d56-dd43-4db6-b859-027100f076b1', 'annotationId': '34c4fa12-891d-4ab3-99b0-a92fb7b03b42', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785048895, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:10:49.125Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,33.37,30.0,29.52,22040109.0,1800.0,1800.96,22340093.0,2200.0,2201.28,24020116.0,1370.0,1368.88,22450138.0,1600.0,1596.96,21470060.0,0.0,456226.34,23.65,32.6,1009.62
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,34c4fa12-891d-4ab3-99b0-a92fb7b03b42,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1249.1265869140625,490001.96875,199741.328125,8129.56396484375,7130.8095703125,25994.73046875,184133.90625,179687.28125,235240.0,70052.859375,128632.59375,18632.86328125,278290.625,5738.78564453125,19353.326171875,37212.359375,257639.3125,52446.2109375,186293.703125,20160.51953125,6901.166015625,13219.77734375,27213.0078125,45676.05078125,2937855.0,363103.875,1159716.75,3607429.0,11173679,5580.56884765625,71867.1640625,127704208,54494244,21083.75,86114.8515625,202543.0,671440.3125,4350.78515625,2829248.5,1133372.25,63093.859375,491994.71875,21280.34765625,823746.625,700.5769653320312,444038.4375,445933.78125,239194.4375,951038.5625,70039.9609375,77510.21875,17354.232421875,4162.96875,277472.40625,14958.6796875,144002.6875,32670.44140625,404562.125,1099788.375,58552.84765625,7259.38330078125,122700.0,13575.0615234375,610313.0625,6591,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199541895,24484,0,38.195289611816406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:10:49.747,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '384d3d56-dd43-4db6-b859-027100f076b1', 'annotationId': '34c4fa12-891d-4ab3-99b0-a92fb7b03b42', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785048895, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:10:49.125Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,33.36,30.0,29.52,22040109.0,1800.0,1800.96,22340093.0,2200.0,2201.28,24020116.0,1370.0,1368.88,22450138.0,1600.0,1596.96,21470060.0,0.0,456226.34,23.65,32.6,1009.62
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,34c4fa12-891d-4ab3-99b0-a92fb7b03b42,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1248.2537841796875,490111.78125,199756.53125,8130.1005859375,7130.265625,25993.896484375,184223.859375,179706.59375,235273.59375,70061.5625,128627.7421875,18632.97265625,279166.71875,5756.2802734375,19354.06640625,37205.43359375,257747.671875,52449.203125,188093.265625,20171.927734375,6901.1064453125,13221.4609375,27210.0,45669.35546875,2939925.0,358833.375,1162389.375,3608148.0,11178644,5581.59765625,70889.5625,128225544,54259364,21076.369140625,86132.2734375,202578.59375,671376.3125,4351.11328125,2829251.5,1132861.5,63096.6015625,491982.78125,21281.541015625,824007.75,701.3856811523438,443974.625,445655.0,239233.109375,951878.25,70044.15625,77545.625,17348.19140625,4163.2333984375,276391.375,14978.560546875,144651.8125,32668.23828125,404715.625,1099649.5,58564.3515625,7258.72705078125,122689.3046875,13570.0009765625,609822.3125,6892,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199541895,24484,0,38.195289611816406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:10:50.046,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '384d3d56-dd43-4db6-b859-027100f076b1', 'annotationId': '34c4fa12-891d-4ab3-99b0-a92fb7b03b42', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785048895, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:10:49.125Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,33.35,30.0,29.62,22040109.0,1800.0,1800.87,22340093.0,2200.0,2201.32,24020116.0,1370.0,1368.9,22450138.0,1600.0,1597.22,21470060.0,0.0,456086.69,23.65,32.6,1009.62
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,34c4fa12-891d-4ab3-99b0-a92fb7b03b42,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1248.4244384765625,490157.5625,199764.515625,8130.42529296875,7130.5078125,25992.318359375,184171.40625,179699.15625,235242.578125,70138.484375,128615.1796875,18632.845703125,279305.1875,5739.77783203125,19351.640625,37195.24609375,257581.40625,52447.875,188111.359375,20169.171875,6900.501953125,13235.0693359375,27207.791015625,45672.08984375,2937924.5,357097.375,1162866.5,3607787.25,11179489,5580.1845703125,70286.5703125,128387344,53938316,21078.29296875,86107.703125,202569.75,671361.875,4351.70703125,2829036.75,1132997.625,63101.25,492096.9375,21280.205078125,825136.25,700.8734130859375,444014.15625,445755.46875,239248.84375,952838.3125,70028.65625,77543.6015625,17348.41015625,4165.93798828125,277000.4375,14965.82421875,144507.6875,32672.90625,404763.09375,1099951.5,58580.4453125,7258.68359375,122679.53125,13565.4404296875,609818.25,7193,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199541895,24484,0,38.195289611816406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:10:50.348,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '384d3d56-dd43-4db6-b859-027100f076b1', 'annotationId': '34c4fa12-891d-4ab3-99b0-a92fb7b03b42', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785048895, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:10:49.125Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,33.35,30.0,29.75,22040109.0,1800.0,1800.75,22340093.0,2200.0,2201.36,24020116.0,1370.0,1368.92,22450138.0,1600.0,1597.58,21470060.0,0.0,455848.41,23.64,32.6,1009.62
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,34c4fa12-891d-4ab3-99b0-a92fb7b03b42,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1248.989013671875,490276.0625,199770.9375,8130.0556640625,7130.79052734375,25990.96875,184123.375,179687.578125,234900.015625,69958.3671875,128596.2578125,18631.828125,279130.59375,5746.91259765625,19351.630859375,37195.82421875,256814.09375,52427.5703125,187071.796875,20173.427734375,6900.59912109375,13228.7216796875,27205.994140625,45671.15234375,2933878.25,357120.09375,1164031.375,3606284.0,11175555,5581.2265625,71304.703125,128148032,53662052,21078.162109375,86125.3203125,202562.40625,671324.9375,4351.17724609375,2825842.0,1134660.125,63104.03515625,492183.625,21278.75,825078.25,700.8679809570312,443938.96875,446135.34375,239232.390625,954013.5,70054.34375,77530.7265625,17352.236328125,4161.35498046875,277163.78125,14979.3388671875,144205.390625,32671.517578125,404812.53125,1100082.0,58569.8828125,7258.56201171875,122790.1796875,13576.3408203125,609845.4375,7494,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199541895,24484,0,38.195289611816406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:10:50.648,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '384d3d56-dd43-4db6-b859-027100f076b1', 'annotationId': '34c4fa12-891d-4ab3-99b0-a92fb7b03b42', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785048895, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:10:49.125Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,33.34,30.0,29.88,22040109.0,1800.0,1800.63,22340093.0,2200.0,2201.41,24020116.0,1370.0,1368.95,22450138.0,1600.0,1597.94,21470060.0,0.0,455611.71,23.64,32.61,1009.63
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,34c4fa12-891d-4ab3-99b0-a92fb7b03b42,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1247.9327392578125,490563.3125,199718.796875,8129.853515625,7131.1875,25990.056640625,184076.9375,179673.625,234847.234375,69983.6171875,128589.8125,18632.08984375,278363.625,5743.36328125,19351.728515625,37200.53515625,256978.203125,52438.34375,186920.609375,20166.033203125,6900.33837890625,13220.1845703125,27204.68359375,45663.84765625,2930861.5,358098.59375,1162010.75,3605165.25,11167815,5581.25634765625,71231.09375,127622080,53458064,21083.73828125,86138.9609375,202611.609375,671346.3125,4352.9755859375,2821820.75,1133580.75,63099.25390625,491942.25,21278.970703125,824281.5625,700.031982421875,444286.25,445883.0,239207.5,954641.625,70036.0625,77541.078125,17349.10546875,4165.3544921875,277261.6875,14921.4912109375,143699.734375,32668.9609375,404711.6875,1100715.625,58564.97265625,7258.4609375,122888.5390625,13572.791015625,610538.6875,7795,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199546912,24484,0,36.68587112426758,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:10:50.950,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '384d3d56-dd43-4db6-b859-027100f076b1', 'annotationId': '34c4fa12-891d-4ab3-99b0-a92fb7b03b42', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785048895, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:10:49.125Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,33.35,30.0,29.97,22040109.0,1800.0,1800.6,22340093.0,2200.0,2201.35,24020116.0,1370.0,1368.83,22450138.0,1600.0,1598.3,21470060.0,0.0,455373.43,23.63,32.61,1009.63
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,34c4fa12-891d-4ab3-99b0-a92fb7b03b42,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1248.011962890625,490089.65625,199668.5,8129.6943359375,7131.06201171875,25988.29296875,184069.703125,179660.328125,235275.109375,69957.5390625,128575.7890625,18632.939453125,277928.03125,5745.88818359375,19351.302734375,37194.0546875,256856.375,52435.25390625,187602.078125,20158.326171875,6900.36181640625,13233.505859375,27202.818359375,45666.953125,2928476.75,358405.71875,1164738.75,3603734.0,11154958,5581.443359375,71432.8515625,126763888,53368540,21075.64453125,86131.46875,202633.0,671525.6875,4351.84521484375,2819099.5,1133618.875,63102.6015625,492314.09375,21280.751953125,824500.3125,700.31201171875,444243.375,446286.78125,239173.953125,955144.5,70033.8671875,77534.7109375,17347.857421875,4159.00244140625,277262.4375,14940.01953125,143624.96875,32672.330078125,404623.875,1101803.625,58577.8828125,7259.06494140625,122674.6640625,13571.36328125,610579.4375,8096,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199546912,24484,0,36.68587112426758,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:10:51.251,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '384d3d56-dd43-4db6-b859-027100f076b1', 'annotationId': '34c4fa12-891d-4ab3-99b0-a92fb7b03b42', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785048895, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:10:49.125Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,33.35,30.0,30.0,22040109.0,1800.0,1800.69,22340093.0,2200.0,2201.14,24020116.0,1370.0,1368.49,22450138.0,1600.0,1598.66,21470060.0,0.0,455136.81,23.63,32.61,1009.59
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,34c4fa12-891d-4ab3-99b0-a92fb7b03b42,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1247.556396484375,490182.21875,199667.78125,8129.75830078125,7131.169921875,25987.494140625,184062.09375,179590.671875,235600.203125,69950.9921875,128575.4921875,18631.29296875,277979.34375,5751.10986328125,19351.001953125,37188.953125,256979.109375,52426.08203125,186509.28125,20145.548828125,6900.70703125,13236.171875,27204.1328125,45673.4375,2926150.0,357620.6875,1163765.75,3601612.5,11141299,5581.8486328125,72469.2421875,125878760,53387512,21078.9375,86142.9375,202636.34375,671703.5625,4351.83251953125,2815889.5,1131284.125,63092.75,491689.15625,21282.1171875,824192.875,700.9618530273438,443934.875,446062.71875,239128.6875,955486.0,70017.65625,77490.625,17353.748046875,4167.5087890625,277336.96875,14936.49609375,144774.171875,32676.490234375,404946.8125,1102216.25,58575.07421875,7259.38916015625,122728.671875,13578.025390625,611578.6875,8397,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199546912,24484,0,36.68587112426758,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:10:51.555,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '384d3d56-dd43-4db6-b859-027100f076b1', 'annotationId': '34c4fa12-891d-4ab3-99b0-a92fb7b03b42', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785048895, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:10:49.125Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,33.36,30.0,30.02,22040109.0,1800.0,1800.79,22340093.0,2200.0,2200.92,24020116.0,1370.0,1368.16,22450138.0,1600.0,1599.02,21470060.0,0.0,454898.12,23.62,32.61,1009.53
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,34c4fa12-891d-4ab3-99b0-a92fb7b03b42,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1249.1689453125,490179.78125,199638.640625,8129.19482421875,7131.1396484375,25988.974609375,184043.78125,179579.453125,234774.5,69912.6171875,128572.1640625,18632.48046875,277864.3125,5722.2314453125,19349.35546875,37188.04296875,256985.28125,52439.48046875,186085.171875,20157.375,6900.3916015625,13233.68359375,27203.30078125,45668.12109375,2925426.0,357002.5,1164265.5,3599637.75,11129692,5581.49755859375,71820.078125,125138072,53453316,21089.421875,86141.1484375,202609.4375,671822.75,4351.6171875,2813025.0,1135515.75,63085.37890625,491878.5625,21277.240234375,824088.0625,700.3477783203125,444009.0625,445623.875,239084.453125,956016.3125,69998.75,77549.4140625,17347.85546875,4170.1494140625,277536.71875,14978.822265625,145037.0625,32675.529296875,404720.53125,1102806.75,58577.49609375,7259.0458984375,122655.1640625,13579.1435546875,611910.3125,8698,34.131874084472656,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199546912,24484,0,36.68587112426758,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:10:51.857,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '384d3d56-dd43-4db6-b859-027100f076b1', 'annotationId': '34c4fa12-891d-4ab3-99b0-a92fb7b03b42', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785048895, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:10:49.125Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,33.35,30.0,30.04,22040109.0,1800.0,1800.89,22340093.0,2200.0,2200.71,24020116.0,1370.0,1367.88,22450138.0,1600.0,1599.36,21470060.0,0.0,454661.0,23.62,32.6,1009.48
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,34c4fa12-891d-4ab3-99b0-a92fb7b03b42,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1249.5072021484375,490227.75,199608.890625,8128.7587890625,7131.66943359375,25987.615234375,184104.484375,179578.25,235192.890625,69972.71875,128581.3125,18632.591796875,278001.375,5727.9091796875,19346.818359375,37196.65234375,256562.09375,52434.73828125,186645.078125,20161.62890625,6900.646484375,13234.814453125,27206.021484375,45677.890625,2925071.5,361861.8125,1164383.125,3598527.25,11121074,5581.3662109375,72882.375,124658248,53687028,21085.0546875,86119.65625,202611.5,671914.5,4353.0009765625,2813413.25,1139857.75,63077.30078125,491802.46875,21277.08203125,824200.0625,700.8372192382812,443442.5,445626.15625,239072.078125,955440.8125,69991.0390625,77557.1796875,17348.1640625,4167.33984375,277609.9375,14986.966796875,144830.234375,32670.935546875,404733.1875,1102985.5,58574.23046875,7259.0302734375,122653.5,13572.048828125,612354.125,8999,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199546912,24484,0,36.68587112426758,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:10:52.154,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '384d3d56-dd43-4db6-b859-027100f076b1', 'annotationId': '34c4fa12-891d-4ab3-99b0-a92fb7b03b42', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785048895, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:10:49.125Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,33.35,30.0,30.03,22040109.0,1800.0,1801.03,22340093.0,2200.0,2200.5,24020116.0,1370.0,1368.61,22450138.0,1600.0,1599.41,21470060.0,0.0,454427.8,23.61,32.6,1009.43
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,34c4fa12-891d-4ab3-99b0-a92fb7b03b42,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1248.923095703125,490149.21875,199616.359375,8129.19384765625,7131.25390625,25986.138671875,184091.375,179582.921875,235381.203125,69913.7578125,128612.171875,18632.970703125,277219.84375,5739.46240234375,19350.271484375,37191.70703125,256920.890625,52426.58984375,186623.78125,20158.677734375,6900.3642578125,13229.6943359375,27206.892578125,45686.96484375,2926302.75,358616.9375,1164654.625,3599608.25,11119214,5581.71875,73501.4765625,124540576,53964516,21085.287109375,86133.3984375,202575.84375,671925.9375,4351.65625,2815460.75,1139426.5,63080.6796875,492015.28125,21279.76171875,823699.5625,700.5526733398438,443405.0625,446027.46875,239059.96875,954459.25,69987.5390625,77576.3671875,17347.94140625,4171.75634765625,277810.96875,14965.388671875,144963.09375,32667.28125,404681.40625,1103100.125,58569.84765625,7258.83349609375,122730.4375,13580.94921875,611677.1875,9300,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199546912,24484,0,36.68587112426758,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:10:52.456,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '384d3d56-dd43-4db6-b859-027100f076b1', 'annotationId': '34c4fa12-891d-4ab3-99b0-a92fb7b03b42', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785048895, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:10:49.125Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.84,33.34,30.0,30.02,22040109.0,1800.0,1801.17,22340093.0,2200.0,2200.28,24020116.0,1370.0,1369.36,22450138.0,1600.0,1599.46,21470060.0,0.0,454051.42,23.61,32.6,1009.42
