component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_094324,FLW0_094324,ANLT0_094324,T0_183225,H0_183225
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6a64425b-f356-4c4e-8e41-f2b973615291,c76af073-c984-44da-8d5b-c8d23de2c7e6,1246.7001953125,490648.1875,200007.21875,8132.48388671875,7132.85400390625,26000.83984375,184434.390625,179997.984375,235894.578125,70256.3828125,129150.3203125,18636.408203125,277344.4375,5726.63427734375,19413.78515625,37206.90625,257355.671875,52583.9609375,192613.234375,20282.40234375,6901.08837890625,13229.931640625,27421.16796875,45706.0625,2940099.5,356346.3125,1123841.125,3621035.25,11204426,5587.02783203125,70870.7421875,128360072,53027584,21106.681640625,86163.4765625,202365.6875,670976.625,4360.240234375,2836883.75,1134118.125,63146.80078125,493043.46875,21312.0625,827805.25,702.2100219726562,447080.84375,445602.5625,239543.0625,954522.125,70115.4140625,77679.5625,17362.234375,4165.90625,277807.5625,15056.8876953125,144409.328125,32917.6171875,404574.96875,1099245.625,58562.43359375,7260.4765625,122940.4296875,13572.3857421875,605822.0,6241,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200590413,24484,0,37.319095611572266,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:28:19.496,"{'cid': 'd22d51fe-a57d-468b-9fe2-597f4f87e95c', 'uuid': '2272c585-6353-412f-8a2b-5212ee980086', 'annotationId': '6a64425b-f356-4c4e-8e41-f2b973615291', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786099150, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:28:19.373Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,434736.23,24.71,32.67,1009.38,60.0,58.7,22040109.0,2200.0,2197.68,24020116.0,1800.0,1798.48,22340093.0,1340.0,1338.08,22450138.0,1600.0,1596.8,21470060.0,29.91,33.3
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6a64425b-f356-4c4e-8e41-f2b973615291,c76af073-c984-44da-8d5b-c8d23de2c7e6,1245.012451171875,491238.53125,199981.484375,8132.55078125,7132.67041015625,26000.875,184358.671875,179979.6875,235778.0,70408.6328125,129123.09375,18636.6328125,277219.59375,5718.9189453125,19410.943359375,37213.16015625,257658.4375,52588.93359375,193151.46875,20278.359375,6900.4541015625,13230.8779296875,27420.58984375,45704.23828125,2936815.5,355667.75,1120963.75,3619699.0,11205131,5586.7529296875,70945.8984375,128441864,52672640,21107.673828125,86171.140625,202300.21875,670884.375,4360.27880859375,2833560.75,1135905.625,63152.2734375,492933.9375,21308.732421875,828231.1875,702.6551513671875,446982.15625,445193.6875,239523.90625,955961.1875,70107.5078125,77669.3203125,17369.873046875,4167.44091796875,278155.03125,15064.3193359375,144430.421875,32921.94921875,404962.125,1099417.625,58574.4609375,7260.0068359375,122916.9609375,13564.4912109375,605588.3125,6542,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200595446,24484,0,37.751502990722656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:28:19.795,"{'cid': 'd22d51fe-a57d-468b-9fe2-597f4f87e95c', 'uuid': '2272c585-6353-412f-8a2b-5212ee980086', 'annotationId': '6a64425b-f356-4c4e-8e41-f2b973615291', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786099150, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:28:19.373Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,434811.05,24.7,32.67,1009.37,60.0,58.7,22040109.0,2200.0,2197.68,24020116.0,1800.0,1798.48,22340093.0,1340.0,1338.08,22450138.0,1600.0,1596.8,21470060.0,29.91,33.3
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6a64425b-f356-4c4e-8e41-f2b973615291,c76af073-c984-44da-8d5b-c8d23de2c7e6,1247.59375,491105.09375,199969.859375,8131.95166015625,7133.31591796875,25999.458984375,184361.4375,179975.109375,236057.09375,70405.5546875,129112.015625,18636.38671875,278486.0,5710.51171875,19411.73046875,37209.69140625,257746.3125,52589.35546875,192512.875,20281.529296875,6900.61962890625,13215.3056640625,27417.09375,45705.30859375,2931743.0,356092.96875,1121463.5,3617854.0,11202363,5586.26123046875,70932.6796875,128208264,52355188,21104.6796875,86180.4765625,202352.59375,670813.1875,4360.04150390625,2831985.0,1135405.125,63150.75,492527.1875,21311.28125,828265.0625,702.7562255859375,446678.875,445325.375,239555.953125,957468.4375,70113.859375,77726.09375,17366.19140625,4163.2900390625,277851.40625,15037.662109375,144281.453125,32925.05078125,405083.0,1100421.75,58583.5234375,7259.69482421875,122905.265625,13560.93359375,605931.9375,6843,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200595446,24484,0,37.751502990722656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:28:20.100,"{'cid': 'd22d51fe-a57d-468b-9fe2-597f4f87e95c', 'uuid': '2272c585-6353-412f-8a2b-5212ee980086', 'annotationId': '6a64425b-f356-4c4e-8e41-f2b973615291', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786099150, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:28:19.373Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,434887.38,24.7,32.67,1009.37,60.0,58.75,22040109.0,2200.0,2197.83,24020116.0,1800.0,1798.55,22340093.0,1340.0,1338.11,22450138.0,1600.0,1596.87,21470060.0,29.91,33.3
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6a64425b-f356-4c4e-8e41-f2b973615291,c76af073-c984-44da-8d5b-c8d23de2c7e6,1247.003662109375,490853.78125,199923.625,8132.0859375,7132.482421875,25996.6796875,184406.359375,179924.234375,235796.09375,70387.671875,129099.546875,18635.529296875,279071.75,5691.798828125,19413.244140625,37209.5625,257912.796875,52591.59765625,192638.734375,20274.39453125,6900.9345703125,13227.9482421875,27416.48828125,45702.46484375,2927688.25,355544.28125,1121050.5,3615682.75,11190345,5585.2412109375,69537.8828125,127311440,52118068,21107.943359375,86177.953125,202370.171875,670885.75,4359.23974609375,2832739.75,1137458.375,63156.734375,492544.28125,21312.712890625,828220.375,702.0944213867188,446600.0,445608.84375,239558.859375,958490.375,70117.2265625,77710.375,17366.48828125,4168.4521484375,277828.6875,15033.283203125,143912.046875,32930.11328125,405174.4375,1101736.75,58587.609375,7260.3271484375,122922.375,13564.1767578125,606017.375,7144,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200595446,24484,0,37.751502990722656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:28:20.398,"{'cid': 'd22d51fe-a57d-468b-9fe2-597f4f87e95c', 'uuid': '2272c585-6353-412f-8a2b-5212ee980086', 'annotationId': '6a64425b-f356-4c4e-8e41-f2b973615291', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786099150, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:28:19.373Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,434961.96,24.69,32.67,1009.36,60.0,59.09,22040109.0,2200.0,2199.13,24020116.0,1800.0,1799.16,22340093.0,1340.0,1338.42,22450138.0,1600.0,1597.61,21470060.0,29.91,33.3
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6a64425b-f356-4c4e-8e41-f2b973615291,c76af073-c984-44da-8d5b-c8d23de2c7e6,1248.2293701171875,490175.53125,199894.421875,8132.02490234375,7132.52880859375,25993.037109375,184317.125,179907.40625,236034.34375,70394.7578125,129097.2265625,18635.111328125,279364.15625,5745.48779296875,19409.26171875,37201.34765625,257916.6875,52605.921875,192425.5,20266.173828125,6900.875,13214.0419921875,27417.39453125,45699.828125,2924541.75,356452.28125,1121111.5,3613926.75,11175605,5585.654296875,67927.796875,126298224,52014460,21100.427734375,86173.40625,202470.609375,671150.1875,4359.67431640625,2833347.25,1139226.0,63152.0390625,492385.59375,21311.142578125,827753.6875,702.0927124023438,446645.5,445706.46875,239524.296875,958955.0,70115.109375,77707.3984375,17363.16015625,4170.22412109375,277462.375,15031.6806640625,143746.4375,32932.37890625,405234.65625,1102965.125,58589.91015625,7260.1552734375,122892.40625,13564.890625,606560.75,7445,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200595446,24484,0,37.751502990722656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:28:20.697,"{'cid': 'd22d51fe-a57d-468b-9fe2-597f4f87e95c', 'uuid': '2272c585-6353-412f-8a2b-5212ee980086', 'annotationId': '6a64425b-f356-4c4e-8e41-f2b973615291', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786099150, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:28:19.373Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,435129.15,24.68,32.67,1009.36,60.0,59.44,22040109.0,2200.0,2200.44,24020116.0,1800.0,1799.78,22340093.0,1340.0,1338.73,22450138.0,1600.0,1598.34,21470060.0,29.9,33.31
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6a64425b-f356-4c4e-8e41-f2b973615291,c76af073-c984-44da-8d5b-c8d23de2c7e6,1247.2210693359375,490383.90625,199867.96875,8131.54052734375,7132.4580078125,25992.32421875,184314.625,179881.515625,235999.015625,70353.671875,129078.1171875,18636.025390625,279989.90625,5737.330078125,19412.130859375,37196.75390625,257676.71875,52608.90234375,192457.921875,20280.736328125,6900.95166015625,13211.1884765625,27418.96875,45704.44921875,2921800.25,355878.71875,1119509.875,3612110.5,11156595,5586.80078125,67056.3671875,125031536,52028808,21106.853515625,86196.0859375,202499.921875,671412.375,4361.0703125,2832242.5,1139420.375,63142.7421875,492365.3125,21313.951171875,827632.0,701.849365234375,446708.59375,445422.375,239465.421875,959485.875,70126.734375,77714.5390625,17364.548828125,4168.19287109375,277463.3125,15045.7978515625,143821.671875,32927.5703125,405344.71875,1103901.375,58596.30078125,7260.0380859375,122721.375,13568.755859375,607226.625,7746,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200595446,24484,0,37.751502990722656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:28:20.999,"{'cid': 'd22d51fe-a57d-468b-9fe2-597f4f87e95c', 'uuid': '2272c585-6353-412f-8a2b-5212ee980086', 'annotationId': '6a64425b-f356-4c4e-8e41-f2b973615291', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786099150, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:28:19.373Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,435419.29,24.66,32.67,1009.36,60.0,59.8,22040109.0,2200.0,2201.75,24020116.0,1800.0,1800.4,22340093.0,1340.0,1339.04,22450138.0,1600.0,1599.08,21470060.0,29.9,33.31
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6a64425b-f356-4c4e-8e41-f2b973615291,c76af073-c984-44da-8d5b-c8d23de2c7e6,1246.830322265625,489559.78125,199832.25,8132.080078125,7132.83251953125,25992.42578125,184256.9375,179846.890625,235758.65625,70291.5390625,129085.4921875,18635.826171875,279785.78125,5725.525390625,19410.763671875,37202.0703125,257771.109375,52591.31640625,192592.265625,20272.57421875,6900.91845703125,13225.4580078125,27420.53515625,45710.42578125,2918697.5,355639.875,1119625.0,3609640.25,11139206,5585.60791015625,67197.1796875,123927352,52204868,21107.09375,86198.1953125,202448.890625,671657.0,4360.62158203125,2837666.75,1141042.625,63128.609375,491741.625,21311.275390625,826756.1875,703.1431274414062,446981.28125,445355.1875,239390.5,959704.625,70084.6953125,77683.546875,17366.12890625,4167.80029296875,277649.625,15034.9541015625,144253.328125,32931.0,405474.9375,1104644.0,58588.05859375,7260.5595703125,122795.2734375,13572.0576171875,607255.375,8047,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200595446,24484,0,37.751502990722656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:28:21.299,"{'cid': 'd22d51fe-a57d-468b-9fe2-597f4f87e95c', 'uuid': '2272c585-6353-412f-8a2b-5212ee980086', 'annotationId': '6a64425b-f356-4c4e-8e41-f2b973615291', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786099150, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:28:19.373Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,435707.52,24.64,32.67,1009.37,60.0,59.91,22040109.0,2200.0,2201.26,24020116.0,1800.0,1800.6,22340093.0,1340.0,1339.35,22450138.0,1600.0,1599.52,21470060.0,29.9,33.32
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6a64425b-f356-4c4e-8e41-f2b973615291,c76af073-c984-44da-8d5b-c8d23de2c7e6,1247.139404296875,490432.25,199809.234375,8131.9775390625,7132.75439453125,25992.30078125,184269.578125,179822.046875,235797.125,70364.1328125,129093.6484375,18635.517578125,278143.34375,5744.7998046875,19411.025390625,37198.8046875,257727.171875,52591.078125,192706.984375,20279.580078125,6901.02099609375,13205.955078125,27423.384765625,45714.6328125,2917664.25,355385.34375,1119800.875,3606836.75,11126952,5586.3427734375,66902.578125,123055944,52477204,21103.2578125,86196.7265625,202461.296875,671790.75,4359.6591796875,2841349.0,1139993.625,63115.44921875,492024.09375,21310.8203125,826292.375,703.01708984375,446909.53125,445067.21875,239347.9375,959100.8125,70085.078125,77689.453125,17370.291015625,4166.4521484375,277993.625,15067.5185546875,143885.15625,32933.3828125,405337.0,1105051.375,58575.4921875,7260.56689453125,122721.3828125,13565.4052734375,607521.375,8348,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200595446,24484,0,37.751502990722656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:28:21.600,"{'cid': 'd22d51fe-a57d-468b-9fe2-597f4f87e95c', 'uuid': '2272c585-6353-412f-8a2b-5212ee980086', 'annotationId': '6a64425b-f356-4c4e-8e41-f2b973615291', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786099150, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:28:19.373Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,435996.71,24.62,32.67,1009.37,60.0,59.94,22040109.0,2200.0,2200.16,24020116.0,1800.0,1800.64,22340093.0,1340.0,1339.66,22450138.0,1600.0,1599.86,21470060.0,29.9,33.33
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6a64425b-f356-4c4e-8e41-f2b973615291,c76af073-c984-44da-8d5b-c8d23de2c7e6,1247.5399169921875,489715.96875,199796.46875,8132.10009765625,7132.09375,25990.916015625,184374.984375,179805.28125,236060.0,70322.9140625,129123.7734375,18635.603515625,277459.46875,5719.93896484375,19410.55859375,37203.4609375,257871.4375,52590.109375,192462.4375,20280.30859375,6901.5888671875,13228.7578125,27423.21484375,45713.15234375,2917892.25,355705.75,1117667.125,3607295.75,11122053,5586.841796875,66357.1796875,122705024,52847776,21104.380859375,86198.328125,202450.53125,671883.875,4360.55615234375,2845123.75,1139830.625,63118.03515625,492449.90625,21311.625,825648.875,702.3961181640625,446263.5625,444864.375,239354.03125,958060.3125,70098.640625,77695.1953125,17369.77734375,4167.18994140625,277897.6875,15039.7734375,144998.859375,32933.54296875,405111.78125,1105206.125,58574.26953125,7260.48486328125,122754.9296875,13563.177734375,607823.125,8649,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200595446,24484,0,37.751502990722656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:28:21.901,"{'cid': 'd22d51fe-a57d-468b-9fe2-597f4f87e95c', 'uuid': '2272c585-6353-412f-8a2b-5212ee980086', 'annotationId': '6a64425b-f356-4c4e-8e41-f2b973615291', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786099150, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:28:19.373Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,435818.81,24.61,32.67,1009.34,60.0,59.98,22040109.0,2200.0,2199.06,24020116.0,1800.0,1800.69,22340093.0,1340.0,1339.97,22450138.0,1600.0,1600.19,21470060.0,29.89,33.34
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6a64425b-f356-4c4e-8e41-f2b973615291,c76af073-c984-44da-8d5b-c8d23de2c7e6,1246.0574951171875,489591.375,199802.21875,8131.7958984375,7132.107421875,25991.80859375,184321.78125,179816.359375,236175.796875,70301.0859375,129119.1015625,18637.2890625,278538.5,5711.70458984375,19409.46875,37204.85546875,258226.75,52601.86328125,192357.75,20273.490234375,6900.9560546875,13223.9853515625,27423.69140625,45715.44140625,2921048.5,356504.125,1119227.75,3609142.0,11123801,5586.22119140625,68264.328125,122799016,53224564,21105.546875,86185.0390625,202435.046875,671996.0,4358.88134765625,2846242.75,1142323.875,63120.8125,492624.375,21311.599609375,825146.0625,702.5663452148438,446370.0625,444937.8125,239350.921875,956732.375,70075.9296875,77671.1796875,17368.259765625,4166.11328125,277718.6875,15073.2216796875,144666.3125,32925.5234375,404839.625,1104605.5,58573.8125,7260.35791015625,122755.6953125,13560.013671875,607072.875,8950,34.212459564208984,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200595446,24484,0,37.751502990722656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:28:22.202,"{'cid': 'd22d51fe-a57d-468b-9fe2-597f4f87e95c', 'uuid': '2272c585-6353-412f-8a2b-5212ee980086', 'annotationId': '6a64425b-f356-4c4e-8e41-f2b973615291', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786099150, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:28:19.373Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,435313.7,24.6,32.67,1009.29,60.0,60.01,22040109.0,2200.0,2198.4,24020116.0,1800.0,1800.74,22340093.0,1340.0,1340.08,22450138.0,1600.0,1600.35,21470060.0,29.89,33.34
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6a64425b-f356-4c4e-8e41-f2b973615291,c76af073-c984-44da-8d5b-c8d23de2c7e6,1247.7847900390625,490325.25,199770.0625,8131.7060546875,7132.5126953125,25992.763671875,184270.078125,179828.984375,235838.15625,70299.5625,129136.203125,18636.654296875,279376.59375,5740.73828125,19411.001953125,37208.25,258102.984375,52600.2578125,192802.90625,20267.669921875,6901.5234375,13221.9873046875,27424.73828125,45717.11328125,2925244.5,355841.46875,1118587.75,3612508.0,11134468,5585.9150390625,70217.703125,123389512,53590392,21102.201171875,86153.1015625,202448.296875,671971.875,4360.662109375,2851361.25,1142177.375,63117.9921875,492435.46875,21311.607421875,824934.75,702.6439208984375,446623.1875,444822.34375,239343.546875,955471.125,70094.8359375,77657.5546875,17373.15234375,4160.9814453125,277144.375,15040.2041015625,144848.296875,32921.640625,404890.71875,1104022.75,58580.59375,7260.2470703125,122824.453125,13570.7578125,606213.6875,9251,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200595446,24484,0,37.751502990722656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:28:22.504,"{'cid': 'd22d51fe-a57d-468b-9fe2-597f4f87e95c', 'uuid': '2272c585-6353-412f-8a2b-5212ee980086', 'annotationId': '6a64425b-f356-4c4e-8e41-f2b973615291', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786099150, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:28:19.373Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,434806.9,24.6,32.67,1009.24,60.0,60.03,22040109.0,2200.0,2198.4,24020116.0,1800.0,1800.79,22340093.0,1340.0,1339.88,22450138.0,1600.0,1600.2,21470060.0,29.89,33.32
