component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,T0_183225,H0_183225,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_181425,FLW0_181425,ANLT0_181425
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ba58dc7e-3c88-40ca-ad48-4885c0259ed6,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1240.911376953125,487050.15625,199844.1875,8133.20654296875,7133.505859375,25992.96484375,184292.390625,179874.34375,236009.140625,70226.625,129122.890625,18636.765625,275143.59375,5606.1845703125,19424.693359375,37219.140625,258559.515625,52611.71484375,193624.5625,20276.95703125,6902.298828125,13241.3701171875,27457.296875,45724.01953125,2918267.5,355624.78125,1105709.375,3609950.0,11127664,5585.0146484375,71604.5078125,123904896,52688624,21115.431640625,86252.15625,202350.28125,671408.375,4359.47705078125,2861149.25,1143628.875,63120.4921875,491757.0,21319.708984375,826070.75,702.9053344726562,446780.96875,446256.84375,239446.59375,958705.375,70193.7109375,77611.8828125,17373.611328125,4162.15283203125,278161.125,15065.1337890625,145154.328125,32961.81640625,404600.65625,1103930.75,58601.80859375,7259.4619140625,122851.21875,13560.4306640625,609735.125,6883,34.131874084472656,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200891428,24484,0,37.51820755004883,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:33:20.240,"{'cid': '386c264f-4aee-4505-8c19-28226661bb26', 'uuid': '8f6e70ad-76c9-4b0c-a424-d8859b28c55b', 'annotationId': 'ba58dc7e-3c88-40ca-ad48-4885c0259ed6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786399802, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:33:20.035Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,430398.48,24.88,32.68,1009.31,29.89,33.42,30.0,31.21,22040109.0,1370.0,1367.68,22450138.0,1600.0,1598.48,21470060.0,1800.0,1798.16,22340093.0,2200.0,2200.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ba58dc7e-3c88-40ca-ad48-4885c0259ed6,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1240.5433349609375,486934.5625,199839.765625,8132.7255859375,7133.83935546875,25995.8125,184384.875,179872.578125,236245.03125,70176.3359375,129160.2109375,18637.02734375,276159.65625,5638.23388671875,19423.67578125,37232.66015625,258444.765625,52624.34375,194563.109375,20267.41015625,6902.85693359375,13231.6962890625,27457.62109375,45724.33984375,2920379.0,354608.6875,1108593.0,3611032.25,11125261,5585.4892578125,72666.8671875,123745928,52974668,21112.55078125,86261.1015625,202338.8125,671451.5,4360.24853515625,2868733.5,1144819.5,63119.48828125,491801.9375,21316.78125,826272.25,702.3643188476562,446987.90625,446483.625,239456.4375,957773.125,70172.34375,77647.515625,17365.486328125,4168.90966796875,277097.84375,15065.1767578125,145240.0625,32960.515625,404667.53125,1103626.375,58590.49609375,7259.6162109375,122752.203125,13560.75,610088.0,7184,34.05128479003906,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200891428,24484,0,37.51820755004883,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:33:20.541,"{'cid': '386c264f-4aee-4505-8c19-28226661bb26', 'uuid': '8f6e70ad-76c9-4b0c-a424-d8859b28c55b', 'annotationId': 'ba58dc7e-3c88-40ca-ad48-4885c0259ed6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786399802, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:33:20.035Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,430045.97,24.87,32.68,1009.32,29.89,33.42,30.0,31.21,22040109.0,1370.0,1367.68,22450138.0,1600.0,1598.48,21470060.0,1800.0,1798.16,22340093.0,2200.0,2200.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ba58dc7e-3c88-40ca-ad48-4885c0259ed6,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1240.1729736328125,486972.90625,199853.609375,8132.93017578125,7133.41357421875,25996.59765625,184372.546875,179895.03125,236018.1875,70222.296875,129156.0625,18637.095703125,276194.1875,5655.11083984375,19419.97265625,37233.9140625,258276.875,52620.046875,195054.359375,20277.376953125,6902.94921875,13236.623046875,27457.638671875,45724.66796875,2922474.75,356036.75,1108954.25,3613805.0,11128666,5583.75439453125,71927.9765625,124079760,53243424,21114.20703125,86281.5703125,202365.328125,671463.5625,4358.8173828125,2875042.0,1143855.0,63123.984375,491720.0,21316.2890625,827131.9375,702.1487426757812,446658.03125,446215.59375,239454.3125,956685.9375,70133.4609375,77647.7265625,17367.546875,4162.91650390625,276714.40625,15039.3212890625,144351.75,32961.3203125,404739.0,1103050.625,58585.31640625,7259.92431640625,122583.09375,13565.1318359375,610070.4375,7485,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200896460,24484,0,37.78797912597656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:33:20.843,"{'cid': '386c264f-4aee-4505-8c19-28226661bb26', 'uuid': '8f6e70ad-76c9-4b0c-a424-d8859b28c55b', 'annotationId': 'ba58dc7e-3c88-40ca-ad48-4885c0259ed6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786399802, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:33:20.035Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,429692.28,24.87,32.69,1009.33,29.89,33.42,30.0,31.04,22040109.0,1370.0,1367.87,22450138.0,1600.0,1598.51,21470060.0,1800.0,1798.37,22340093.0,2200.0,2200.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ba58dc7e-3c88-40ca-ad48-4885c0259ed6,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1239.8603515625,487238.125,199858.453125,8132.95947265625,7133.611328125,25998.26171875,184313.625,179920.765625,236008.3125,70095.3984375,129176.6015625,18637.171875,276878.75,5657.39111328125,19422.0234375,37227.8984375,258212.90625,52609.09375,194746.5,20294.330078125,6902.5107421875,13224.8583984375,27455.966796875,45724.890625,2924237.75,356253.6875,1112160.75,3616159.25,11135126,5585.134765625,71064.59375,124504136,53458020,21114.68359375,86300.078125,202346.640625,671430.25,4360.72265625,2886691.75,1142545.125,63127.6953125,491597.46875,21312.421875,827727.0,702.6611938476562,447045.40625,445916.21875,239465.765625,955888.5625,70160.6875,77649.609375,17372.345703125,4166.58740234375,277765.125,15025.3212890625,144818.78125,32954.56640625,404520.09375,1102704.75,58579.2734375,7259.4345703125,122626.328125,13558.47265625,609334.125,7786,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200896460,24484,0,37.78797912597656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:33:21.143,"{'cid': '386c264f-4aee-4505-8c19-28226661bb26', 'uuid': '8f6e70ad-76c9-4b0c-a424-d8859b28c55b', 'annotationId': 'ba58dc7e-3c88-40ca-ad48-4885c0259ed6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786399802, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:33:20.035Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,429340.94,24.86,32.69,1009.34,29.89,33.42,30.0,30.67,22040109.0,1370.0,1368.3,22450138.0,1600.0,1598.58,21470060.0,1800.0,1798.89,22340093.0,2200.0,2200.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ba58dc7e-3c88-40ca-ad48-4885c0259ed6,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1239.771240234375,487055.5,199871.09375,8132.8984375,7133.74365234375,25998.115234375,184299.265625,179900.9375,236439.5625,70168.3125,129193.09375,18637.712890625,276504.90625,5654.2314453125,19422.025390625,37228.0078125,258481.734375,52611.8515625,195155.484375,20285.296875,6902.7626953125,13234.244140625,27457.36328125,45724.56640625,2926452.75,355944.8125,1109319.375,3617478.5,11142837,5585.84912109375,70963.6953125,125052360,53594928,21119.189453125,86281.84375,202343.375,671102.5,4360.8193359375,2887853.75,1140788.0,63128.76171875,491698.75,21314.31640625,826963.0,702.7496948242188,446758.125,445749.34375,239500.171875,955113.5,70129.203125,77616.0703125,17371.763671875,4166.591796875,277703.09375,15046.9267578125,145585.296875,32951.0703125,404369.0625,1102272.125,58592.234375,7259.5439453125,122437.8125,13560.4580078125,609914.0625,8087,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200896460,24484,0,37.78797912597656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:33:21.445,"{'cid': '386c264f-4aee-4505-8c19-28226661bb26', 'uuid': '8f6e70ad-76c9-4b0c-a424-d8859b28c55b', 'annotationId': 'ba58dc7e-3c88-40ca-ad48-4885c0259ed6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786399802, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:33:20.035Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,429260.13,24.86,32.69,1009.34,29.88,33.41,30.0,30.3,22040109.0,1370.0,1368.73,22450138.0,1600.0,1598.65,21470060.0,1800.0,1799.42,22340093.0,2200.0,2200.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ba58dc7e-3c88-40ca-ad48-4885c0259ed6,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1240.262939453125,487327.4375,199922.640625,8132.98876953125,7133.5703125,25999.15625,184340.875,179922.6875,235851.1875,70237.3046875,129204.5390625,18637.6484375,276621.5,5658.05810546875,19423.5546875,37223.86328125,258103.640625,52619.1171875,193066.484375,20286.814453125,6902.916015625,13228.9375,27458.033203125,45726.15625,2929484.0,355730.0,1111182.375,3618508.0,11155082,5585.52099609375,71472.0390625,125938576,53607684,21115.837890625,86284.546875,202320.0,670950.1875,4360.521484375,2888621.0,1141620.25,63138.47265625,492011.59375,21316.42578125,827645.1875,701.8536376953125,447131.53125,445803.34375,239485.53125,954868.75,70138.984375,77630.25,17371.45703125,4169.5009765625,277630.84375,15081.5390625,145733.515625,32947.359375,404316.28125,1101431.0,58577.48828125,7259.47607421875,122359.515625,13566.482421875,609963.75,8388,34.212459564208984,35.90476608276367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200896460,24484,0,37.78797912597656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:33:21.749,"{'cid': '386c264f-4aee-4505-8c19-28226661bb26', 'uuid': '8f6e70ad-76c9-4b0c-a424-d8859b28c55b', 'annotationId': 'ba58dc7e-3c88-40ca-ad48-4885c0259ed6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786399802, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:33:20.035Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,429260.13,24.85,32.69,1009.33,29.88,33.41,30.0,29.96,22040109.0,1370.0,1369.12,22450138.0,1600.0,1598.79,21470060.0,1800.0,1799.93,22340093.0,2200.0,2200.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ba58dc7e-3c88-40ca-ad48-4885c0259ed6,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1242.6802978515625,488192.5,199965.625,8133.19970703125,7133.6318359375,25999.830078125,184447.71875,179948.75,235961.078125,70207.0390625,129196.8671875,18637.171875,276268.71875,5662.04345703125,19422.546875,37227.7265625,258223.171875,52607.00390625,192677.171875,20285.4921875,6902.90673828125,13222.3544921875,27458.00390625,45723.24609375,2932581.5,356179.9375,1111358.0,3618716.0,11167980,5586.6875,72210.0859375,126775760,53513088,21116.412109375,86291.2265625,202296.359375,670828.75,4360.333984375,2884782.25,1140915.375,63145.87109375,492266.59375,21315.794921875,827972.0625,702.0833129882812,446902.125,446176.0625,239540.5,954604.9375,70123.9453125,77640.8203125,17371.931640625,4172.5380859375,276724.28125,15075.931640625,145346.34375,32948.15234375,404362.34375,1100639.125,58576.9765625,7259.177734375,122505.1171875,13565.4208984375,609948.1875,8691,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200896460,24484,0,37.78797912597656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:33:22.049,"{'cid': '386c264f-4aee-4505-8c19-28226661bb26', 'uuid': '8f6e70ad-76c9-4b0c-a424-d8859b28c55b', 'annotationId': 'ba58dc7e-3c88-40ca-ad48-4885c0259ed6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786399802, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:33:20.035Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,429260.13,24.85,32.69,1009.33,29.88,33.41,30.0,29.95,22040109.0,1370.0,1369.07,22450138.0,1600.0,1599.84,21470060.0,1800.0,1800.12,22340093.0,2200.0,2200.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ba58dc7e-3c88-40ca-ad48-4885c0259ed6,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1240.40234375,488075.15625,199967.734375,8132.88427734375,7133.1484375,25999.26953125,184481.890625,179967.015625,236117.171875,70290.7578125,129186.4375,18637.255859375,276742.28125,5644.78759765625,19424.568359375,37230.08984375,258607.5,52599.046875,193104.0625,20286.677734375,6902.73828125,13230.97265625,27455.318359375,45718.48828125,2934344.75,355685.125,1111722.5,3619171.0,11175035,5585.5625,72037.84375,127418960,53327356,21118.03125,86285.0546875,202306.265625,670763.375,4361.86181640625,2879805.5,1142242.625,63148.43359375,492533.25,21318.990234375,828796.3125,702.1489868164062,446888.4375,446029.21875,239571.09375,955361.8125,70142.34375,77641.9375,17370.03515625,4165.28125,277625.34375,15081.9775390625,144850.171875,32945.2265625,404327.15625,1100046.25,58581.99609375,7258.4892578125,122638.5,13567.23828125,609805.375,8990,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200896460,24484,0,37.78797912597656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:33:22.347,"{'cid': '386c264f-4aee-4505-8c19-28226661bb26', 'uuid': '8f6e70ad-76c9-4b0c-a424-d8859b28c55b', 'annotationId': 'ba58dc7e-3c88-40ca-ad48-4885c0259ed6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786399802, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:33:20.035Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,429260.13,24.84,32.69,1009.32,29.88,33.41,30.0,29.94,22040109.0,1370.0,1369.02,22450138.0,1600.0,1600.88,21470060.0,1800.0,1800.31,22340093.0,2200.0,2200.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ba58dc7e-3c88-40ca-ad48-4885c0259ed6,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1240.9957275390625,487964.1875,199968.140625,8133.00537109375,7133.33203125,25998.736328125,184460.765625,179979.203125,236152.484375,70262.984375,129163.828125,18637.09765625,276170.71875,5645.4677734375,19423.609375,37221.42578125,258028.84375,52589.171875,193437.8125,20286.921875,6903.20263671875,13227.3447265625,27452.421875,45711.87109375,2933037.0,356727.4375,1110897.75,3618977.0,11177750,5585.7421875,72636.25,127714056,53063404,21111.98828125,86292.0546875,202273.03125,670796.375,4362.19140625,2873438.25,1146481.875,63154.82421875,492589.625,21318.173828125,829218.375,701.4812622070312,446982.375,446155.6875,239588.953125,956278.8125,70165.1015625,77644.3359375,17372.17578125,4169.88671875,277913.40625,15052.783203125,144268.234375,32950.1953125,404453.90625,1100112.75,58589.58203125,7259.4404296875,122584.09375,13568.1220703125,608071.4375,9291,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200896460,24484,0,37.78797912597656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:33:22.648,"{'cid': '386c264f-4aee-4505-8c19-28226661bb26', 'uuid': '8f6e70ad-76c9-4b0c-a424-d8859b28c55b', 'annotationId': 'ba58dc7e-3c88-40ca-ad48-4885c0259ed6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786399802, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:33:20.035Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,429389.22,24.84,32.69,1009.27,29.88,33.41,30.0,29.93,22040109.0,1370.0,1368.97,22450138.0,1600.0,1601.93,21470060.0,1800.0,1800.5,22340093.0,2200.0,2200.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ba58dc7e-3c88-40ca-ad48-4885c0259ed6,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1241.267822265625,487928.90625,199960.59375,8132.75390625,7133.14697265625,25998.470703125,184432.9375,179950.921875,235613.34375,70321.4921875,129154.6484375,18636.9453125,276552.84375,5647.26611328125,19418.908203125,37221.6875,258044.390625,52594.08984375,194522.5,20285.77734375,6902.99853515625,13223.943359375,27450.99609375,45716.3671875,2929408.0,357449.9375,1108637.0,3618382.0,11175400,5584.708984375,72454.1171875,127612136,52796044,21115.021484375,86271.1953125,202277.734375,670814.8125,4362.4833984375,2867469.25,1147159.875,63154.98828125,492550.1875,21318.15234375,829923.5625,702.0933837890625,447335.625,445627.75,239587.09375,957565.8125,70190.5234375,77626.140625,17361.5546875,4167.32421875,276682.90625,15044.3955078125,145033.8125,32953.91015625,404779.71875,1100977.125,58585.21875,7259.57568359375,122623.25,13564.6875,608673.375,9592,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200896460,24484,0,37.78797912597656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:33:22.949,"{'cid': '386c264f-4aee-4505-8c19-28226661bb26', 'uuid': '8f6e70ad-76c9-4b0c-a424-d8859b28c55b', 'annotationId': 'ba58dc7e-3c88-40ca-ad48-4885c0259ed6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786399802, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:33:20.035Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,429528.98,24.84,32.69,1009.23,29.88,33.41,30.0,29.94,22040109.0,1370.0,1369.24,22450138.0,1600.0,1602.02,21470060.0,1800.0,1800.84,22340093.0,2200.0,2200.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ba58dc7e-3c88-40ca-ad48-4885c0259ed6,b56648b2-fefc-4ed5-a3f3-fcb6d77d0da0,1240.2337646484375,487433.78125,199930.75,8132.77978515625,7132.63623046875,25997.3203125,184348.921875,179915.5625,235845.546875,70236.890625,129141.140625,18637.7578125,276201.40625,5644.603515625,19419.369140625,37224.1015625,258022.21875,52589.39453125,193861.65625,20290.6640625,6902.798828125,13230.533203125,27453.205078125,45711.96875,2926664.25,357667.71875,1110443.125,3617182.25,11171217,5585.38818359375,73096.8828125,127353312,52573396,21116.189453125,86268.6953125,202346.734375,670815.5,4361.1611328125,2863873.25,1147949.375,63159.49609375,492669.6875,21319.306640625,830371.4375,702.2979125976562,447317.40625,445548.4375,239565.75,958478.25,70173.078125,77614.6015625,17372.509765625,4167.009765625,276877.59375,15060.6962890625,145236.140625,32958.6484375,404786.875,1101735.75,58595.97265625,7259.77880859375,122663.8828125,13561.1455078125,608202.9375,9893,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200896460,24484,0,37.78797912597656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:33:23.250,"{'cid': '386c264f-4aee-4505-8c19-28226661bb26', 'uuid': '8f6e70ad-76c9-4b0c-a424-d8859b28c55b', 'annotationId': 'ba58dc7e-3c88-40ca-ad48-4885c0259ed6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768786399802, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:33:20.035Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,429668.75,24.83,32.69,1009.18,29.88,33.4,30.0,29.94,22040109.0,1370.0,1369.62,22450138.0,1600.0,1601.71,21470060.0,1800.0,1801.25,22340093.0,2200.0,2200.56,24020116.0
