component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_181425,FLW0_181425,ANLT0_181425,T0_183225,H0_183225,SETP0_453024,FLW0_453024,ANLT0_453024
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ca5b8df7-8793-404e-8beb-96247632ef05,a3251215-890d-4e8b-ac6d-28272dcc35e2,1253.768798828125,487005.9375,199049.734375,8117.43896484375,7124.0908203125,25955.203125,183446.125,178047.59375,234596.1875,69507.578125,126397.5703125,18620.71484375,279383.53125,5809.9111328125,19163.376953125,37059.0078125,255087.1875,52038.39453125,189052.203125,19773.39453125,6897.35986328125,13191.8349609375,26438.189453125,45611.84765625,2906535.75,358459.5,1275102.375,3563521.5,11132807,5562.1396484375,73322.5078125,131126272,56291136,21017.35546875,85985.46875,202383.546875,672331.75,4322.06591796875,2768165.5,1128580.75,62887.56640625,487707.21875,21165.384765625,828178.1875,698.6029663085938,432853.3125,444522.0625,237473.125,941230.5625,69696.9140625,77373.3515625,17273.869140625,4163.81787109375,277454.6875,14904.4306640625,141777.796875,31748.171875,403412.53125,1099833.5,58545.6328125,7250.62890625,122201.96875,13550.60546875,606789.4375,5536,34.05128479003906,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,198342856,24484,0,36.84082794189453,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 00:50:48.570,"{'cid': '87a2a839-7637-455e-8147-ca4e66f3acf7', 'uuid': '5b1044da-b0b4-4592-a0b1-7f0bbe7a5ed1', 'annotationId': 'ca5b8df7-8793-404e-8beb-96247632ef05', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768783848004, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T00:50:48.233Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,514219.26,19.15,32.64,1009.69,0.0,0.0,22040109.0,1600.0,1597.52,21470060.0,1400.0,1396.72,22450138.0,2200.0,2198.72,24020116.0,29.69,32.6,1800.0,1799.76,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ca5b8df7-8793-404e-8beb-96247632ef05,a3251215-890d-4e8b-ac6d-28272dcc35e2,1253.4345703125,487569.9375,199084.359375,8117.3076171875,7124.1845703125,25955.728515625,183445.171875,178049.109375,234929.6875,69472.28125,126397.359375,18620.6875,279050.0625,5797.00341796875,19163.85546875,37063.52734375,255070.40625,52059.03125,190215.625,19773.994140625,6896.9560546875,13203.078125,26440.40625,45615.0234375,2904913.25,357839.15625,1275790.375,3561362.0,11121907,5561.48046875,72613.6953125,130352744,56431436,21014.76953125,85986.1875,202427.34375,672463.875,4323.64892578125,2768312.0,1126983.75,62882.54296875,488148.59375,21166.5859375,827656.6875,699.379638671875,432550.25,444217.125,237427.71875,941238.1875,69713.5234375,77389.140625,17278.07421875,4155.791015625,277340.8125,14903.6650390625,141302.03125,31746.9296875,403264.65625,1100270.125,58541.79296875,7251.2431640625,122265.4609375,13546.234375,607319.625,5837,34.131874084472656,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,198342856,24484,0,36.84082794189453,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 00:50:48.872,"{'cid': '87a2a839-7637-455e-8147-ca4e66f3acf7', 'uuid': '5b1044da-b0b4-4592-a0b1-7f0bbe7a5ed1', 'annotationId': 'ca5b8df7-8793-404e-8beb-96247632ef05', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768783848004, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T00:50:48.233Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,513916.79,19.15,32.64,1009.68,0.0,0.0,22040109.0,1600.0,1597.52,21470060.0,1400.0,1396.72,22450138.0,2200.0,2198.72,24020116.0,29.69,32.6,1800.0,1799.76,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ca5b8df7-8793-404e-8beb-96247632ef05,a3251215-890d-4e8b-ac6d-28272dcc35e2,1254.06640625,486571.9375,199051.21875,8116.86767578125,7123.87255859375,25954.306640625,183369.640625,178025.5,235114.078125,69489.421875,126387.9765625,18619.6796875,278047.8125,5795.1806640625,19165.341796875,37059.27734375,255336.953125,52059.74609375,190290.515625,19774.806640625,6897.0908203125,13193.705078125,26441.224609375,45615.55078125,2904026.5,357271.75,1280989.625,3559838.5,11119071,5561.22705078125,73097.0703125,129925528,56668336,21017.0546875,85969.78125,202418.328125,672465.5625,4322.490234375,2767126.0,1126141.5,62879.12109375,488058.375,21166.654296875,826998.0625,698.7715454101562,432699.8125,444534.4375,237381.3125,940590.9375,69718.1640625,77406.453125,17274.0703125,4155.84130859375,277144.4375,14933.064453125,141156.5,31743.716796875,403208.3125,1100530.125,58540.50390625,7250.85546875,122292.1640625,13541.0,607819.0625,6138,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,198342856,24484,0,36.84082794189453,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 00:50:49.172,"{'cid': '87a2a839-7637-455e-8147-ca4e66f3acf7', 'uuid': '5b1044da-b0b4-4592-a0b1-7f0bbe7a5ed1', 'annotationId': 'ca5b8df7-8793-404e-8beb-96247632ef05', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768783848004, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T00:50:48.233Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,513616.31,19.15,32.64,1009.67,0.0,0.0,22040109.0,1600.0,1597.73,21470060.0,1400.0,1397.24,22450138.0,2200.0,2199.09,24020116.0,29.69,32.6,1800.0,1799.76,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ca5b8df7-8793-404e-8beb-96247632ef05,a3251215-890d-4e8b-ac6d-28272dcc35e2,1255.064453125,486762.5625,199031.796875,8116.87353515625,7124.212890625,25954.33203125,183373.1875,178028.046875,235073.96875,69535.3671875,126412.859375,18619.265625,277893.71875,5804.06005859375,19165.8515625,37051.68359375,255163.578125,52062.79296875,191128.890625,19776.853515625,6897.10595703125,13191.8916015625,26442.0859375,45617.10546875,2903794.0,357106.96875,1279156.5,3559331.0,11114272,5562.15478515625,73782.03125,129574592,56967128,21016.166015625,85950.375,202407.28125,672533.875,4324.2548828125,2770589.25,1124752.5,62867.59375,487851.1875,21164.06640625,825603.25,698.2070922851562,432547.90625,444528.96875,237395.765625,939623.75,69670.078125,77389.859375,17271.681640625,4151.7353515625,275832.1875,14899.6826171875,141071.71875,31744.107421875,403522.8125,1100732.625,58541.5703125,7250.68212890625,122171.453125,13542.328125,607847.0625,6439,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,198342856,24484,0,36.84082794189453,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 00:50:49.480,"{'cid': '87a2a839-7637-455e-8147-ca4e66f3acf7', 'uuid': '5b1044da-b0b4-4592-a0b1-7f0bbe7a5ed1', 'annotationId': 'ca5b8df7-8793-404e-8beb-96247632ef05', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768783848004, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T00:50:48.233Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,513307.83,19.15,32.64,1009.66,0.0,0.0,22040109.0,1600.0,1598.0,21470060.0,1400.0,1397.93,22450138.0,2200.0,2199.58,24020116.0,29.69,32.61,1800.0,1799.76,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ca5b8df7-8793-404e-8beb-96247632ef05,a3251215-890d-4e8b-ac6d-28272dcc35e2,1253.7052001953125,487383.1875,199007.875,8116.9599609375,7124.00634765625,25954.2734375,183405.40625,178004.4375,234922.890625,69666.546875,126415.71875,18622.5859375,277846.09375,5787.82861328125,19162.20703125,37053.96484375,255152.65625,52070.07421875,191048.125,19780.19921875,6896.76220703125,13205.0673828125,26439.8125,45615.453125,2905856.25,357979.46875,1278038.125,3560797.0,11113220,5561.4755859375,70207.390625,129710648,57291252,21016.650390625,85965.375,202392.34375,672522.0,4323.17236328125,2770581.5,1126319.0,62865.125,488066.625,21164.80859375,824442.3125,697.9219360351562,432499.3125,445034.875,237348.296875,938621.1875,69692.2421875,77361.234375,17273.462890625,4151.76611328125,276941.40625,14910.677734375,142507.796875,31739.546875,403346.21875,1100236.875,58550.453125,7251.14111328125,122104.7890625,13540.8447265625,606577.1875,6740,34.05128479003906,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,198342856,24484,0,36.84082794189453,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 00:50:49.779,"{'cid': '87a2a839-7637-455e-8147-ca4e66f3acf7', 'uuid': '5b1044da-b0b4-4592-a0b1-7f0bbe7a5ed1', 'annotationId': 'ca5b8df7-8793-404e-8beb-96247632ef05', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768783848004, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T00:50:48.233Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,512750.04,19.15,32.64,1009.67,0.0,0.0,22040109.0,1600.0,1598.26,21470060.0,1400.0,1398.59,22450138.0,2200.0,2200.05,24020116.0,29.69,32.62,1800.0,1799.76,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ca5b8df7-8793-404e-8beb-96247632ef05,a3251215-890d-4e8b-ac6d-28272dcc35e2,1254.0474853515625,487746.71875,199093.375,8117.31298828125,7124.267578125,25956.099609375,183433.515625,178032.46875,234928.65625,69607.4375,126427.78125,18622.25,277600.3125,5801.8408203125,19163.005859375,37057.65625,255176.328125,52080.9453125,191728.609375,19779.4296875,6896.55322265625,13203.341796875,26437.94140625,45611.82421875,2908293.0,358837.96875,1275956.75,3563275.75,11118619,5561.2080078125,69834.875,130099656,57580828,21016.072265625,85938.828125,202356.359375,672515.3125,4322.87109375,2771915.75,1127676.0,62871.88671875,487802.9375,21163.166015625,824567.3125,698.53271484375,432540.28125,444853.25,237389.96875,937791.8125,69709.5234375,77331.8203125,17271.158203125,4156.5595703125,277179.125,14921.8701171875,142549.75,31739.89453125,403184.375,1099541.0,58529.5625,7251.02490234375,122132.8828125,13550.041015625,607219.375,7043,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,198342856,24484,0,36.84082794189453,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 00:50:50.079,"{'cid': '87a2a839-7637-455e-8147-ca4e66f3acf7', 'uuid': '5b1044da-b0b4-4592-a0b1-7f0bbe7a5ed1', 'annotationId': 'ca5b8df7-8793-404e-8beb-96247632ef05', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768783848004, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T00:50:48.233Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,511918.76,19.15,32.64,1009.68,0.0,0.0,22040109.0,1600.0,1598.74,21470060.0,1400.0,1399.11,22450138.0,2200.0,2200.56,24020116.0,29.69,32.64,1800.0,1799.83,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ca5b8df7-8793-404e-8beb-96247632ef05,a3251215-890d-4e8b-ac6d-28272dcc35e2,1253.650390625,487420.65625,199069.296875,8117.4365234375,7124.2626953125,25955.48046875,183441.0,178006.453125,234736.921875,69552.4765625,126422.5234375,18621.52734375,277624.25,5782.2275390625,19161.51171875,37062.640625,255307.609375,52091.0859375,191147.0625,19774.470703125,6897.00830078125,13188.2353515625,26436.849609375,45612.88671875,2909497.5,359030.625,1275955.75,3565242.0,11128457,5561.384765625,71122.953125,130806048,57805224,21012.744140625,85946.140625,202312.921875,672442.6875,4323.21923828125,2771532.0,1126627.75,62871.07421875,487707.125,21161.62109375,824864.125,698.2059326171875,432465.40625,444981.34375,237360.09375,937039.875,69703.546875,77374.421875,17272.0390625,4159.33251953125,277386.09375,14913.5751953125,142968.84375,31735.681640625,403024.875,1098382.625,58536.33984375,7250.60986328125,122161.9140625,13549.947265625,607730.6875,7342,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,198342856,24484,0,36.84082794189453,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 00:50:50.379,"{'cid': '87a2a839-7637-455e-8147-ca4e66f3acf7', 'uuid': '5b1044da-b0b4-4592-a0b1-7f0bbe7a5ed1', 'annotationId': 'ca5b8df7-8793-404e-8beb-96247632ef05', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768783848004, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T00:50:48.233Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,511087.49,19.14,32.64,1009.69,0.0,0.0,22040109.0,1600.0,1599.48,21470060.0,1400.0,1399.44,22450138.0,2200.0,2201.1,24020116.0,29.69,32.65,1800.0,1799.97,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ca5b8df7-8793-404e-8beb-96247632ef05,a3251215-890d-4e8b-ac6d-28272dcc35e2,1251.983154296875,486186.15625,199121.625,8117.26220703125,7124.00830078125,25957.822265625,183477.46875,178050.15625,234830.921875,69558.875,126413.4921875,18622.193359375,278394.40625,5808.94970703125,19161.87109375,37066.5546875,255090.0,52074.765625,190254.765625,19773.9765625,6897.47314453125,13193.478515625,26434.869140625,45608.61328125,2912440.0,359343.53125,1276939.125,3566762.75,11140001,5560.6015625,70715.65625,131673528,57917196,21019.158203125,85922.671875,202338.5,672211.3125,4323.1455078125,2767011.75,1125721.375,62873.7578125,487895.15625,21162.6484375,825958.6875,698.5687255859375,432313.0,444789.96875,237372.046875,936530.5625,69686.4765625,77391.0859375,17272.994140625,4153.279296875,277320.15625,14904.837890625,142971.546875,31731.435546875,403108.21875,1098017.75,58526.02734375,7250.849609375,122155.8359375,13548.6494140625,607782.3125,7645,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,198342856,24484,0,36.84082794189453,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 00:50:50.681,"{'cid': '87a2a839-7637-455e-8147-ca4e66f3acf7', 'uuid': '5b1044da-b0b4-4592-a0b1-7f0bbe7a5ed1', 'annotationId': 'ca5b8df7-8793-404e-8beb-96247632ef05', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768783848004, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T00:50:48.233Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,510250.67,19.14,32.64,1009.7,0.0,0.0,22040109.0,1600.0,1600.22,21470060.0,1400.0,1399.78,22450138.0,2200.0,2201.66,24020116.0,29.7,32.63,1800.0,1800.11,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ca5b8df7-8793-404e-8beb-96247632ef05,a3251215-890d-4e8b-ac6d-28272dcc35e2,1252.37744140625,486648.1875,199129.3125,8117.3896484375,7124.826171875,25957.56640625,183558.734375,178067.0,235098.984375,69492.921875,126405.0,18621.6171875,277259.65625,5788.2119140625,19162.078125,37059.84765625,255153.796875,52062.453125,190606.75,19764.810546875,6897.0068359375,13191.6298828125,26430.12109375,45602.890625,2914638.0,358174.65625,1275850.0,3567655.5,11156625,5560.9130859375,71695.0390625,132829384,57902188,21014.611328125,85950.703125,202328.984375,672017.875,4323.94482421875,2759479.0,1125914.625,62878.37109375,488240.34375,21159.94921875,826301.625,698.314208984375,432573.1875,444146.96875,237400.71875,936103.0,69696.0078125,77389.78125,17268.162109375,4152.63037109375,277463.3125,14919.990234375,143216.09375,31729.181640625,402962.71875,1097719.875,58524.203125,7250.884765625,122110.9296875,13546.9541015625,605672.8125,7944,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,198342856,24484,0,36.84082794189453,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 00:50:50.985,"{'cid': '87a2a839-7637-455e-8147-ca4e66f3acf7', 'uuid': '5b1044da-b0b4-4592-a0b1-7f0bbe7a5ed1', 'annotationId': 'ca5b8df7-8793-404e-8beb-96247632ef05', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768783848004, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T00:50:48.233Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,509605.1,19.14,32.64,1009.65,0.0,0.0,22040109.0,1600.0,1600.79,21470060.0,1400.0,1400.02,22450138.0,2200.0,2202.06,24020116.0,29.7,32.62,1800.0,1800.25,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ca5b8df7-8793-404e-8beb-96247632ef05,a3251215-890d-4e8b-ac6d-28272dcc35e2,1254.0255126953125,488179.53125,199129.3125,8117.50634765625,7123.6650390625,25956.55078125,183494.03125,178070.09375,234968.640625,69561.09375,126381.6015625,18621.908203125,278232.5625,5783.4638671875,19163.5390625,37059.12890625,255368.78125,52066.75390625,191831.859375,19770.392578125,6897.51171875,13195.666015625,26426.716796875,45608.45703125,2917712.0,358159.0,1273714.125,3568561.5,11165295,5561.16796875,70893.1015625,133641576,57771376,21014.623046875,85965.8515625,202273.890625,671851.6875,4323.0439453125,2756580.75,1125897.875,62882.30859375,488606.125,21159.345703125,827071.25,697.9457397460938,432707.84375,444051.0625,237453.453125,936087.9375,69681.59375,77392.96875,17268.515625,4155.0712890625,277088.71875,14906.455078125,142908.578125,31728.498046875,403011.40625,1097962.625,58520.6328125,7250.2421875,122058.953125,13550.1123046875,606298.625,8245,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,198342856,24484,0,36.84082794189453,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 00:50:51.281,"{'cid': '87a2a839-7637-455e-8147-ca4e66f3acf7', 'uuid': '5b1044da-b0b4-4592-a0b1-7f0bbe7a5ed1', 'annotationId': 'ca5b8df7-8793-404e-8beb-96247632ef05', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768783848004, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T00:50:48.233Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,509022.66,19.13,32.64,1009.6,0.0,0.02,22040109.0,1600.0,1600.01,21470060.0,1400.0,1399.43,22450138.0,2200.0,2200.9,24020116.0,29.71,32.61,1800.0,1800.29,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,ca5b8df7-8793-404e-8beb-96247632ef05,a3251215-890d-4e8b-ac6d-28272dcc35e2,1254.3154296875,488135.0,199131.421875,8117.2978515625,7124.83447265625,25957.498046875,183521.15625,178083.4375,234947.1875,69563.46875,126378.15625,18621.67578125,278703.1875,5776.5244140625,19161.62109375,37057.76171875,255569.984375,52060.87109375,191047.8125,19772.728515625,6896.7353515625,13200.4150390625,26425.75,45604.0625,2919093.25,358884.84375,1272647.25,3568943.75,11171119,5560.66796875,70340.2734375,134218624,57538244,21012.884765625,85932.6953125,202306.8125,671744.6875,4323.57958984375,2754063.5,1127503.375,62884.15625,489145.625,21158.546875,827599.625,697.5576782226562,432262.3125,444397.03125,237452.34375,936524.75,69662.203125,77409.234375,17269.763671875,4150.142578125,276793.375,14896.28125,141235.03125,31720.107421875,403183.59375,1097328.375,58527.01171875,7250.72509765625,121937.3671875,13552.787109375,605505.4375,8546,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,198342856,24484,0,36.84082794189453,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 00:50:51.582,"{'cid': '87a2a839-7637-455e-8147-ca4e66f3acf7', 'uuid': '5b1044da-b0b4-4592-a0b1-7f0bbe7a5ed1', 'annotationId': 'ca5b8df7-8793-404e-8beb-96247632ef05', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768783848004, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T00:50:48.233Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,508430.39,19.13,32.64,1009.54,0.0,0.05,22040109.0,1600.0,1599.23,21470060.0,1400.0,1398.83,22450138.0,2200.0,2199.73,24020116.0,29.7,32.61,1800.0,1800.34,22340093.0
