component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_453024,FLW0_453024,ANLT0_453024
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4875c9bd-fe3c-4f5d-9072-70442bb36c60,3bb0f9fc-de9a-49e7-baa5-993968654eed,1242.68408203125,490076.125,199975.96875,8137.25390625,7136.82958984375,25999.876953125,184512.1875,180022.28125,236334.109375,70357.0625,129442.65625,18653.728515625,272105.71875,5703.48974609375,19452.150390625,37249.81640625,258744.1875,52693.75390625,193329.625,20285.04296875,6903.59716796875,13245.0126953125,27552.05078125,45740.86328125,2923115.75,362801.625,1082658.625,3618562.25,10906390,5589.79345703125,69602.8125,122727128,53240232,21127.208984375,86295.2265625,201767.9375,671480.6875,4359.3720703125,2834638.0,1128913.625,63192.9765625,491714.0,21350.814453125,827677.3125,704.821044921875,448188.6875,446157.75,239637.09375,959655.4375,70119.234375,77649.90625,17385.400390625,4162.4677734375,278584.53125,15030.3349609375,142998.5625,33049.984375,404719.71875,1102691.125,58641.30859375,7262.49755859375,122534.21875,13567.677734375,610006.6875,6202,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,202391499,24484,0,36.97640228271485,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:58:19.453,"{'cid': '2adce08a-fe7e-4e75-9f5b-b084b71d0877', 'uuid': 'bdf04848-368c-477f-ab12-70ab1bae287f', 'annotationId': '4875c9bd-fe3c-4f5d-9072-70442bb36c60', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787899090, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:58:19.332Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.79,33.33,0.0,424720.03,25.37,32.58,1009.08,1130.0,1128.88,22450138.0,270.0,271.86,22040109.0,2200.0,2201.44,24020116.0,1600.0,1598.8,21470060.0,1800.0,1800.32,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4875c9bd-fe3c-4f5d-9072-70442bb36c60,3bb0f9fc-de9a-49e7-baa5-993968654eed,1243.2005615234375,489216.125,200025.3125,8137.05517578125,7137.072265625,25999.1875,184499.0625,180053.65625,236177.234375,70419.75,129443.09375,18651.990234375,272311.6875,5685.0546875,19449.142578125,37251.703125,258641.9375,52700.4609375,193735.296875,20283.798828125,6904.068359375,13249.0439453125,27553.62109375,45747.69140625,2926655.5,361764.3125,1081285.375,3621646.25,10924925,5590.064453125,69930.125,123424624,53534304,21129.244140625,86292.2734375,201803.015625,671486.8125,4359.23291015625,2836735.5,1129304.375,63193.203125,491089.40625,21347.306640625,827501.6875,704.1071166992188,448443.28125,446500.8125,239650.578125,958584.1875,70120.0625,77649.21875,17390.158203125,4163.41650390625,278149.78125,14974.193359375,142911.953125,33042.13671875,404620.65625,1101819.125,58637.6328125,7262.6201171875,122789.9765625,13571.5029296875,608650.1875,6503,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,202391499,24484,0,36.97640228271485,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:58:19.753,"{'cid': '2adce08a-fe7e-4e75-9f5b-b084b71d0877', 'uuid': 'bdf04848-368c-477f-ab12-70ab1bae287f', 'annotationId': '4875c9bd-fe3c-4f5d-9072-70442bb36c60', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787899090, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:58:19.332Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.79,33.33,0.0,424720.03,25.37,32.58,1009.08,1130.0,1128.88,22450138.0,270.0,271.86,22040109.0,2200.0,2201.44,24020116.0,1600.0,1598.8,21470060.0,1800.0,1800.32,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4875c9bd-fe3c-4f5d-9072-70442bb36c60,3bb0f9fc-de9a-49e7-baa5-993968654eed,1242.4189453125,489083.15625,200040.390625,8137.4658203125,7137.02685546875,26002.966796875,184493.6875,180070.25,236037.703125,70437.0546875,129441.0859375,18651.033203125,273477.5625,5714.24560546875,19452.103515625,37252.828125,258570.90625,52696.57421875,194348.140625,20279.001953125,6904.18310546875,13248.490234375,27551.626953125,45744.9609375,2929369.5,361460.96875,1080579.625,3623627.25,10948783,5589.80322265625,71023.296875,124557568,53703028,21129.59375,86297.84375,201781.078125,671250.8125,4359.234375,2836183.5,1126965.625,63193.84765625,491425.09375,21348.0703125,829304.5625,703.7721557617188,448109.15625,447004.875,239652.921875,957958.875,70097.734375,77647.953125,17393.548828125,4165.916015625,278070.125,14980.6591796875,143449.578125,33031.81640625,404552.84375,1100667.875,58642.3046875,7262.6953125,122417.0546875,13563.5078125,608766.75,6804,33.80952835083008,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,202391499,24484,0,36.97640228271485,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:58:20.055,"{'cid': '2adce08a-fe7e-4e75-9f5b-b084b71d0877', 'uuid': 'bdf04848-368c-477f-ab12-70ab1bae287f', 'annotationId': '4875c9bd-fe3c-4f5d-9072-70442bb36c60', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787899090, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:58:19.332Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.79,33.33,0.0,424685.6,25.36,32.58,1009.07,1130.0,1128.9,22450138.0,270.0,271.79,22040109.0,2200.0,2201.39,24020116.0,1600.0,1598.8,21470060.0,1800.0,1800.32,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4875c9bd-fe3c-4f5d-9072-70442bb36c60,3bb0f9fc-de9a-49e7-baa5-993968654eed,1243.357421875,489054.40625,200067.875,8137.5009765625,7136.9345703125,26006.23046875,184544.140625,180105.296875,236248.0,70324.5859375,129459.4296875,18652.796875,273094.96875,5719.01025390625,19451.0703125,37256.7265625,258645.671875,52682.87109375,194570.921875,20278.69140625,6904.0078125,13260.359375,27552.697265625,45740.48828125,2932829.75,362439.59375,1078141.875,3625292.5,10962936,5589.013671875,70366.9296875,125853160,53742832,21133.958984375,86294.515625,201776.1875,670917.3125,4359.90185546875,2835010.5,1127153.625,63203.16015625,491807.375,21350.267578125,831208.9375,704.37451171875,448075.96875,446781.15625,239682.890625,957348.5,70106.71875,77656.8984375,17391.193359375,4171.5439453125,277973.6875,14976.6923828125,143156.984375,33032.5078125,404549.65625,1100047.625,58641.12890625,7263.28955078125,122574.7109375,13571.3056640625,609299.1875,7105,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,202391499,24484,0,36.97640228271485,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:58:20.355,"{'cid': '2adce08a-fe7e-4e75-9f5b-b084b71d0877', 'uuid': 'bdf04848-368c-477f-ab12-70ab1bae287f', 'annotationId': '4875c9bd-fe3c-4f5d-9072-70442bb36c60', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787899090, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:58:19.332Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.8,33.32,0.0,424615.82,25.35,32.58,1009.05,1130.0,1129.03,22450138.0,270.0,271.31,22040109.0,2200.0,2200.98,24020116.0,1600.0,1598.8,21470060.0,1800.0,1800.32,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4875c9bd-fe3c-4f5d-9072-70442bb36c60,3bb0f9fc-de9a-49e7-baa5-993968654eed,1242.7900390625,489215.65625,200109.625,8137.7978515625,7137.40576171875,26005.572265625,184529.703125,180124.609375,236051.84375,70330.71875,129428.890625,18652.96875,274248.21875,5701.5498046875,19451.80078125,37256.921875,258520.578125,52678.69921875,194101.234375,20280.9140625,6904.8203125,13244.9658203125,27549.5625,45736.84375,2936757.5,362397.15625,1076027.125,3626970.75,10984906,5588.748046875,70973.2421875,127102344,53612700,21132.93359375,86289.46875,201740.671875,670618.5625,4358.3037109375,2832671.0,1126717.75,63215.28515625,491999.53125,21349.859375,832138.375,705.0003662109375,448286.28125,446729.0,239761.546875,957109.4375,70134.65625,77657.484375,17389.912109375,4154.3720703125,278596.75,15027.0439453125,143539.28125,33037.42578125,404374.65625,1099311.875,58639.109375,7262.71875,122507.3671875,13568.9267578125,609609.375,7406,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,202391499,24484,0,36.97640228271485,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:58:20.656,"{'cid': '2adce08a-fe7e-4e75-9f5b-b084b71d0877', 'uuid': 'bdf04848-368c-477f-ab12-70ab1bae287f', 'annotationId': '4875c9bd-fe3c-4f5d-9072-70442bb36c60', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787899090, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:58:19.332Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.8,33.32,0.0,424545.8,25.33,32.58,1009.03,1130.0,1129.16,22450138.0,270.0,270.83,22040109.0,2200.0,2200.58,24020116.0,1600.0,1598.8,21470060.0,1800.0,1800.32,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4875c9bd-fe3c-4f5d-9072-70442bb36c60,3bb0f9fc-de9a-49e7-baa5-993968654eed,1242.3695068359375,489184.0,200098.53125,8137.5576171875,7137.66552734375,26006.271484375,184580.546875,180130.09375,236312.359375,70335.859375,129429.421875,18652.869140625,273986.96875,5711.1357421875,19450.279296875,37258.984375,258498.59375,52672.44140625,194292.578125,20270.91796875,6903.59814453125,13250.15625,27548.60546875,45728.39453125,2940965.25,362196.84375,1075100.5,3628133.75,11001421,5588.5546875,71283.46875,128064776,53346876,21129.904296875,86236.8671875,201749.96875,670424.125,4358.79052734375,2832328.0,1127731.375,63219.16015625,492233.375,21350.109375,831437.875,704.201904296875,448696.4375,446814.8125,239794.515625,957558.0625,70121.3359375,77651.3671875,17385.43359375,4159.798828125,278573.40625,14986.9599609375,143589.40625,33036.49609375,404309.21875,1098832.25,58632.75,7262.6083984375,122581.4609375,13574.0732421875,609798.8125,7707,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,202396502,24484,0,37.2020263671875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:58:20.957,"{'cid': '2adce08a-fe7e-4e75-9f5b-b084b71d0877', 'uuid': 'bdf04848-368c-477f-ab12-70ab1bae287f', 'annotationId': '4875c9bd-fe3c-4f5d-9072-70442bb36c60', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787899090, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:58:19.332Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.78,33.3,0.0,424475.78,25.32,32.58,1009.02,1130.0,1129.29,22450138.0,270.0,270.35,22040109.0,2200.0,2200.17,24020116.0,1600.0,1598.8,21470060.0,1800.0,1800.32,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4875c9bd-fe3c-4f5d-9072-70442bb36c60,3bb0f9fc-de9a-49e7-baa5-993968654eed,1242.8287353515625,489452.125,200080.515625,8137.65771484375,7137.4609375,26008.458984375,184642.71875,180141.5625,236134.4375,70341.7578125,129396.640625,18652.5234375,274126.5625,5697.80908203125,19449.9296875,37259.1484375,258442.21875,52659.2421875,194162.5,20280.65625,6904.02734375,13261.6767578125,27545.484375,45724.3046875,2941781.0,362282.4375,1077615.375,3628008.0,11012897,5589.10888671875,71874.7890625,128720904,53000800,21131.89453125,86250.9296875,201699.828125,670376.8125,4358.0947265625,2829334.75,1127734.625,63229.2109375,492145.3125,21348.75390625,831599.4375,704.2581787109375,448484.375,446748.9375,239843.109375,958115.6875,70103.40625,77638.9609375,17390.71875,4161.4755859375,278407.8125,14993.4150390625,143801.265625,33035.38671875,404489.71875,1098783.125,58649.63671875,7262.48681640625,122575.7265625,13562.8525390625,609464.25,8008,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,202396502,24484,0,37.2020263671875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:58:21.258,"{'cid': '2adce08a-fe7e-4e75-9f5b-b084b71d0877', 'uuid': 'bdf04848-368c-477f-ab12-70ab1bae287f', 'annotationId': '4875c9bd-fe3c-4f5d-9072-70442bb36c60', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787899090, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:58:19.332Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.77,33.29,0.0,424405.76,25.3,32.59,1009.0,1130.0,1129.43,22450138.0,270.0,270.14,22040109.0,2200.0,2200.1,24020116.0,1600.0,1598.91,21470060.0,1800.0,1800.32,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4875c9bd-fe3c-4f5d-9072-70442bb36c60,3bb0f9fc-de9a-49e7-baa5-993968654eed,1244.734619140625,489629.75,200100.65625,8137.84423828125,7137.57470703125,26010.62109375,184581.09375,180136.53125,236068.0625,70258.3984375,129384.9921875,18652.74609375,274822.875,5703.17333984375,19449.375,37252.48828125,258425.3125,52651.78515625,193110.03125,20276.43359375,6903.70458984375,13262.5927734375,27544.4921875,45719.80078125,2940125.25,362984.84375,1074058.5,3627901.75,11015185,5588.03857421875,71304.0078125,128876552,52596496,21133.1875,86256.4375,201690.390625,670407.1875,4359.62451171875,2826206.75,1128093.0,63225.99609375,492075.3125,21349.453125,832632.75,705.0055541992188,448653.96875,446215.5,239826.515625,959815.0,70138.484375,77643.015625,17388.5625,4151.091796875,278941.3125,14962.5595703125,143840.125,33039.34375,404666.03125,1099127.125,58648.01953125,7262.591796875,122429.921875,13559.2509765625,609541.1875,8309,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,202396502,24484,0,37.2020263671875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:58:21.561,"{'cid': '2adce08a-fe7e-4e75-9f5b-b084b71d0877', 'uuid': 'bdf04848-368c-477f-ab12-70ab1bae287f', 'annotationId': '4875c9bd-fe3c-4f5d-9072-70442bb36c60', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787899090, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:58:19.332Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.76,33.28,0.0,424335.28,25.29,32.59,1008.98,1130.0,1129.56,22450138.0,270.0,269.99,22040109.0,2200.0,2200.12,24020116.0,1600.0,1599.06,21470060.0,1800.0,1800.32,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4875c9bd-fe3c-4f5d-9072-70442bb36c60,3bb0f9fc-de9a-49e7-baa5-993968654eed,1243.5267333984375,489391.1875,200080.96875,8137.65185546875,7136.927734375,26010.251953125,184554.296875,180104.25,236141.46875,70301.25,129385.28125,18651.900390625,273911.28125,5697.611328125,19450.76171875,37248.35546875,257919.8125,52666.76953125,192959.21875,20284.021484375,6903.56494140625,13251.5546875,27541.7890625,45720.53125,2934557.25,362844.03125,1074368.0,3625298.75,11015402,5588.99560546875,70297.8828125,128428336,52239900,21136.34375,86295.3515625,201722.484375,670349.8125,4358.96240234375,2825393.5,1126842.125,63230.5390625,492292.15625,21349.251953125,832744.8125,703.68359375,448488.9375,446913.875,239828.46875,961336.5,70123.6953125,77621.71875,17396.556640625,4171.3056640625,278994.53125,14975.8291015625,143816.21875,33043.6171875,404776.8125,1099395.75,58650.59375,7262.83056640625,122381.9609375,13559.9853515625,609984.5625,8610,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,202396502,24484,0,37.2020263671875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:58:21.861,"{'cid': '2adce08a-fe7e-4e75-9f5b-b084b71d0877', 'uuid': 'bdf04848-368c-477f-ab12-70ab1bae287f', 'annotationId': '4875c9bd-fe3c-4f5d-9072-70442bb36c60', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787899090, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:58:19.332Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.77,33.3,0.0,424265.49,25.28,32.59,1008.96,1130.0,1129.69,22450138.0,270.0,269.85,22040109.0,2200.0,2200.15,24020116.0,1600.0,1599.2,21470060.0,1800.0,1800.32,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4875c9bd-fe3c-4f5d-9072-70442bb36c60,3bb0f9fc-de9a-49e7-baa5-993968654eed,1245.26220703125,489194.6875,200064.328125,8137.27099609375,7137.21728515625,26006.63671875,184594.015625,180069.484375,236384.421875,70285.9921875,129386.0078125,18651.650390625,273901.4375,5704.1044921875,19450.3515625,37244.47265625,257903.9375,52664.9765625,194313.109375,20291.232421875,6903.4189453125,13250.7041015625,27541.828125,45719.3359375,2929861.0,361977.875,1074258.625,3623437.0,11005219,5589.427734375,68967.234375,127341736,51983312,21131.9453125,86317.453125,201771.15625,670381.1875,4359.666015625,2818457.75,1126917.875,63228.63671875,492658.21875,21349.642578125,830879.5625,704.8652954101562,448709.6875,446721.65625,239825.765625,962370.1875,70162.09375,77639.2734375,17393.78515625,4170.46728515625,278553.875,14978.8642578125,143554.140625,33052.92578125,404830.9375,1100701.25,58653.62890625,7262.8359375,122406.828125,13561.4521484375,610245.5625,8911,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,202396502,24484,0,37.2020263671875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:58:22.164,"{'cid': '2adce08a-fe7e-4e75-9f5b-b084b71d0877', 'uuid': 'bdf04848-368c-477f-ab12-70ab1bae287f', 'annotationId': '4875c9bd-fe3c-4f5d-9072-70442bb36c60', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787899090, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:58:19.332Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.78,33.32,0.0,424195.01,25.26,32.59,1008.94,1130.0,1129.69,22450138.0,270.0,269.8,22040109.0,2200.0,2200.2,24020116.0,1600.0,1599.19,21470060.0,1800.0,1800.32,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4875c9bd-fe3c-4f5d-9072-70442bb36c60,3bb0f9fc-de9a-49e7-baa5-993968654eed,1244.9512939453125,488743.9375,200034.625,8137.39111328125,7136.990234375,26005.939453125,184604.578125,180064.015625,236096.765625,70196.4609375,129360.328125,18650.89453125,274379.09375,5704.951171875,19448.380859375,37246.42578125,257836.03125,52647.1484375,194530.390625,20289.15625,6903.70361328125,13258.341796875,27542.376953125,45715.76171875,2926522.25,361778.125,1073525.5,3620651.75,10999703,5589.65966796875,67837.7890625,126035472,51852456,21134.912109375,86325.828125,201845.640625,670520.0625,4360.66650390625,2813951.75,1126234.75,63226.52734375,492167.0,21348.880859375,831396.9375,704.7394409179688,448357.15625,446741.71875,239801.765625,962900.875,70150.5390625,77607.2578125,17390.197265625,4170.32373046875,278565.4375,15002.435546875,143350.328125,33057.1875,405457.59375,1102051.5,58656.23828125,7262.68505859375,122643.0546875,13560.53125,611033.75,9212,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,202396502,24484,0,37.2020263671875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:58:22.463,"{'cid': '2adce08a-fe7e-4e75-9f5b-b084b71d0877', 'uuid': 'bdf04848-368c-477f-ab12-70ab1bae287f', 'annotationId': '4875c9bd-fe3c-4f5d-9072-70442bb36c60', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787899090, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:58:19.332Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.79,33.33,0.0,424257.31,25.26,32.59,1008.93,1130.0,1129.55,22450138.0,270.0,269.84,22040109.0,2200.0,2200.3,24020116.0,1600.0,1599.0,21470060.0,1800.0,1800.32,22340093.0
